arm,representation,target,readout,population,rows,sources,mse,rmse
A-observed,conditions,future_order_9,residual,T500,192,3,1.0077543649152956,1.0038696951872268
A-observed,conditions,future_order_9,residual,T510,192,3,0.9684681550862795,0.9841077964767272
A-observed,conditions,future_order_9,residual,T520,192,3,1.1444492787118747,1.0697893618427297
A-observed,conditions,observed_angular,ridge,all,960,15,1.0556122571449997,1.0274299280948553
A-observed,conditions,observed_angular,ridge,PTM_other,686,15,1.2120026100011563,1.100909900946102
A-observed,conditions,observed_angular,ridge,PTM_crystalline,274,13,0.8084764607011037,0.8991531908974708
A-observed,conditions,observed_angular,ridge,T400,192,3,1.1332829060124583,1.0645576104713443
A-observed,conditions,observed_angular,ridge,T450,192,3,1.0277246300558494,1.0137675424158388
A-observed,conditions,observed_angular,ridge,T500,192,3,0.941017484589804,0.9700605571766147
A-observed,conditions,observed_angular,ridge,T510,192,3,1.0244313063737138,1.012141939835374
A-observed,conditions,observed_angular,ridge,T520,192,3,1.151604958693173,1.0731285844171579
A-observed,conditions,observed_angular,residual,all,960,15,1.05422808732653,1.0267560992399947
A-observed,conditions,observed_angular,residual,PTM_other,686,15,1.216033326798768,1.1027390111893058
A-observed,conditions,observed_angular,residual,PTM_crystalline,274,13,0.8004412120823631,0.894673802054337
A-observed,conditions,observed_angular,residual,T400,192,3,1.1027340958034881,1.0501114682753865
A-observed,conditions,observed_angular,residual,T450,192,3,1.0324907584412806,1.0161155241611461
A-observed,conditions,observed_angular,residual,T500,192,3,0.9520754209472246,0.9757435221138927
A-observed,conditions,observed_angular,residual,T510,192,3,1.0254253155804016,1.0126328631742116
A-observed,conditions,observed_angular,residual,T520,192,3,1.1584148458602546,1.0762968205194394
A-observed,conditions,observed_l6,ridge,all,960,15,0.8118530952106943,0.9010289091980869
A-observed,conditions,observed_l6,ridge,PTM_other,686,15,0.8985293109930101,0.9479078599700554
A-observed,conditions,observed_l6,ridge,PTM_crystalline,274,13,0.6579123306227164,0.8111179511160608
A-observed,conditions,observed_l6,ridge,T400,192,3,0.41265970715228434,0.642385948750659
A-observed,conditions,observed_l6,ridge,T450,192,3,0.9323145607378245,0.9655643742070357
A-observed,conditions,observed_l6,ridge,T500,192,3,0.9416575443467055,0.9703904082103787
A-observed,conditions,observed_l6,ridge,T510,192,3,0.849576869781908,0.9217249425842332
A-observed,conditions,observed_l6,ridge,T520,192,3,0.9230567940347485,0.9607584472877397
A-observed,conditions,observed_l6,residual,all,960,15,0.8065861602510778,0.898101419802395
A-observed,conditions,observed_l6,residual,PTM_other,686,15,0.8927268261072762,0.9448422228643659
A-observed,conditions,observed_l6,residual,PTM_crystalline,274,13,0.659082848159747,0.8118391762903211
A-observed,conditions,observed_l6,residual,T400,192,3,0.40716580868863034,0.6380954542140466
A-observed,conditions,observed_l6,residual,T450,192,3,0.9388063593419052,0.9689202027731206
A-observed,conditions,observed_l6,residual,T500,192,3,0.931912150140674,0.9653559706868104
A-observed,conditions,observed_l6,residual,T510,192,3,0.8487464078845299,0.9212743391002106
A-observed,conditions,observed_l6,residual,T520,192,3,0.9063000751996494,0.9519979386530464
A-observed,conditions,observed_radial,ridge,all,960,15,0.9707060003744385,0.9852441323724991
A-observed,conditions,observed_radial,ridge,PTM_other,686,15,1.1500751245576628,1.0724155559099573
A-observed,conditions,observed_radial,ridge,PTM_crystalline,274,13,0.6873741707515817,0.8290803162249009
A-observed,conditions,observed_radial,ridge,T400,192,3,0.8664855251608787,0.9308520425722225
A-observed,conditions,observed_radial,ridge,T450,192,3,0.9537552721984783,0.9766039484860167
A-observed,conditions,observed_radial,ridge,T500,192,3,1.115917836189627,1.0563701227267017
A-observed,conditions,observed_radial,ridge,T510,192,3,0.9041386621088037,0.9508620626088747
A-observed,conditions,observed_radial,ridge,T520,192,3,1.013232706214405,1.0065946086754116
A-observed,conditions,observed_radial,residual,all,960,15,0.9690914140941151,0.9844244075062926
A-observed,conditions,observed_radial,residual,PTM_other,686,15,1.147053851825573,1.071005999901762
A-observed,conditions,observed_radial,residual,PTM_crystalline,274,13,0.6895870346970914,0.8304137731860494
A-observed,conditions,observed_radial,residual,T400,192,3,0.8656154441736872,0.9303845678931305
A-observed,conditions,observed_radial,residual,T450,192,3,0.9526788411875022,0.9760526836126737
A-observed,conditions,observed_radial,residual,T500,192,3,1.1159402402255787,1.0563807269283072
A-observed,conditions,observed_radial,residual,T510,192,3,0.9043337485822999,0.9509646410788888
A-observed,conditions,observed_radial,residual,T520,192,3,1.0068887963015074,1.0034384865558563
A-observed,conditions,relaxed_angular,ridge,all,960,15,1.0295778235279496,1.014681143772737
A-observed,conditions,relaxed_angular,ridge,PTM_other,686,15,1.2085843376237957,1.099356328777797
A-observed,conditions,relaxed_angular,ridge,PTM_crystalline,274,13,0.7196691942718969,0.8483331858838818
A-observed,conditions,relaxed_angular,ridge,T400,192,3,1.0006948026886953,1.000347341021455
A-observed,conditions,relaxed_angular,ridge,T450,192,3,1.095665241280837,1.0467402931390561
A-observed,conditions,relaxed_angular,ridge,T500,192,3,0.9775350583634774,0.9887037262817803
A-observed,conditions,relaxed_angular,ridge,T510,192,3,0.9672866296973706,0.9835073104442948
A-observed,conditions,relaxed_angular,ridge,T520,192,3,1.1067073856093668,1.0520016091286966
A-observed,conditions,relaxed_angular,residual,all,960,15,1.0289196270169696,1.0143567552971535
A-observed,conditions,relaxed_angular,residual,PTM_other,686,15,1.2078237727519097,1.0990103606208221
A-observed,conditions,relaxed_angular,residual,PTM_crystalline,274,13,0.7212793315269206,0.8492816561818114
A-observed,conditions,relaxed_angular,residual,T400,192,3,0.9977525715067567,0.9988756536760502
A-observed,conditions,relaxed_angular,residual,T450,192,3,1.0950391531767805,1.046441184767104
A-observed,conditions,relaxed_angular,residual,T500,192,3,0.9785432019383261,0.989213425878524
A-observed,conditions,relaxed_angular,residual,T510,192,3,0.9675413926929868,0.9836368195085963
A-observed,conditions,relaxed_angular,residual,T520,192,3,1.1057218157699977,1.0515330787806905
A-observed,conditions,relaxed_l6,ridge,all,960,15,0.7712695449105733,0.8782195311598195
A-observed,conditions,relaxed_l6,ridge,PTM_other,686,15,0.8779415770505075,0.9369853665082009
A-observed,conditions,relaxed_l6,ridge,PTM_crystalline,274,13,0.574357159194085,0.7578635491921254
A-observed,conditions,relaxed_l6,ridge,T400,192,3,0.2965351771551302,0.5445504358231019
A-observed,conditions,relaxed_l6,ridge,T450,192,3,0.9036714258876875,0.9506163400066756
A-observed,conditions,relaxed_l6,ridge,T500,192,3,0.8744426040189899,0.9351163585452827
A-observed,conditions,relaxed_l6,ridge,T510,192,3,0.8553246097229675,0.9248376126234095
A-observed,conditions,relaxed_l6,ridge,T520,192,3,0.9263739077680915,0.9624831986939261
A-observed,conditions,relaxed_l6,residual,all,960,15,0.7685481714756794,0.8766687923473034
A-observed,conditions,relaxed_l6,residual,PTM_other,686,15,0.8786189497506987,0.9373467606764845
A-observed,conditions,relaxed_l6,residual,PTM_crystalline,274,13,0.5719228466067003,0.7562558076515514
A-observed,conditions,relaxed_l6,residual,T400,192,3,0.29051519147969757,0.5389946117353099
A-observed,conditions,relaxed_l6,residual,T450,192,3,0.9188874827715943,0.9585861895372759
A-observed,conditions,relaxed_l6,residual,T500,192,3,0.8694580566163113,0.9324473479056666
A-observed,conditions,relaxed_l6,residual,T510,192,3,0.8540726848394721,0.9241605297995972
A-observed,conditions,relaxed_l6,residual,T520,192,3,0.9098074416713218,0.9538382680891566
A-observed,conditions,relaxed_radial,ridge,all,960,15,1.002843664419414,1.0014208228409345
A-observed,conditions,relaxed_radial,ridge,PTM_other,686,15,1.2343987508935035,1.1110349908501997
A-observed,conditions,relaxed_radial,ridge,PTM_crystalline,274,13,0.5507313109605422,0.7421127346707791
A-observed,conditions,relaxed_radial,ridge,T400,192,3,0.8860675614321265,0.9413116176018048
A-observed,conditions,relaxed_radial,ridge,T450,192,3,1.1077493789588906,1.0524967358423922
A-observed,conditions,relaxed_radial,ridge,T500,192,3,1.0006553531355609,1.0003276228993982
A-observed,conditions,relaxed_radial,ridge,T510,192,3,0.9057100170387344,0.9516879830273861
A-observed,conditions,relaxed_radial,ridge,T520,192,3,1.1140360115317591,1.0554790436251016
A-observed,conditions,relaxed_radial,residual,all,960,15,1.003256785874069,1.0016270692598463
A-observed,conditions,relaxed_radial,residual,PTM_other,686,15,1.2376630491487808,1.112503055793008
A-observed,conditions,relaxed_radial,residual,PTM_crystalline,274,13,0.5487212915434105,0.7407572419783761
A-observed,conditions,relaxed_radial,residual,T400,192,3,0.8837666820245309,0.9400886564705112
A-observed,conditions,relaxed_radial,residual,T450,192,3,1.1172033524653218,1.0569784068112849
A-observed,conditions,relaxed_radial,residual,T500,192,3,1.001071863357489,1.0005357881442767
