contrast,arm,representation,target,readout,reference_arm,reference_representation,reference,candidate,change_percent,ci95_lower,ci95_upper,roots,roots_improved
training,B-relaxed,pooled,observed_l6,residual,B-relaxed,initial_pooled,0.34207346977374586,0.344911609141149,0.8296870754929797,-0.3138978935728534,2.092336362539213,15,6
training,B-relaxed,pooled,observed_radial,ridge,B-relaxed,initial_pooled,0.6316708729479833,0.6412502781070749,1.5165184227008854,0.9350549201611236,2.128186940304653,15,3
training,B-relaxed,pooled,observed_radial,residual,B-relaxed,initial_pooled,0.6314165240282801,0.6412502781070749,1.5574115824619206,0.9576698878636059,2.1853221426168172,15,3
training,B-relaxed,pooled,relaxed_angular,ridge,B-relaxed,initial_pooled,0.733589280933046,0.7333395786524025,-0.034038430922256335,-1.3874601297208558,1.4742013562830962,15,8
training,B-relaxed,pooled,relaxed_angular,residual,B-relaxed,initial_pooled,0.7460546098644711,0.7361879315085552,-1.3225142269020163,-3.3927293374488547,0.9445820761234902,15,10
training,B-relaxed,pooled,relaxed_l6,ridge,B-relaxed,initial_pooled,0.1686443398911838,0.17079071246001637,1.2727213793344516,-1.4984196895428978,4.2328113840147115,15,6
training,B-relaxed,pooled,relaxed_l6,residual,B-relaxed,initial_pooled,0.16779974115360438,0.17022067035553562,1.4427490681973687,-1.409532856311917,4.3765677663201075,15,7
training,B-relaxed,pooled,relaxed_radial,ridge,B-relaxed,initial_pooled,0.050240919740294356,0.05646086133008761,12.38023034201088,9.756496330502383,14.513055251624664,15,1
training,B-relaxed,pooled,relaxed_radial,residual,B-relaxed,initial_pooled,0.04900557100584569,0.05758358850747163,17.50416804775665,15.086349518060018,19.81491260750774,15,0
training,B-relaxed,exported,observed_angular,neighbors,B-relaxed,initial_exported,1.8895054101943969,1.8741185665130615,-0.8143318139402611,-2.6326215567257814,1.234230032162575,15,9
descriptor_control,B-relaxed,exported,observed_angular,neighbors,B-relaxed,descriptor,1.8148371537526449,1.8741185665130615,3.2664866177021468,1.6329262164441722,4.914098921835572,15,5
training,B-relaxed,exported,relaxed_angular,neighbors,B-relaxed,initial_exported,1.5114362557729086,1.5776468594868978,4.3806414899138835,1.922156120099583,6.598155314079889,15,4
descriptor_control,B-relaxed,exported,relaxed_angular,neighbors,B-relaxed,descriptor,1.38495618502299,1.5776468594868978,13.913124223544248,9.322964065649588,19.689057663790702,15,1
