arm,checkpoint,domain,block,population,rows,sources,mse
A-observed,constant,observed,l2,T500,192,3,0.9358642694229881
A-observed,constant,observed,l2,T510,192,3,0.8043087776750326
A-observed,constant,observed,l2,T520,192,3,1.2037646801133328
A-observed,constant,observed,l4,all,960,15,0.8252663902317484
A-observed,constant,observed,l4,PTM_other,686,15,0.9099578621687348
A-observed,constant,observed,l4,PTM_crystalline,274,13,0.6512327497071868
A-observed,constant,observed,l4,T400,192,3,0.8166963357167939
A-observed,constant,observed,l4,T450,192,3,0.7727697832354654
A-observed,constant,observed,l4,T500,192,3,0.8216326684535791
A-observed,constant,observed,l4,T510,192,3,0.7298057459605236
A-observed,constant,observed,l4,T520,192,3,0.9854274177923799
B-relaxed,initial,relaxed,radial,all,960,15,0.2274157580633376
B-relaxed,initial,relaxed,radial,PTM_other,686,15,0.2828452256985436
B-relaxed,initial,relaxed,radial,PTM_crystalline,274,13,0.12242283331142019
B-relaxed,initial,relaxed,radial,T400,192,3,0.26979242166271433
B-relaxed,initial,relaxed,radial,T450,192,3,0.22909482824009803
B-relaxed,initial,relaxed,radial,T500,192,3,0.21447173595030714
B-relaxed,initial,relaxed,radial,T510,192,3,0.1993861771394828
B-relaxed,initial,relaxed,radial,T520,192,3,0.22433362732408568
B-relaxed,initial,relaxed,l2,all,960,15,0.8194123184507286
B-relaxed,initial,relaxed,l2,PTM_other,686,15,1.1403981984820528
B-relaxed,initial,relaxed,l2,PTM_crystalline,274,13,0.10154709638617208
B-relaxed,initial,relaxed,l2,T400,192,3,0.8957854951731861
B-relaxed,initial,relaxed,l2,T450,192,3,0.775966878768789
B-relaxed,initial,relaxed,l2,T500,192,3,0.7758439253060108
B-relaxed,initial,relaxed,l2,T510,192,3,0.6580845564027792
B-relaxed,initial,relaxed,l2,T520,192,3,0.9913807366028776
B-relaxed,initial,relaxed,l4,all,960,15,0.4670019252914548
B-relaxed,initial,relaxed,l4,PTM_other,686,15,0.581768754804813
B-relaxed,initial,relaxed,l4,PTM_crystalline,274,13,0.2181698771409975
B-relaxed,initial,relaxed,l4,T400,192,3,0.5204717435408384
