method,source,phase,pairs,jump2_mean
soap,881,unclassified,2259,0.5194317966431916
soap,881,FCC,915,0.25237081324218946
soap,881,HCP,0,
soap,881,BCC,0,
soap,1009,unclassified,1323,0.46579626455218787
soap,1009,FCC,1509,0.2376935870874505
soap,1009,HCP,140,0.22885301812119913
soap,1009,BCC,0,
bond_order,911,unclassified,2072,0.09609729729318214
bond_order,911,FCC,1014,0.004400073700520355
bond_order,911,HCP,0,
bond_order,911,BCC,0,
bond_order,913,unclassified,2663,0.09661803344787477
bond_order,913,FCC,527,0.00326376992393252
bond_order,913,HCP,0,
bond_order,913,BCC,0,
bond_order,938,unclassified,1366,0.10432507134058668
bond_order,938,FCC,1716,0.005017317608384645
bond_order,938,HCP,5,0.08152516179455135
bond_order,938,BCC,0,
bond_order,942,unclassified,1574,0.10389326319797493
bond_order,942,FCC,1503,0.005128009557989347
bond_order,942,HCP,33,0.030034010106637865
bond_order,942,BCC,0,
bond_order,970,unclassified,1437,0.10253809112241519
bond_order,970,FCC,1750,0.005126246536421738
bond_order,970,HCP,0,
bond_order,970,BCC,0,
bond_order,971,unclassified,1790,0.14054176427588
bond_order,971,FCC,1340,0.006377547753895734
bond_order,971,HCP,0,
bond_order,971,BCC,0,
bond_order,1000,unclassified,2833,0.12854747649987042
bond_order,1000,FCC,325,0.006592091078437015
bond_order,1000,HCP,0,
bond_order,1000,BCC,0,
bond_order,1001,unclassified,1832,0.15359134740362843
bond_order,1001,FCC,929,0.006437551969846162
bond_order,1001,HCP,246,0.028761789697404984
bond_order,1001,BCC,0,
bond_order,881,unclassified,2259,0.14939659050211115
bond_order,881,FCC,915,0.006838752000022443
bond_order,881,HCP,0,
bond_order,881,BCC,0,
bond_order,1009,unclassified,1323,0.1314013923958881
bond_order,1009,FCC,1509,0.005950885218621888
bond_order,1009,HCP,140,0.02334777136408089
bond_order,1009,BCC,0,
radial,911,unclassified,2072,0.48918484209269714
radial,911,FCC,1014,0.22976310904094563
radial,911,HCP,0,
radial,911,BCC,0,
radial,913,unclassified,2663,0.4271885545400662
radial,913,FCC,527,0.20766812022025885
radial,913,HCP,0,
radial,913,BCC,0,
radial,938,unclassified,1366,0.4957519137490197
radial,938,FCC,1716,0.27676143515243234
radial,938,HCP,5,0.29764542177497305
radial,938,BCC,0,
radial,942,unclassified,1574,0.47865586744849553
radial,942,FCC,1503,0.254856948058709
radial,942,HCP,33,0.41231210930235
radial,942,BCC,0,
radial,970,unclassified,1437,0.4924406164103674
radial,970,FCC,1750,0.27928610515484026
radial,970,HCP,0,
radial,970,BCC,0,
radial,971,unclassified,1790,0.558012648465615
radial,971,FCC,1340,0.3008843445803354
radial,971,HCP,0,
radial,971,BCC,0,
radial,1000,unclassified,2833,0.5724475344718543
radial,1000,FCC,325,0.3025235404216615
radial,1000,HCP,0,
radial,1000,BCC,0,
radial,1001,unclassified,1832,0.5922798156580186
radial,1001,FCC,929,0.2943091049195878
radial,1001,HCP,246,0.3868053243209435
radial,1001,BCC,0,
radial,881,unclassified,2259,0.6612445527577482
radial,881,FCC,915,0.29713030795983464
radial,881,HCP,0,
radial,881,BCC,0,
radial,1009,unclassified,1323,0.5693985502361419
radial,1009,FCC,1509,0.29381951469651063
radial,1009,HCP,140,0.31153002591873374
radial,1009,BCC,0,
angular,911,unclassified,2072,0.197320091853177
angular,911,FCC,1014,0.24623913640661432
angular,911,HCP,0,
angular,911,BCC,0,
angular,913,unclassified,2663,0.18209425968948265
angular,913,FCC,527,0.21183690780783093
angular,913,HCP,0,
angular,913,BCC,0,
angular,938,unclassified,1366,0.2391847197640361
angular,938,FCC,1716,0.2805703578482371
angular,938,HCP,5,0.25757443610108577
angular,938,BCC,0,
angular,942,unclassified,1574,0.25175206303561526
angular,942,FCC,1503,0.2744495910767553
angular,942,HCP,33,0.11545770809042015
angular,942,BCC,0,
angular,970,unclassified,1437,0.2890522575814487
angular,970,FCC,1750,0.3065942557219633
angular,970,HCP,0,
angular,970,BCC,0,
angular,971,unclassified,1790,0.2555606816617994
angular,971,FCC,1340,0.30528737224446056
angular,971,HCP,0,
angular,971,BCC,0,
angular,1000,unclassified,2833,0.24385083620385078
angular,1000,FCC,325,0.35141109339339144
angular,1000,HCP,0,
angular,1000,BCC,0,
angular,1001,unclassified,1832,0.28585530243102353
angular,1001,FCC,929,0.32707975271866035
angular,1001,HCP,246,0.21589378196896547
angular,1001,BCC,0,
angular,881,unclassified,2259,0.2597864413466832
angular,881,FCC,915,0.3090554687401042
angular,881,HCP,0,
angular,881,BCC,0,
angular,1009,unclassified,1323,0.2856271095020538
angular,1009,FCC,1509,0.3044731671649926
angular,1009,HCP,140,0.12189196679888362
angular,1009,BCC,0,
