contrast,domain,task,representation,family,step,reference_step,reference_task,reference_representation,probe,reference_probe,reference_rmse,candidate_rmse,change_percent,ci95_lower_percent,ci95_upper_percent,roots,observations,roots_improved
residual_vs_ridge,pilot,melt_to_melt,exported,angular,1000,1000,melt_to_melt,exported,residual,ridge,0.9668868282506986,0.9685274082214951,0.16967652499357833,-0.061367017735991514,0.38486426635180315,6,384,2
encoder_training,pilot,melt_to_melt,exported,radial,1000,0,melt_to_melt,exported,ridge,ridge,0.335062144929137,0.3300614072791931,-1.492480641464744,-5.322856685546884,1.9828235955073659,6,384,3
export_vs_pooled,pilot,melt_to_melt,exported,radial,1000,1000,melt_to_melt,pooled,ridge,ridge,0.3258740566298518,0.3300614072791931,1.2849598070636015,-1.0019903390788287,3.5995444605323224,6,384,2
encoder_training,pilot,melt_to_melt,exported,radial,1000,0,melt_to_melt,exported,residual,residual,0.3326650605713578,0.32996761422023335,-0.8108595313531142,-4.651497819159135,2.758505329763228,6,384,3
export_vs_pooled,pilot,melt_to_melt,exported,radial,1000,1000,melt_to_melt,pooled,residual,residual,0.31869805923841565,0.32996761422023335,3.5361228771672693,1.493180808442296,5.557283685677383,6,384,1
residual_vs_ridge,pilot,melt_to_melt,exported,radial,1000,1000,melt_to_melt,exported,residual,ridge,0.3300614072791931,0.32996761422023335,-0.028416851195323112,-0.4646755106064493,0.448223358019173,6,384,4
encoder_training,pilot,melt_to_melt,exported,rich,1000,0,melt_to_melt,exported,ridge,ridge,0.7020008428799966,0.6978163292280434,-0.5960838500971177,-1.1498611656695856,0.007933764113898789,6,384,4
export_vs_pooled,pilot,melt_to_melt,exported,rich,1000,1000,melt_to_melt,pooled,ridge,ridge,0.6946011222843496,0.6978163292280434,0.4628853655058718,0.3020946121119028,0.6403140730733453,6,384,0
encoder_training,pilot,melt_to_melt,exported,rich,1000,0,melt_to_melt,exported,residual,residual,0.7020597593399862,0.6979620879484546,-0.5836641877016047,-1.161566269827552,0.029050178557077366,6,384,4
export_vs_pooled,pilot,melt_to_melt,exported,rich,1000,1000,melt_to_melt,pooled,residual,residual,0.6941182930199975,0.6979620879484546,0.5537665506168077,0.3531380686449648,0.7874587060500593,6,384,0
residual_vs_ridge,pilot,melt_to_melt,exported,rich,1000,1000,melt_to_melt,exported,residual,ridge,0.6978163292280434,0.6979620879484546,0.020887834564220498,0.0008109300745129389,0.0423304908369726,6,384,2
encoder_training,pilot,melt_to_melt,pooled,angular,1000,0,melt_to_melt,pooled,ridge,ridge,0.9596458948207603,0.9561211316801362,-0.36729830864148383,-0.7441744420613405,0.006183920382674124,6,384,5
encoder_training,pilot,melt_to_melt,pooled,angular,1000,0,melt_to_melt,pooled,residual,residual,0.9596458948207603,0.9561211316801362,-0.36729830864148383,-0.7441744420613405,0.006183920382674124,6,384,5
residual_vs_ridge,pilot,melt_to_melt,pooled,angular,1000,1000,melt_to_melt,pooled,residual,ridge,0.9561211316801362,0.9561211316801362,0.0,0.0,0.0,6,384,0
encoder_training,pilot,melt_to_melt,pooled,radial,1000,0,melt_to_melt,pooled,ridge,ridge,0.3341813308452569,0.3258740566298518,-2.485858259763707,-4.6416125932027485,-0.24550197701556087,6,384,4
encoder_training,pilot,melt_to_melt,pooled,radial,1000,0,melt_to_melt,pooled,residual,residual,0.3260900752829054,0.31869805923841565,-2.2668632395747346,-4.256011765111811,0.0002421501070548615,6,384,4
residual_vs_ridge,pilot,melt_to_melt,pooled,radial,1000,1000,melt_to_melt,pooled,residual,ridge,0.3258740566298518,0.31869805923841565,-2.202076920651308,-3.246512649570199,-1.1439330244576662,6,384,6
encoder_training,pilot,melt_to_melt,pooled,rich,1000,0,melt_to_melt,pooled,ridge,ridge,0.6977309166865928,0.6946011222843496,-0.4485675390602073,-0.8694294726376839,-0.04095612824690509,6,384,4
encoder_training,pilot,melt_to_melt,pooled,rich,1000,0,melt_to_melt,pooled,residual,residual,0.6977309166865928,0.6941182930199975,-0.5177674631003937,-0.9892294746902119,-0.07136007065048355,6,384,4
residual_vs_ridge,pilot,melt_to_melt,pooled,rich,1000,1000,melt_to_melt,pooled,residual,ridge,0.6946011222843496,0.6941182930199975,-0.06951173110175679,-0.16404468900806962,0.026188122071002518,6,384,4
encoder_training,pilot,melt_to_melt,exported,angular,3000,0,melt_to_melt,exported,ridge,ridge,0.9696700362187287,0.9651163488692375,-0.4696120514611879,-0.9252271685944002,0.06615682936477185,6,384,5
export_vs_pooled,pilot,melt_to_melt,exported,angular,3000,3000,melt_to_melt,pooled,ridge,ridge,0.9572164921356235,0.9651163488692375,0.8252946745608947,0.3161773159719772,1.376528965968049,6,384,0
encoder_training,pilot,melt_to_melt,exported,angular,3000,0,melt_to_melt,exported,residual,residual,0.9698150138429901,0.9652274185006929,-0.47303818530487485,-0.827634251026077,-0.035577991173751655,6,384,5
export_vs_pooled,pilot,melt_to_melt,exported,angular,3000,3000,melt_to_melt,pooled,residual,residual,0.9572164921356235,0.9652274185006929,0.8368980717409435,0.20465781377565495,1.5003723435483618,6,384,2
residual_vs_ridge,pilot,melt_to_melt,exported,angular,3000,3000,melt_to_melt,exported,residual,ridge,0.9651163488692375,0.9652274185006929,0.011508418812478105,-0.10604611503364225,0.12502340996109268,6,384,2
encoder_training,pilot,melt_to_melt,exported,radial,3000,0,melt_to_melt,exported,ridge,ridge,0.335062144929137,0.36597321072492844,9.225472427608583,6.19736372749411,12.679657231932385,6,384,0
export_vs_pooled,pilot,melt_to_melt,exported,radial,3000,3000,melt_to_melt,pooled,ridge,ridge,0.3336604693735532,0.36597321072492844,9.684318136949921,7.176071897951086,12.46355128322827,6,384,0
encoder_training,pilot,melt_to_melt,exported,radial,3000,0,melt_to_melt,exported,residual,residual,0.3326650605713578,0.3658777131351098,9.983811496977978,6.588951173654545,13.558103341637606,6,384,0
export_vs_pooled,pilot,melt_to_melt,exported,radial,3000,3000,melt_to_melt,pooled,residual,residual,0.32848935942800234,0.3658777131351098,11.38190709501572,9.21087614005527,13.539522113452929,6,384,0
residual_vs_ridge,pilot,melt_to_melt,exported,radial,3000,3000,melt_to_melt,exported,residual,ridge,0.36597321072492844,0.3658777131351098,-0.026094147609734275,-0.28762381458634634,0.2400730907329504,6,384,3
encoder_training,pilot,melt_to_melt,exported,rich,3000,0,melt_to_melt,exported,ridge,ridge,0.7020008428799966,0.7036864698635203,0.2401175156155455,-0.3499547047036327,0.8308057043853179,6,384,4
export_vs_pooled,pilot,melt_to_melt,exported,rich,3000,3000,melt_to_melt,pooled,ridge,ridge,0.6940034870317423,0.7036864698635203,1.3952354725467186,1.0459487091678321,1.7755019983287434,6,384,0
encoder_training,pilot,melt_to_melt,exported,rich,3000,0,melt_to_melt,exported,residual,residual,0.7020597593399862,0.7037468213382566,0.24030176574376672,-0.3594030541660076,0.8447456109853979,6,384,4
export_vs_pooled,pilot,melt_to_melt,exported,rich,3000,3000,melt_to_melt,pooled,residual,residual,0.6938316588042819,0.7037468213382566,1.429044409859026,1.0284444207282029,1.8913725246836544,6,384,0
residual_vs_ridge,pilot,melt_to_melt,exported,rich,3000,3000,melt_to_melt,exported,residual,ridge,0.7036864698635203,0.7037468213382566,0.008576472238841504,-0.006312959001442131,0.02522007251533065,6,384,2
encoder_training,pilot,melt_to_melt,pooled,angular,3000,0,melt_to_melt,pooled,ridge,ridge,0.9596458948207603,0.9572164921356235,-0.253156158771517,-0.7311098677739492,0.2793880488079825,6,384,4
encoder_training,pilot,melt_to_melt,pooled,angular,3000,0,melt_to_melt,pooled,residual,residual,0.9596458948207603,0.9572164921356235,-0.253156158771517,-0.7311098677739492,0.2793880488079825,6,384,4
residual_vs_ridge,pilot,melt_to_melt,pooled,angular,3000,3000,melt_to_melt,pooled,residual,ridge,0.9572164921356235,0.9572164921356235,0.0,0.0,0.0,6,384,0
encoder_training,pilot,melt_to_melt,pooled,radial,3000,0,melt_to_melt,pooled,ridge,ridge,0.3341813308452569,0.3336604693735532,-0.1558619299247721,-2.318458041901683,1.9997813815443966,6,384,3
encoder_training,pilot,melt_to_melt,pooled,radial,3000,0,melt_to_melt,pooled,residual,residual,0.3260900752829054,0.32848935942800234,0.735773434078113,-1.5494090067918576,3.2330287045148287,6,384,3
residual_vs_ridge,pilot,melt_to_melt,pooled,radial,3000,3000,melt_to_melt,pooled,residual,ridge,0.3336604693735532,0.32848935942800234,-1.5498119855971049,-2.5161812194524735,-0.5091925365532934,6,384,5
encoder_training,pilot,melt_to_melt,pooled,rich,3000,0,melt_to_melt,pooled,ridge,ridge,0.6977309166865928,0.6940034870317423,-0.5342216556135204,-1.0436460658619695,-0.04126901820122875,6,384,4
encoder_training,pilot,melt_to_melt,pooled,rich,3000,0,melt_to_melt,pooled,residual,residual,0.6977309166865928,0.6938316588042819,-0.5588483739301431,-1.087694841843001,-0.04484178393929783,6,384,5
residual_vs_ridge,pilot,melt_to_melt,pooled,rich,3000,3000,melt_to_melt,pooled,residual,ridge,0.6940034870317423,0.6938316588042819,-0.024758986182527032,-0.14250106217853498,0.09223321028841713,6,384,3
encoder_training,pilot,melt_to_melt,exported,angular,10000,0,melt_to_melt,exported,ridge,ridge,0.9696700362187287,0.9656622001271764,-0.41331957695435184,-1.7296541119779296,0.7623348849224332,6,384,3
export_vs_pooled,pilot,melt_to_melt,exported,angular,10000,10000,melt_to_melt,pooled,ridge,ridge,0.9566768662750618,0.9656622001271764,0.9392234900693408,-0.036172709871062914,1.996704750115752,6,384,1
encoder_training,pilot,melt_to_melt,exported,angular,10000,0,melt_to_melt,exported,residual,residual,0.9698150138429901,0.9655659412222708,-0.4381322788437614,-1.658751376766854,0.7003626908238969,6,384,3
export_vs_pooled,pilot,melt_to_melt,exported,angular,10000,10000,melt_to_melt,pooled,residual,residual,0.9566768662750618,0.9655659412222708,0.9291616909082201,0.0027636778321399325,1.9754079195954732,6,384,1
residual_vs_ridge,pilot,melt_to_melt,exported,angular,10000,10000,melt_to_melt,exported,residual,ridge,0.9656622001271764,0.9655659412222708,-0.009968175713304106,-0.06630375052717463,0.04816985058102574,6,384,3
encoder_training,pilot,melt_to_melt,exported,radial,10000,0,melt_to_melt,exported,ridge,ridge,0.335062144929137,0.4361598974303672,30.172836302534733,24.028818807373064,35.13093819679221,6,384,0
export_vs_pooled,pilot,melt_to_melt,exported,radial,10000,10000,melt_to_melt,pooled,ridge,ridge,0.3641541351764817,0.4361598974303672,19.77342979202721,16.779665924878586,22.919552891424424,6,384,0
encoder_training,pilot,melt_to_melt,exported,radial,10000,0,melt_to_melt,exported,residual,residual,0.3326650605713578,0.43756896803566686,31.534392966948445,25.3064697562958,36.613545604410966,6,384,0
export_vs_pooled,pilot,melt_to_melt,exported,radial,10000,10000,melt_to_melt,pooled,residual,residual,0.36262952259356934,0.43756896803566686,20.665566583250516,17.269260851978864,24.259997033539804,6,384,0
residual_vs_ridge,pilot,melt_to_melt,exported,radial,10000,10000,melt_to_melt,exported,residual,ridge,0.4361598974303672,0.43756896803566686,0.32306285231658016,0.017714372592081418,0.671565528601259,6,384,2
encoder_training,pilot,melt_to_melt,exported,rich,10000,0,melt_to_melt,exported,ridge,ridge,0.7020008428799966,0.7164624143791828,2.0600504466428804,1.4883434693233388,2.736758816978946,6,384,0
export_vs_pooled,pilot,melt_to_melt,exported,rich,10000,10000,melt_to_melt,pooled,ridge,ridge,0.7001921557147232,0.7164624143791828,2.3236847959045903,2.158620628521879,2.5362214431698282,6,384,0
encoder_training,pilot,melt_to_melt,exported,rich,10000,0,melt_to_melt,exported,residual,residual,0.7020597593399862,0.716251138796546,2.021391949582929,1.4348697079524353,2.7224670027689246,6,384,0
export_vs_pooled,pilot,melt_to_melt,exported,rich,10000,10000,melt_to_melt,pooled,residual,residual,0.7004672823559278,0.716251138796546,2.25333243082122,2.0467669546473166,2.4656738806904404,6,384,0
residual_vs_ridge,pilot,melt_to_melt,exported,rich,10000,10000,melt_to_melt,exported,residual,ridge,0.7164624143791828,0.716251138796546,-0.029488718235115563,-0.07575994994711843,0.014123742574256859,6,384,4
encoder_training,pilot,melt_to_melt,pooled,angular,10000,0,melt_to_melt,pooled,ridge,ridge,0.9596458948207603,0.9566768662750618,-0.30938792753895106,-0.9212633261702741,0.24063535583909168,6,384,4
encoder_training,pilot,melt_to_melt,pooled,angular,10000,0,melt_to_melt,pooled,residual,residual,0.9596458948207603,0.9566768662750618,-0.30938792753895106,-0.9212633261702741,0.24063535583909168,6,384,4
residual_vs_ridge,pilot,melt_to_melt,pooled,angular,10000,10000,melt_to_melt,pooled,residual,ridge,0.9566768662750618,0.9566768662750618,0.0,0.0,0.0,6,384,0
encoder_training,pilot,melt_to_melt,pooled,radial,10000,0,melt_to_melt,pooled,ridge,ridge,0.3341813308452569,0.3641541351764817,8.969024168828788,5.719725454162949,12.367481802943935,6,384,0
encoder_training,pilot,melt_to_melt,pooled,radial,10000,0,melt_to_melt,pooled,residual,residual,0.3260900752829054,0.36262952259356934,11.205323338639928,7.968930477168423,14.209868285968463,6,384,0
residual_vs_ridge,pilot,melt_to_melt,pooled,radial,10000,10000,melt_to_melt,pooled,residual,ridge,0.3641541351764817,0.36262952259356934,-0.41867232461152426,-1.223816622507301,0.30541666198911077,6,384,3
encoder_training,pilot,melt_to_melt,pooled,rich,10000,0,melt_to_melt,pooled,ridge,ridge,0.6977309166865928,0.7001921557147232,0.3527490282096535,-0.2082413976887909,0.9563659922920076,6,384,2
encoder_training,pilot,melt_to_melt,pooled,rich,10000,0,melt_to_melt,pooled,residual,residual,0.6977309166865928,0.7004672823559278,0.3921806535862826,-0.17911685472273842,0.9987020027417772,6,384,2
residual_vs_ridge,pilot,melt_to_melt,pooled,rich,10000,10000,melt_to_melt,pooled,residual,ridge,0.7001921557147232,0.7004672823559278,0.039293019631703174,-0.03833068534593309,0.11125711819777173,6,384,2
export_vs_pooled,paired_relaxed,observed_to_observed,exported,angular,0,0,observed_to_observed,pooled,ridge,ridge,0.9531179411733086,0.9571263283735664,0.42055521432355913,-0.03237337361122888,0.8996142366804393,15,960,4
export_vs_pooled,paired_relaxed,observed_to_observed,exported,angular,0,0,observed_to_observed,pooled,residual,residual,0.9556094949036564,0.9571180081416385,0.15785875360458945,-0.1434702129593335,0.5031425118130295,15,960,7
residual_vs_ridge,paired_relaxed,observed_to_observed,exported,angular,0,0,observed_to_observed,exported,residual,ridge,0.9571263283735664,0.9571180081416385,-0.000869292974314817,-0.12317662548312763,0.12289248161597653,15,960,7
export_vs_pooled,paired_relaxed,observed_to_observed,exported,radial,0,0,observed_to_observed,pooled,ridge,ridge,0.2786361096360221,0.2740970366285261,-1.6290325806749606,-3.0192313452843966,-0.32410906485466073,15,960,9
export_vs_pooled,paired_relaxed,observed_to_observed,exported,radial,0,0,observed_to_observed,pooled,residual,residual,0.2734721668132028,0.27426817883920784,0.2910760664535106,-0.7862621166499492,1.3268452440499316,15,960,6
residual_vs_ridge,paired_relaxed,observed_to_observed,exported,radial,0,0,observed_to_observed,exported,residual,ridge,0.2740970366285261,0.27426817883920784,0.06243854832830298,-0.010225229549643833,0.1296267184806976,15,960,3
export_vs_pooled,paired_relaxed,observed_to_observed,exported,rich,0,0,observed_to_observed,pooled,ridge,ridge,0.6009391475578767,0.6007226767060732,-0.036022091867915496,-0.25533862536372187,0.18433604862512776,15,960,8
export_vs_pooled,paired_relaxed,observed_to_observed,exported,rich,0,0,observed_to_observed,pooled,residual,residual,0.6017426045954187,0.6007226767060732,-0.1694957082241655,-0.4802053782806365,0.11445395497601873,15,960,8
residual_vs_ridge,paired_relaxed,observed_to_observed,exported,rich,0,0,observed_to_observed,exported,residual,ridge,0.6007226767060732,0.6007226767060732,0.0,0.0,0.0,15,960,0
residual_vs_ridge,paired_relaxed,observed_to_observed,pooled,angular,0,0,observed_to_observed,pooled,residual,ridge,0.9531179411733086,0.9556094949036564,0.2614108519750191,-0.1359868597127889,0.6752359810073072,15,960,6
residual_vs_ridge,paired_relaxed,observed_to_observed,pooled,radial,0,0,observed_to_observed,pooled,residual,ridge,0.2786361096360221,0.2734721668132028,-1.8532927514545272,-2.2879332973549578,-1.4503072633376621,15,960,13
residual_vs_ridge,paired_relaxed,observed_to_observed,pooled,rich,0,0,observed_to_observed,pooled,residual,ridge,0.6009391475578767,0.6017426045954187,0.13370023251224605,-0.03447567380606864,0.31584878057680066,15,960,5
export_vs_pooled,paired_relaxed,observed_to_relaxed,exported,angular,0,0,observed_to_relaxed,pooled,ridge,ridge,0.9113223538243376,0.9085298776387862,-0.30642024458554795,-0.623900692652721,0.022116955780626304,15,960,8
export_vs_pooled,paired_relaxed,observed_to_relaxed,exported,angular,0,0,observed_to_relaxed,pooled,residual,residual,0.9116423502381535,0.9104778815194873,-0.12773306531470574,-0.389629694753352,0.1517922148675048,15,960,8
residual_vs_ridge,paired_relaxed,observed_to_relaxed,exported,angular,0,0,observed_to_relaxed,exported,residual,ridge,0.9085298776387862,0.9104778815194873,0.21441274840225955,-0.137349609014496,0.6027138022228418,15,960,5
export_vs_pooled,paired_relaxed,observed_to_relaxed,exported,radial,0,0,observed_to_relaxed,pooled,ridge,ridge,0.7250151599887934,0.7273087619306708,0.3163522735045943,-0.0950191139911799,0.7354211436098685,15,960,5
export_vs_pooled,paired_relaxed,observed_to_relaxed,exported,radial,0,0,observed_to_relaxed,pooled,residual,residual,0.7250151599887934,0.7273087619306708,0.3163522735045943,-0.0950191139911799,0.7354211436098685,15,960,5
residual_vs_ridge,paired_relaxed,observed_to_relaxed,exported,radial,0,0,observed_to_relaxed,exported,residual,ridge,0.7273087619306708,0.7273087619306708,0.0,0.0,0.0,15,960,0
export_vs_pooled,paired_relaxed,observed_to_relaxed,exported,rich,0,0,observed_to_relaxed,pooled,ridge,ridge,0.7249146299129833,0.7266113800761502,0.23406206650438133,0.0071407311411542124,0.4839206728323763,15,960,5
export_vs_pooled,paired_relaxed,observed_to_relaxed,exported,rich,0,0,observed_to_relaxed,pooled,residual,residual,0.7240577445310079,0.7266113800761502,0.35268396263012924,0.14694729578517252,0.6028446679325439,15,960,3
residual_vs_ridge,paired_relaxed,observed_to_relaxed,exported,rich,0,0,observed_to_relaxed,exported,residual,ridge,0.7266113800761502,0.7266113800761502,0.0,0.0,0.0,15,960,0
residual_vs_ridge,paired_relaxed,observed_to_relaxed,pooled,angular,0,0,observed_to_relaxed,pooled,residual,ridge,0.9113223538243376,0.9116423502381535,0.03511341650659361,-0.39178060163477885,0.4723912258398265,15,960,8
residual_vs_ridge,paired_relaxed,observed_to_relaxed,pooled,radial,0,0,observed_to_relaxed,pooled,residual,ridge,0.7250151599887934,0.7250151599887934,0.0,0.0,0.0,15,960,0
residual_vs_ridge,paired_relaxed,observed_to_relaxed,pooled,rich,0,0,observed_to_relaxed,pooled,residual,ridge,0.7249146299129833,0.7240577445310079,-0.11820500602646167,-0.35386824120977767,0.11425425406342207,15,960,8
export_vs_pooled,paired_relaxed,relaxed_to_relaxed,exported,angular,0,0,relaxed_to_relaxed,pooled,ridge,ridge,0.8498028104048584,0.8533478569822331,0.4171610794845293,-0.24475807131275146,1.1069621937076348,15,960,6
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,exported,angular,0,0,observed_to_relaxed,exported,ridge,ridge,0.9085298776387862,0.8533478569822331,-6.073770606198203,-7.379223532464408,-4.739108475858955,15,960,15
export_vs_pooled,paired_relaxed,relaxed_to_relaxed,exported,angular,0,0,relaxed_to_relaxed,pooled,residual,residual,0.8498402728857742,0.8533478569822331,0.41273451122154636,-0.033547726771739596,0.8452102651981536,15,960,4
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,exported,angular,0,0,observed_to_relaxed,exported,residual,residual,0.9104778815194873,0.8533478569822331,-6.274729534550627,-7.40392903254555,-5.1261015269109915,15,960,15
residual_vs_ridge,paired_relaxed,relaxed_to_relaxed,exported,angular,0,0,relaxed_to_relaxed,exported,residual,ridge,0.8533478569822331,0.8533478569822331,0.0,0.0,0.0,15,960,0
export_vs_pooled,paired_relaxed,relaxed_to_relaxed,exported,radial,0,0,relaxed_to_relaxed,pooled,ridge,ridge,0.22512588507646902,0.22557018853928976,0.19735778614253796,-1.377211879406163,1.7226756402703647,15,960,6
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,exported,radial,0,0,observed_to_relaxed,exported,ridge,ridge,0.7273087619306708,0.22557018853928976,-68.98563576485667,-69.63695774487138,-68.36523256888665,15,960,15
export_vs_pooled,paired_relaxed,relaxed_to_relaxed,exported,radial,0,0,relaxed_to_relaxed,pooled,residual,residual,0.22019196748652015,0.22730058260758743,3.2283716804984985,2.002017090630775,4.553479621683883,15,960,2
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,exported,radial,0,0,observed_to_relaxed,exported,residual,residual,0.7273087619306708,0.22730058260758743,-68.74771836871471,-69.4238433088183,-68.0812705345392,15,960,15
residual_vs_ridge,paired_relaxed,relaxed_to_relaxed,exported,radial,0,0,relaxed_to_relaxed,exported,residual,ridge,0.22557018853928976,0.22730058260758743,0.7671200168351433,0.4074254295597157,1.1638135222714374,15,960,3
export_vs_pooled,paired_relaxed,relaxed_to_relaxed,exported,rich,0,0,relaxed_to_relaxed,pooled,ridge,ridge,0.5400787247126422,0.5335344025574212,-1.211734855636637,-1.5404487519217949,-0.9289829533124273,15,960,14
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,exported,rich,0,0,observed_to_relaxed,exported,ridge,ridge,0.7266113800761502,0.5335344025574212,-26.572247946143392,-27.263522998582314,-25.93373389387877,15,960,15
export_vs_pooled,paired_relaxed,relaxed_to_relaxed,exported,rich,0,0,relaxed_to_relaxed,pooled,residual,residual,0.5362714858575988,0.5335721644717482,-0.5033497877542148,-0.9043053955729804,-0.10408859040618113,15,960,12
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,exported,rich,0,0,observed_to_relaxed,exported,residual,residual,0.7266113800761502,0.5335721644717482,-26.567050957028936,-27.250536114991707,-25.92869213298892,15,960,15
residual_vs_ridge,paired_relaxed,relaxed_to_relaxed,exported,rich,0,0,relaxed_to_relaxed,exported,residual,ridge,0.5335344025574212,0.5335721644717482,0.007077690612988796,-0.01971488423861828,0.03525171114417635,15,960,7
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,pooled,angular,0,0,observed_to_relaxed,pooled,ridge,ridge,0.9113223538243376,0.8498028104048584,-6.750579875640517,-8.024450424518328,-5.349061753378228,15,960,15
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,pooled,angular,0,0,observed_to_relaxed,pooled,residual,residual,0.9116423502381535,0.8498402728857742,-6.7792021000597895,-7.926751369240467,-5.600020755784335,15,960,15
residual_vs_ridge,paired_relaxed,relaxed_to_relaxed,pooled,angular,0,0,relaxed_to_relaxed,pooled,residual,ridge,0.8498028104048584,0.8498402728857742,0.004408373384645614,-0.38802269860854693,0.42742038173328606,15,960,9
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,pooled,radial,0,0,observed_to_relaxed,pooled,ridge,ridge,0.7250151599887934,0.22512588507646902,-68.94880307331107,-69.50093272077517,-68.43848470808273,15,960,15
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,pooled,radial,0,0,observed_to_relaxed,pooled,residual,residual,0.7250151599887934,0.22019196748652015,-69.62932920051995,-70.25651459653832,-69.02503325058152,15,960,15
residual_vs_ridge,paired_relaxed,relaxed_to_relaxed,pooled,radial,0,0,relaxed_to_relaxed,pooled,residual,ridge,0.22512588507646902,0.22019196748652015,-2.1916260710193147,-3.2009784968058046,-1.2663435175352244,15,960,12
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,pooled,rich,0,0,observed_to_relaxed,pooled,ridge,ridge,0.7249146299129833,0.5400787247126422,-25.497610004439874,-26.01352452011842,-24.97486664373198,15,960,15
relaxed_vs_observed_input,paired_relaxed,relaxed_to_relaxed,pooled,rich,0,0,observed_to_relaxed,pooled,residual,residual,0.7240577445310079,0.5362714858575988,-25.93526001093234,-26.523257079429158,-25.388980023109976,15,960,15
residual_vs_ridge,paired_relaxed,relaxed_to_relaxed,pooled,rich,0,0,relaxed_to_relaxed,pooled,residual,ridge,0.5400787247126422,0.5362714858575988,-0.7049414614636262,-1.0605702128887673,-0.3942742031223359,15,960,12
