model,representation,material,status,input_support,checkpoint_step,precision,liquid_order_r2,liquid_topology_r2,boundary_ap,fault_ap,nonbulk_ami,nonbulk_spatial_auc,liquid_rank,future_residual_mse,onset_ap12,onset_brier12,hazard_selected_step,brier_delta,brier_ci_low,brier_ci_high,future_mse_delta,future_ci_low,future_ci_high,family,liquid_order_embedding_nmse,liquid_order_density_nmse,liquid_order_embedding_neighbor_nmse,liquid_order_retrieval_gain_vs_density,liquid_topology_embedding_nmse,liquid_topology_density_nmse,liquid_topology_embedding_neighbor_nmse,liquid_topology_retrieval_gain_vs_density,nonbulk_boundary_ap,nonbulk_fault_ap
factorial23-E-future-residual,encoder,Al,complete,radius,4096,float32,0.3946324288845062,-401.39771110316116,0.6435109054200927,0.5187326458139349,0.13628298053713991,0.5707858975739978,1.6083392044751619,1.3356875827070325,0.11258398967602301,0.0368403715172902,128,0.005276298497715004,-0.00154609205664327,0.013058433704096772,0.0036641558011372886,-0.01244799236456553,0.017291897932688385,geometry,0.606142880387206,0.95821729147284,1.4827887692499315,0.3648834672743393,1.6158546874841944,1.8944419972199713,2.6421373029673885,0.15873256036720215,0.6701999889597571,0.805910636015279
factorial23-F-distance-future,encoder,Al,complete,radius,4096,float32,0.3951085905234019,-401.98295998573303,0.6432939930881559,0.5193172932818254,0.13790810477497972,0.5710177427738308,1.6199332896430996,1.3356406501814488,0.11386889885554154,0.03678053854120215,128,0.005216465521626951,-0.0015934277728087665,0.012934791215572436,0.003617231051127116,-0.012608923614025117,0.0173467943072319,geometry,0.6056631017170321,0.95821729147284,1.4817636963474807,0.36590854017679014,1.6157830263279358,1.8944419972199713,2.643758053115421,0.15711181021916945,0.6702439428825601,0.8059297691414982
relaxed-cold-control,encoder,Al,complete,nearest80,2048,bf16,0.2853575050830841,-158.35337458799282,0.5894720272660061,0.5825031270292592,0.1388976900954981,0.5486797693233615,2.5804971677477107,1.3234616870002354,0.12192616190124292,0.0318149968479751,256,0.0002509238283999035,-0.0028878178918361557,0.004012260471690243,-0.008561718463897704,-0.016189958254496255,-0.0016683717568715427,neighborhood,0.7150371121745365,0.95821729147284,1.6101188380926226,0.23755339843164847,1.6968600766208637,1.8944419972199713,2.5949013831717727,0.20596848016281788,0.611014388642425,0.8387712446533342
relaxed-cold-sig-temp1,encoder,Al,complete,nearest80,2048,bf16,0.2811500628789266,-201.30001343786716,0.5794303650020334,0.467161728177722,0.10817891460950042,0.5445272366833162,1.6199073654083855,1.325824227932996,0.12209499181992292,0.03141902045862135,256,-0.00014505256095385816,-0.003184831137667134,0.0033004166444474325,-0.006199181079864502,-0.015648220976193748,0.0028673406442006315,neighborhood,0.7192751204495077,0.95821729147284,1.6363924209573693,0.21127981556690142,1.7080910306307677,1.8944419972199713,2.6478582278456906,0.15301163548890018,0.5960510366180022,0.7993006247933157
relaxed-cold-sig-temp3,encoder,Al,complete,nearest80,2048,bf16,0.2725053330262502,-206.23252068956694,0.5651761929684537,0.46721362970423086,0.10011151885063659,0.5412774649195713,2.180946122078428,1.3362856650734707,0.11941377660690629,0.030834198450817526,256,-0.0007298745687576752,-0.004201434080554635,0.0026860197816842625,0.004262252648671468,-0.010214579304059347,0.018398530483245825,neighborhood,0.7280191070555798,0.95821729147284,1.6679597020935804,0.17971253443069055,1.726778720891027,1.8944419972199713,2.6941178170008544,0.10675204633373607,0.5814643185326812,0.7776777534504538
relaxed-cold-vic-temp001,encoder,Al,complete,nearest80,2048,bf16,0.2859935164451599,-165.81316486994425,0.5807934047960327,0.4776936698071058,0.13820228791400999,0.5507078503405093,2.174994478804914,1.3223166878015036,0.12130223365601298,0.030973312659577604,256,-0.0005907603599975967,-0.0035164056670594123,0.0022430846189452256,-0.009706695874532064,-0.0167347784837087,-0.0032819032669067385,neighborhood,0.7143952336758677,0.95821729147284,1.6038832674412389,0.2437889690830318,1.7010887965319446,1.8944419972199713,2.6091191352187817,0.1917507281158087,0.6034999860415944,0.8322976160062503
relaxed-cold-vic-global01,encoder,Al,complete,nearest80,2048,bf16,0.2738810082276662,-252.21262402832508,0.550492666832672,0.39491187076671896,0.11967053788222702,0.566790101540544,2.7698547668256435,1.3414701677684207,0.1445124181478048,0.03221879572841435,256,0.0006547227088391556,-0.004787900509509083,0.005743786586518854,0.00944676399230957,-0.010909609297911325,0.03136788606643676,neighborhood,0.7267618794839743,0.95821729147284,1.604536172024029,0.24313606450024192,1.728742406858256,1.8944419972199713,2.6062552469136047,0.19461461642098588,0.5570284417326256,0.7970793902221713
relaxed-hot-control,encoder,Al,complete,nearest80,2048,bf16,0.2941218614578247,-164.47912582258382,0.5934336195244696,0.5276713797403615,0.13776810250238178,0.5502427995247028,2.5432663634545154,1.3234213958620482,0.12356032256119207,0.03171436747078837,256,0.00015029445121317192,-0.0030533604120378324,0.004048171215783633,-0.008602007230122884,-0.015276756286621094,-0.002399542729059855,neighborhood,0.7062822036742545,0.95821729147284,1.5920978718590988,0.255574364665172,1.689619773867312,1.8944419972199713,2.578224883584014,0.2226449797505766,0.6149391612639856,0.8279082967819409
relaxed-hot-vic-temp01,encoder,Al,complete,nearest80,2048,bf16,0.2863095502058665,-276.2208819662531,0.5720560630992617,0.4722199069518106,0.09877307224316752,0.5473736001950228,2.563611131955832,1.3477289399442574,0.10634355324300512,0.03135810258596868,256,-0.00020597043360652418,-0.003755843811267928,0.0036153748409765854,0.015705525875091553,-0.002254639367262522,0.03570030699173609,neighborhood,0.714250811308327,0.95821729147284,1.5990012566171974,0.24867097990707343,1.7167461481349944,1.8944419972199713,2.6399758019030504,0.16089406143154003,0.5885202790253392,0.7767003958750811
relaxed-hot-to-cold-vic-temp01,encoder,Al,complete,nearest80,768,bf16,0.29122622807820636,-215.15303633610407,0.6088647902384955,0.49102108360965513,0.11052365966656048,0.5573100558772116,2.1516696617011064,1.3485704323199266,0.11638731388776748,0.03132712154172143,256,-0.00023695147785376229,-0.0043740360101066555,0.004001561264251949,0.016547016302744546,-0.0036170625686645507,0.04181310971577962,neighborhood,0.7093714217312489,0.95821729147284,1.6252933040068667,0.2223789325174043,1.7077840929443469,1.8944419972199713,2.6232176964522838,0.1776521668823067,0.6175650747067483,0.8033197519954014
