left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
state_history,state_constant,D,all,future/3ps/instantaneous_TDA_H0,1,0.0011571059624354044,-0.003480844926089048,0.006535384760548671,30
state_history,state_constant,D,all,future/3ps/instantaneous_TDA_H1,1,-0.0015839758018652598,-0.004942074045538902,0.001966006799290577,30
state_history,state_constant,D,all,future/3ps/instantaneous_TDA_H2,1,-0.0018679966529210408,-0.004868004604553183,0.001093333093449471,30
state_history,state_constant,D,all,future/3ps/motion_even,1,0.021698359648386636,-0.00881366841495037,0.05106306565304597,30
state_history,state_constant,D,all,future/3ps/motion_odd,1,0.027292129397392274,-0.002451763426264127,0.05922258540987966,30
state_history,state_constant,D,all,future/9ps/block_mean,1,-0.0009476685068673542,-0.007686035369212426,0.005456183212809258,30
state_history,state_constant,D,all,future/9ps/bond_order,1,-0.003190842270851135,-0.012408690055211386,0.006131047519544759,30
state_history,state_constant,D,all,future/9ps/instantaneous_TDA_H0,1,-2.0597875118255615e-05,-0.006742196499059598,0.006323709096759548,30
state_history,state_constant,D,all,future/9ps/instantaneous_TDA_H1,1,-0.0012375445415576298,-0.005817321287468076,0.0028789687436074018,30
state_history,state_constant,D,all,future/9ps/instantaneous_TDA_H2,1,-0.0025831977526346844,-0.00773329862082998,0.00275721195153892,30
state_history,state_constant,D,all,future/9ps/motion_even,1,-0.002622707188129425,-0.029568756247560182,0.024355143569409838,30
state_history,state_constant,D,all,future/9ps/motion_odd,1,0.003968878587086996,-0.02480870376030604,0.031778932511806475,30
state_history,state_constant,D,all,path/0.75ps/mean_std_qbar6,1,0.00011144953896291554,-0.0010840346706875912,0.0013177232900731415,30
state_history,state_constant,D,all,path/3ps/mean_std_qbar6,1,0.0003804650118884941,-0.0009038449629830817,0.0017761734080462086,30
state_history,state_constant,D,all,path/9ps/mean_std_qbar6,1,-0.0018494539506112536,-0.003912489696910295,5.3869689581915484e-05,30
state_history,state_constant,D,at_risk,hazard/bin0/brier,1,0.009628204577147172,-0.0015643910431067764,0.031253215474159206,24
state_history,state_constant,D,at_risk,hazard/bin1/brier,1,0.015415590049474176,-0.005165090833132304,0.05113951914224055,24
state_history,state_constant,D,at_risk,hazard/bin2/brier,1,0.012935100681344144,-0.00655181491665721,0.04166677469254717,24
state_history,state_constant,D,at_risk,hazard/nll,1,0.034155444614649845,-0.025516381565209183,0.11161148995893179,24
state_history,state_constant,D,low_order,delta/0.75ps/block_mean,1,-0.048744816223488134,-0.09411291025359839,0.008141982024900742,17
state_history,state_constant,D,low_order,delta/0.75ps/bond_order,1,-0.0028937862199895524,-0.008687364299069434,0.001218160439063518,17
state_history,state_constant,D,low_order,delta/0.75ps/instantaneous_TDA_H0,1,-0.002763649120050318,-0.009065834147965206,0.0028481325244202236,17
state_history,state_constant,D,low_order,delta/0.75ps/instantaneous_TDA_H1,1,-0.0005752542877898497,-0.0030831951209727457,0.0017889183672035438,17
state_history,state_constant,D,low_order,delta/0.75ps/instantaneous_TDA_H2,1,0.003069007659659666,0.00019228174625074163,0.006844650964964836,17
state_history,state_constant,D,low_order,delta/0.75ps/motion_even,1,0.019091981298783246,-0.025925571427625766,0.06348723243264591,17
state_history,state_constant,D,low_order,delta/0.75ps/motion_odd,1,-0.308397196671542,-0.5671791182721362,0.013253903169841114,17
state_history,state_constant,D,low_order,delta/3ps/block_mean,1,-0.07153897637537879,-0.10945189131569917,-0.034432653752246974,17
state_history,state_constant,D,low_order,delta/3ps/bond_order,1,-0.0025725141167640686,-0.00793732565772884,0.0021759592544506566,17
state_history,state_constant,D,low_order,delta/3ps/instantaneous_TDA_H0,1,-0.003943030448520885,-0.012554710687083357,0.005595480321961286,17
state_history,state_constant,D,low_order,delta/3ps/instantaneous_TDA_H1,1,-0.0012710821979186114,-0.0047985179568914805,0.0024013339048799334,17
state_history,state_constant,D,low_order,delta/3ps/instantaneous_TDA_H2,1,0.0020162647261339076,-0.0010590015417512725,0.004940438106217804,17
state_history,state_constant,D,low_order,delta/3ps/motion_even,1,0.03482602974947761,-0.012759609695743112,0.08420586200321421,17
state_history,state_constant,D,low_order,delta/3ps/motion_odd,1,-0.45828952596468087,-0.6668615515836898,-0.26270868006874537,17
state_history,state_constant,D,low_order,delta/9ps/block_mean,1,-0.09220816509104243,-0.13123439588565744,-0.054006974037517565,17
state_history,state_constant,D,low_order,delta/9ps/bond_order,1,-0.0016806279035175547,-0.011166019255624098,0.0067247944938785865,17
state_history,state_constant,D,low_order,delta/9ps/instantaneous_TDA_H0,1,0.0019371811957920298,-0.00413193067207056,0.008139153624720431,17
state_history,state_constant,D,low_order,delta/9ps/instantaneous_TDA_H1,1,0.0025189365534221426,-0.0021721523035975066,0.008342655211248813,17
state_history,state_constant,D,low_order,delta/9ps/instantaneous_TDA_H2,1,0.004932360175777884,0.002255431201089831,0.007714475395486633,17
state_history,state_constant,D,low_order,delta/9ps/motion_even,1,0.002565874772913316,-0.03750909198732937,0.04468372236279879,17
state_history,state_constant,D,low_order,delta/9ps/motion_odd,1,-0.5635227153406424,-0.7947964439497274,-0.3365862290429719,17
state_history,state_constant,D,low_order,future/0.75ps/block_mean,1,0.008636778220534321,-0.000641722182798047,0.01831287705047312,17
state_history,state_constant,D,low_order,future/0.75ps/bond_order,1,-0.00540701431386611,-0.011388575000798,0.00024167866829563115,17
state_history,state_constant,D,low_order,future/0.75ps/instantaneous_TDA_H0,1,-0.00951086203841602,-0.028661518511088453,0.003693904278471179,17
state_history,state_constant,D,low_order,future/0.75ps/instantaneous_TDA_H1,1,0.00044807265786563647,-0.004616400467998842,0.00564936756649438,17
state_history,state_constant,D,low_order,future/0.75ps/instantaneous_TDA_H2,1,0.00013180142816375285,-0.005308520547388232,0.005978792944156069,17
state_history,state_constant,D,low_order,future/0.75ps/motion_even,1,0.021513516412061805,-0.006796721719643649,0.048237362810794014,17
state_history,state_constant,D,low_order,future/0.75ps/motion_odd,1,0.04464515517739689,-0.012861988649648777,0.12439783864161547,17
state_history,state_constant,D,low_order,future/3ps/block_mean,1,0.004510637080552541,-0.00952263046603868,0.017253819995504946,17
state_history,state_constant,D,low_order,future/3ps/bond_order,1,-0.004935633172007168,-0.012662059276857797,0.0036983160740312387,17
state_history,state_constant,D,low_order,future/3ps/instantaneous_TDA_H0,1,-0.004390063969527974,-0.008137263631557716,-0.0003228142747984226,17
state_history,state_constant,D,low_order,future/3ps/instantaneous_TDA_H1,1,-0.0010713032063315896,-0.006114378823515247,0.004187258584972686,17
state_history,state_constant,D,low_order,future/3ps/instantaneous_TDA_H2,1,0.0004524180994314306,-0.004045554666834719,0.005233312529676099,17
state_history,state_constant,D,low_order,future/3ps/motion_even,1,0.04253680390470168,-0.0043766750570605785,0.08303004643496345,17
state_history,state_constant,D,low_order,future/3ps/motion_odd,1,-0.005528399172951193,-0.06903309467084268,0.047231568834360874,17
state_history,state_constant,D,low_order,future/9ps/block_mean,1,-0.005036527984866905,-0.013213496063561996,0.003136760659296711,17
state_history,state_constant,D,low_order,future/9ps/bond_order,1,-0.006979531225036173,-0.013189365495653712,-0.0016331014826017286,17
state_history,state_constant,D,low_order,future/9ps/instantaneous_TDA_H0,1,-0.005289107122842003,-0.014244723002261976,0.0027491002179243977,17
state_history,state_constant,D,low_order,future/9ps/instantaneous_TDA_H1,1,-0.0030359770445262686,-0.008558175000636017,0.0018642672501942672,17
state_history,state_constant,D,low_order,future/9ps/instantaneous_TDA_H2,1,-0.0038785851177047283,-0.010752199886038023,0.0014988175538532859,17
state_history,state_constant,D,low_order,future/9ps/motion_even,1,0.012423055136904997,-0.02616613667239161,0.04793997032239156,17
