method,source,lag_ps,raw_increment_mse
frozen-halo_inner,19,9.0,4.4567692683036976e-05
frozen-halo_inner,28,9.0,3.8823200159646125e-05
frozen-halo_inner,29,9.0,2.839021637525822e-05
frozen-halo_inner,8,12.0,8.292303085403628e-05
frozen-halo_inner,9,12.0,1.3533796038499712e-05
frozen-halo_inner,18,12.0,7.836526308722503e-05
frozen-halo_inner,19,12.0,6.022085828582151e-05
frozen-halo_inner,28,12.0,5.673207168542599e-05
frozen-halo_inner,29,12.0,2.9590368874553444e-05
frozen-halo_center,8,0.75,0.00024673740747438547
frozen-halo_center,9,0.75,0.0002494135393902996
frozen-halo_center,18,0.75,0.00023632196698153432
frozen-halo_center,19,0.75,0.00029665070195992305
frozen-halo_center,28,0.75,0.0003078950852493565
frozen-halo_center,29,0.75,0.0003151066401581168
frozen-halo_center,8,1.5,0.0002622239875125538
frozen-halo_center,9,1.5,0.000266625040980087
frozen-halo_center,18,1.5,0.0002545118311059299
frozen-halo_center,19,1.5,0.0002803714372367622
frozen-halo_center,28,1.5,0.00032547212857950413
frozen-halo_center,29,1.5,0.0003285111446910908
frozen-halo_center,8,3.0,0.0003119680383658991
frozen-halo_center,9,3.0,0.00028746480533235215
frozen-halo_center,18,3.0,0.00030949204419785796
frozen-halo_center,19,3.0,0.0003237923477567601
frozen-halo_center,28,3.0,0.00036485109689254853
frozen-halo_center,29,3.0,0.00036804640305964525
frozen-halo_center,8,6.0,0.00031749485782283705
frozen-halo_center,9,6.0,0.00030805749605762356
frozen-halo_center,18,6.0,0.00030792095906953597
frozen-halo_center,19,6.0,0.000369350619215202
frozen-halo_center,28,6.0,0.00041262534920658424
frozen-halo_center,29,6.0,0.0003583403299763378
frozen-halo_center,8,9.0,0.0003680885101462115
frozen-halo_center,9,9.0,0.0002789401498486027
frozen-halo_center,18,9.0,0.00037358002097134774
frozen-halo_center,19,9.0,0.00039581370264369834
frozen-halo_center,28,9.0,0.00041668858373024266
frozen-halo_center,29,9.0,0.0003668945446433992
frozen-halo_center,8,12.0,0.0003749151768930393
frozen-halo_center,9,12.0,0.00035728184251343026
frozen-halo_center,18,12.0,0.0005035354892466336
frozen-halo_center,19,12.0,0.00052033908366045
frozen-halo_center,28,12.0,0.0005131237594024001
frozen-halo_center,29,12.0,0.00035545929708462196
trained-mean80,8,0.75,6.543123375878793e-06
trained-mean80,9,0.75,6.362683361200018e-06
trained-mean80,18,0.75,6.966341711171953e-06
trained-mean80,19,0.75,7.136399440714999e-06
trained-mean80,28,0.75,9.487591817936663e-06
trained-mean80,29,0.75,8.638999413096363e-06
trained-mean80,8,1.5,7.529060320773005e-06
trained-mean80,9,1.5,7.042170329660568e-06
trained-mean80,18,1.5,7.333600324541236e-06
trained-mean80,19,1.5,7.394827553276886e-06
