candidate,reference,comparison,normalization,lag_ps,squared_increment_ratio,ratio_ci95_low,ratio_ci95_high,rms_increment_ratio
trained-mean80,frozen-mean80,continuation,total,9.0,0.9969950528606367,0.9928001285957967,1.0020360734277314,0.9984963960178508
trained-mean80,frozen-mean80,continuation,total,12.0,0.9965437871992973,0.9881771825891653,1.0016323685657014,0.9982703978378289
trained-mean80,frozen-mean80,continuation,within_frame,0.75,0.996020996006452,0.9912641464757072,1.001316021867321,0.9980085149969673
trained-mean80,frozen-mean80,continuation,within_frame,1.5,0.9932714812432119,0.9882512133560105,0.9980485670980798,0.9966300623818307
trained-mean80,frozen-mean80,continuation,within_frame,3.0,0.9949654372037583,0.9890881840445945,1.0021651261039166,0.99747954224824
trained-mean80,frozen-mean80,continuation,within_frame,6.0,0.993664592132723,0.9887708652791276,0.9998768660869373,0.9968272629361232
trained-mean80,frozen-mean80,continuation,within_frame,9.0,0.9896465670134247,0.9854825620008938,0.9946504320618571,0.9948098144939186
trained-mean80,frozen-mean80,continuation,within_frame,12.0,0.9891986274662087,0.9808936900382657,0.9942497027606954,0.9945846507292422
trained-halo_inner,frozen-halo_inner,continuation,total,0.75,1.0316120960331454,1.0247391769284389,1.0387414367731005,1.015683068694731
trained-halo_inner,frozen-halo_inner,continuation,total,1.5,1.0292784469772354,1.0205962730944416,1.03874911478439,1.01453361057051
trained-halo_inner,frozen-halo_inner,continuation,total,3.0,1.0198610943296802,1.002713142385142,1.0370189412868673,1.0098817229407018
trained-halo_inner,frozen-halo_inner,continuation,total,6.0,1.0111017350648606,0.9924764431245028,1.0307458179531288,1.005535546395482
trained-halo_inner,frozen-halo_inner,continuation,total,9.0,0.9950242002015037,0.9720211466016717,1.0204013455153034,0.9975089975541592
trained-halo_inner,frozen-halo_inner,continuation,total,12.0,0.9870169955223477,0.9677098832526796,1.013300486760367,0.9934872900658305
trained-halo_inner,frozen-halo_inner,continuation,within_frame,0.75,1.0178404031228478,1.011059235299142,1.0248745694346422,1.0088807675453269
trained-halo_inner,frozen-halo_inner,continuation,within_frame,1.5,1.0155379075385593,1.006971637911801,1.0248821449469263,1.0077390076495796
trained-halo_inner,frozen-halo_inner,continuation,within_frame,3.0,1.006246273549392,0.9893272413016362,1.0231750687145298,1.0031182749553473
trained-halo_inner,frozen-halo_inner,continuation,within_frame,6.0,0.9976038489408741,0.979227198715705,1.0169856895792866,0.9988012059168101
trained-halo_inner,frozen-halo_inner,continuation,within_frame,9.0,0.981740944047197,0.9590449738863766,1.0067793125537592,0.9908284130197302
trained-halo_inner,frozen-halo_inner,continuation,within_frame,12.0,0.9738406330001871,0.9547912645299427,0.9997732480015551,0.9868336399820322
trained-halo_center,frozen-halo_center,continuation,total,0.75,0.461104176909745,0.4518169493959325,0.4713811902143149,0.6790465204312183
trained-halo_center,frozen-halo_center,continuation,total,1.5,0.4652478173327656,0.45653369297923946,0.47449264580295125,0.682090769130301
trained-halo_center,frozen-halo_center,continuation,total,3.0,0.4635597629333004,0.45413467882079156,0.4749794487991456,0.6808522328180325
trained-halo_center,frozen-halo_center,continuation,total,6.0,0.48668762067113225,0.46852377794436495,0.5098053145863761,0.6976300027028168
trained-halo_center,frozen-halo_center,continuation,total,9.0,0.496540936841391,0.47509429926896507,0.5232452269178955,0.7046566091660469
trained-halo_center,frozen-halo_center,continuation,total,12.0,0.5000722895402103,0.4648105915618426,0.5282388590573606,0.7071578957631812
trained-halo_center,frozen-halo_center,continuation,within_frame,0.75,0.6087662419078523,0.5965049116609276,0.6223343227901139,0.7802347351328652
trained-halo_center,frozen-halo_center,continuation,within_frame,1.5,0.6142368243368498,0.6027321253992557,0.6264421778484905,0.7837326229887651
trained-halo_center,frozen-halo_center,continuation,within_frame,3.0,0.6120081944862474,0.5995648610224509,0.6270848725916369,0.782309526010164
trained-halo_center,frozen-halo_center,continuation,within_frame,6.0,0.6425424202501472,0.6185618648158298,0.6730632273716012,0.8015874376823449
trained-halo_center,frozen-halo_center,continuation,within_frame,9.0,0.6555511210073134,0.6272365022935448,0.6908070807811781,0.8096611149161811
trained-halo_center,frozen-halo_center,continuation,within_frame,12.0,0.6602133392628904,0.6136595832213737,0.6973998527039693,0.8125351310945825
