domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,root,standardized_rmse
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,all,independent_melt_542619615,0.6881220124093876
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,all,independent_melt_746071054,0.7177887493951166
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,all,independent_melt_76681035,0.6910175470406871
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,liquid,independent_melt_200290231,0.6910822331952142
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,liquid,independent_melt_294342775,0.7119643588670629
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,liquid,independent_melt_511618678,0.6857440107125449
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,liquid,independent_melt_542619615,0.6881220124093876
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,liquid,independent_melt_746071054,0.7177887493951166
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,liquid,independent_melt_76681035,0.6910175470406871
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,all,independent_melt_200290231,0.6910822331952142
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,all,independent_melt_294342775,0.7119643588670629
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,all,independent_melt_511618678,0.6857440107125449
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,all,independent_melt_542619615,0.6881220124093876
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,all,independent_melt_746071054,0.7177887493951166
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,all,independent_melt_76681035,0.6910175470406871
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,liquid,independent_melt_200290231,0.6910822331952142
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,liquid,independent_melt_294342775,0.7119643588670629
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,liquid,independent_melt_511618678,0.6857440107125449
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,liquid,independent_melt_542619615,0.6881220124093876
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,liquid,independent_melt_746071054,0.7177887493951166
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,liquid,independent_melt_76681035,0.6910175470406871
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,all,independent_melt_200290231,0.946191461754712
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,all,independent_melt_294342775,1.023551832822968
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,all,independent_melt_511618678,0.9589795047629417
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,all,independent_melt_542619615,0.9327526001548775
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,all,independent_melt_746071054,0.9723509407360477
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,all,independent_melt_76681035,0.9649604859754942
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,liquid,independent_melt_200290231,0.946191461754712
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,liquid,independent_melt_294342775,1.023551832822968
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,liquid,independent_melt_511618678,0.9589795047629417
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,liquid,independent_melt_542619615,0.9327526001548775
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,liquid,independent_melt_746071054,0.9723509407360477
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,liquid,independent_melt_76681035,0.9649604859754942
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,all,independent_melt_200290231,0.948153582111035
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,all,independent_melt_294342775,1.0279139268531161
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,all,independent_melt_511618678,0.9621574321969101
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,all,independent_melt_542619615,0.9302658646111474
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,all,independent_melt_746071054,0.9767196073660352
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,all,independent_melt_76681035,0.9630924628316636
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,liquid,independent_melt_200290231,0.948153582111035
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,liquid,independent_melt_294342775,1.0279139268531161
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,liquid,independent_melt_511618678,0.9621574321969101
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,liquid,independent_melt_542619615,0.9302658646111474
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,liquid,independent_melt_746071054,0.9767196073660352
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,liquid,independent_melt_76681035,0.9630924628316636
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,all,independent_melt_200290231,0.33732318060430533
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,all,independent_melt_294342775,0.33882013624039453
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,all,independent_melt_511618678,0.32940541643986604
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,all,independent_melt_542619615,0.29665917174798995
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,all,independent_melt_746071054,0.33488009793997375
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,all,independent_melt_76681035,0.3411713792177657
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,liquid,independent_melt_200290231,0.33732318060430533
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,liquid,independent_melt_294342775,0.33882013624039453
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,liquid,independent_melt_511618678,0.32940541643986604
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,liquid,independent_melt_542619615,0.29665917174798995
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,liquid,independent_melt_746071054,0.33488009793997375
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,liquid,independent_melt_76681035,0.3411713792177657
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,all,independent_melt_200290231,0.3344152305933523
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,all,independent_melt_294342775,0.3378936317947281
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,all,independent_melt_511618678,0.3302078185718083
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,all,independent_melt_542619615,0.29650121176762045
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,all,independent_melt_746071054,0.33418591509563944
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,all,independent_melt_76681035,0.3444353464309239
