domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,standardized_rmse
pilot,10000,melt,melt,exported,angular,200,0.9416535350934938,0.941516311989437,residual,liquid,0.9655659412222708
pilot,10000,melt,melt,exported,radial,700,0.19430107053153428,0.1939360198135599,ridge,all,0.4361598974303672
pilot,10000,melt,melt,exported,radial,700,0.19430107053153428,0.1939360198135599,ridge,liquid,0.4361598974303672
pilot,10000,melt,melt,exported,radial,700,0.19430107053153428,0.1939360198135599,residual,all,0.4375689680356668
pilot,10000,melt,melt,exported,radial,700,0.19430107053153428,0.1939360198135599,residual,liquid,0.4375689680356668
pilot,10000,melt,melt,exported,rich,1900,0.5388415842258999,0.538654563925376,ridge,all,0.7164624143791828
pilot,10000,melt,melt,exported,rich,1900,0.5388415842258999,0.538654563925376,ridge,liquid,0.7164624143791828
pilot,10000,melt,melt,exported,rich,1900,0.5388415842258999,0.538654563925376,residual,all,0.716251138796546
pilot,10000,melt,melt,exported,rich,1900,0.5388415842258999,0.538654563925376,residual,liquid,0.716251138796546
pilot,10000,melt,melt,pooled,angular,0,0.9118609787097199,0.9118609787097199,ridge,all,0.9566768662750619
pilot,10000,melt,melt,pooled,angular,0,0.9118609787097199,0.9118609787097199,ridge,liquid,0.9566768662750619
pilot,10000,melt,melt,pooled,angular,0,0.9118609787097199,0.9118609787097199,residual,all,0.9566768662750619
pilot,10000,melt,melt,pooled,angular,0,0.9118609787097199,0.9118609787097199,residual,liquid,0.9566768662750619
pilot,10000,melt,melt,pooled,radial,500,0.13851918580384012,0.13453520863467777,ridge,all,0.36415413517648176
pilot,10000,melt,melt,pooled,radial,500,0.13851918580384012,0.13453520863467777,ridge,liquid,0.36415413517648176
pilot,10000,melt,melt,pooled,radial,500,0.13851918580384012,0.13453520863467777,residual,all,0.36262952259356934
pilot,10000,melt,melt,pooled,radial,500,0.13851918580384012,0.13453520863467777,residual,liquid,0.36262952259356934
pilot,10000,melt,melt,pooled,rich,200,0.5166990025473878,0.5156551964346746,ridge,all,0.7001921557147232
pilot,10000,melt,melt,pooled,rich,200,0.5166990025473878,0.5156551964346746,ridge,liquid,0.7001921557147232
pilot,10000,melt,melt,pooled,rich,200,0.5166990025473878,0.5156551964346746,residual,all,0.7004672823559278
pilot,10000,melt,melt,pooled,rich,200,0.5166990025473878,0.5156551964346746,residual,liquid,0.7004672823559278
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,all,0.9571263283735665
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,liquid,0.9571263283735665
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,all,0.9571180081416385
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,liquid,0.9571180081416385
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,all,0.2740970366285261
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,liquid,0.2740970366285261
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,all,0.2742681788392079
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,liquid,0.2742681788392079
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,all,0.6007226767060732
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,liquid,0.6007226767060732
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,all,0.6007226767060732
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,liquid,0.6007226767060732
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,all,0.9531179411733086
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,liquid,0.9531179411733086
