domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,temperature,standardized_rmse
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,liquid,T1325,0.3341813308452569
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,all,T1325,0.3260900752829054
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,liquid,T1325,0.3260900752829054
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,all,T1325,0.6977309166865928
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,liquid,T1325,0.6977309166865928
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,all,T1325,0.6977309166865928
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,liquid,T1325,0.6977309166865928
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,all,T1325,0.9668868282506987
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,ridge,liquid,T1325,0.9668868282506987
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,all,T1325,0.9685274082214951
pilot,1000,melt,melt,exported,angular,1200,0.9249972607953723,0.9222894279946656,residual,liquid,T1325,0.9685274082214951
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,all,T1325,0.3300614072791931
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,ridge,liquid,T1325,0.3300614072791931
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,all,T1325,0.32996761422023335
pilot,1000,melt,melt,exported,radial,4900,0.11238907047142117,0.11190159566627356,residual,liquid,T1325,0.32996761422023335
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,all,T1325,0.6978163292280433
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,ridge,liquid,T1325,0.6978163292280433
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,all,T1325,0.6979620879484546
pilot,1000,melt,melt,exported,rich,2200,0.5137783928792503,0.513726757107381,residual,liquid,T1325,0.6979620879484546
pilot,1000,melt,melt,pooled,angular,0,0.9196323895082924,0.9196323895082924,ridge,all,T1325,0.9561211316801362
pilot,1000,melt,melt,pooled,angular,0,0.9196323895082924,0.9196323895082924,ridge,liquid,T1325,0.9561211316801362
pilot,1000,melt,melt,pooled,angular,0,0.9196323895082924,0.9196323895082924,residual,all,T1325,0.9561211316801362
pilot,1000,melt,melt,pooled,angular,0,0.9196323895082924,0.9196323895082924,residual,liquid,T1325,0.9561211316801362
pilot,1000,melt,melt,pooled,radial,900,0.10665999903359662,0.10231956367832566,ridge,all,T1325,0.3258740566298518
pilot,1000,melt,melt,pooled,radial,900,0.10665999903359662,0.10231956367832566,ridge,liquid,T1325,0.3258740566298518
pilot,1000,melt,melt,pooled,radial,900,0.10665999903359662,0.10231956367832566,residual,all,T1325,0.3186980592384157
pilot,1000,melt,melt,pooled,radial,900,0.10665999903359662,0.10231956367832566,residual,liquid,T1325,0.3186980592384157
pilot,1000,melt,melt,pooled,rich,200,0.5078466291584489,0.5070566243246761,ridge,all,T1325,0.6946011222843497
pilot,1000,melt,melt,pooled,rich,200,0.5078466291584489,0.5070566243246761,ridge,liquid,T1325,0.6946011222843497
pilot,1000,melt,melt,pooled,rich,200,0.5078466291584489,0.5070566243246761,residual,all,T1325,0.6941182930199975
pilot,1000,melt,melt,pooled,rich,200,0.5078466291584489,0.5070566243246761,residual,liquid,T1325,0.6941182930199975
pilot,3000,melt,melt,exported,angular,800,0.9333786341503647,0.9320776284444374,ridge,all,T1325,0.9651163488692375
pilot,3000,melt,melt,exported,angular,800,0.9333786341503647,0.9320776284444374,ridge,liquid,T1325,0.9651163488692375
pilot,3000,melt,melt,exported,angular,800,0.9333786341503647,0.9320776284444374,residual,all,T1325,0.9652274185006929
pilot,3000,melt,melt,exported,angular,800,0.9333786341503647,0.9320776284444374,residual,liquid,T1325,0.9652274185006929
pilot,3000,melt,melt,exported,radial,700,0.13617440545305062,0.13562097155447514,ridge,all,T1325,0.36597321072492844
pilot,3000,melt,melt,exported,radial,700,0.13617440545305062,0.13562097155447514,ridge,liquid,T1325,0.36597321072492844
pilot,3000,melt,melt,exported,radial,700,0.13617440545305062,0.13562097155447514,residual,all,T1325,0.3658777131351098
pilot,3000,melt,melt,exported,radial,700,0.13617440545305062,0.13562097155447514,residual,liquid,T1325,0.3658777131351098
pilot,3000,melt,melt,exported,rich,200,0.524629794517215,0.5245590084453767,ridge,all,T1325,0.7036864698635203
pilot,3000,melt,melt,exported,rich,200,0.524629794517215,0.5245590084453767,ridge,liquid,T1325,0.7036864698635203
pilot,3000,melt,melt,exported,rich,200,0.524629794517215,0.5245590084453767,residual,all,T1325,0.7037468213382565
pilot,3000,melt,melt,exported,rich,200,0.524629794517215,0.5245590084453767,residual,liquid,T1325,0.7037468213382565
pilot,3000,melt,melt,pooled,angular,0,0.9123998395269219,0.9123998395269219,ridge,all,T1325,0.9572164921356235
pilot,3000,melt,melt,pooled,angular,0,0.9123998395269219,0.9123998395269219,ridge,liquid,T1325,0.9572164921356235
pilot,3000,melt,melt,pooled,angular,0,0.9123998395269219,0.9123998395269219,residual,all,T1325,0.9572164921356235
pilot,3000,melt,melt,pooled,angular,0,0.9123998395269219,0.9123998395269219,residual,liquid,T1325,0.9572164921356235
pilot,3000,melt,melt,pooled,radial,500,0.1134643203770994,0.10862228072341329,ridge,all,T1325,0.33366046937355326
pilot,3000,melt,melt,pooled,radial,500,0.1134643203770994,0.10862228072341329,ridge,liquid,T1325,0.33366046937355326
pilot,3000,melt,melt,pooled,radial,500,0.1134643203770994,0.10862228072341329,residual,all,T1325,0.3284893594280024
pilot,3000,melt,melt,pooled,radial,500,0.1134643203770994,0.10862228072341329,residual,liquid,T1325,0.3284893594280024
pilot,3000,melt,melt,pooled,rich,200,0.5080371708856113,0.5077946741349119,ridge,all,T1325,0.6940034870317423
pilot,3000,melt,melt,pooled,rich,200,0.5080371708856113,0.5077946741349119,ridge,liquid,T1325,0.6940034870317423
pilot,3000,melt,melt,pooled,rich,200,0.5080371708856113,0.5077946741349119,residual,all,T1325,0.6938316588042818
pilot,3000,melt,melt,pooled,rich,200,0.5080371708856113,0.5077946741349119,residual,liquid,T1325,0.6938316588042818
pilot,10000,melt,melt,exported,angular,200,0.9416535350934938,0.941516311989437,ridge,all,T1325,0.9656622001271764
pilot,10000,melt,melt,exported,angular,200,0.9416535350934938,0.941516311989437,ridge,liquid,T1325,0.9656622001271764
pilot,10000,melt,melt,exported,angular,200,0.9416535350934938,0.941516311989437,residual,all,T1325,0.9655659412222708
pilot,10000,melt,melt,exported,angular,200,0.9416535350934938,0.941516311989437,residual,liquid,T1325,0.9655659412222708
pilot,10000,melt,melt,exported,radial,700,0.19430107053153428,0.1939360198135599,ridge,all,T1325,0.4361598974303672
pilot,10000,melt,melt,exported,radial,700,0.19430107053153428,0.1939360198135599,ridge,liquid,T1325,0.4361598974303672
pilot,10000,melt,melt,exported,radial,700,0.19430107053153428,0.1939360198135599,residual,all,T1325,0.4375689680356668
pilot,10000,melt,melt,exported,radial,700,0.19430107053153428,0.1939360198135599,residual,liquid,T1325,0.4375689680356668
pilot,10000,melt,melt,exported,rich,1900,0.5388415842258999,0.538654563925376,ridge,all,T1325,0.7164624143791828
pilot,10000,melt,melt,exported,rich,1900,0.5388415842258999,0.538654563925376,ridge,liquid,T1325,0.7164624143791828
pilot,10000,melt,melt,exported,rich,1900,0.5388415842258999,0.538654563925376,residual,all,T1325,0.716251138796546
pilot,10000,melt,melt,exported,rich,1900,0.5388415842258999,0.538654563925376,residual,liquid,T1325,0.716251138796546
pilot,10000,melt,melt,pooled,angular,0,0.9118609787097199,0.9118609787097199,ridge,all,T1325,0.9566768662750619
pilot,10000,melt,melt,pooled,angular,0,0.9118609787097199,0.9118609787097199,ridge,liquid,T1325,0.9566768662750619
pilot,10000,melt,melt,pooled,angular,0,0.9118609787097199,0.9118609787097199,residual,all,T1325,0.9566768662750619
pilot,10000,melt,melt,pooled,angular,0,0.9118609787097199,0.9118609787097199,residual,liquid,T1325,0.9566768662750619
pilot,10000,melt,melt,pooled,radial,500,0.13851918580384012,0.13453520863467777,ridge,all,T1325,0.36415413517648176
pilot,10000,melt,melt,pooled,radial,500,0.13851918580384012,0.13453520863467777,ridge,liquid,T1325,0.36415413517648176
pilot,10000,melt,melt,pooled,radial,500,0.13851918580384012,0.13453520863467777,residual,all,T1325,0.36262952259356934
pilot,10000,melt,melt,pooled,radial,500,0.13851918580384012,0.13453520863467777,residual,liquid,T1325,0.36262952259356934
pilot,10000,melt,melt,pooled,rich,200,0.5166990025473878,0.5156551964346746,ridge,all,T1325,0.7001921557147232
pilot,10000,melt,melt,pooled,rich,200,0.5166990025473878,0.5156551964346746,ridge,liquid,T1325,0.7001921557147232
pilot,10000,melt,melt,pooled,rich,200,0.5166990025473878,0.5156551964346746,residual,all,T1325,0.7004672823559278
pilot,10000,melt,melt,pooled,rich,200,0.5166990025473878,0.5156551964346746,residual,liquid,T1325,0.7004672823559278
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,all,T400,1.0067293849543693
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,all,T450,0.9112742349890159
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,all,T500,0.8983081083383443
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,all,T510,0.9373018533035115
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,all,T520,1.025200972849368
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,liquid,T400,1.0067293849543693
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,liquid,T450,0.9112742349890159
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,liquid,T500,0.8983081083383443
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,liquid,T510,0.9373018533035115
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,ridge,liquid,T520,1.025200972849368
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,all,T400,1.008871499777634
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,all,T450,0.9107873718942511
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,all,T500,0.8971910065601326
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,all,T510,0.9375182140933354
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,all,T520,1.0242689898997908
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,liquid,T400,1.008871499777634
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,liquid,T450,0.9107873718942511
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,liquid,T500,0.8971910065601326
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,liquid,T510,0.9375182140933354
paired_relaxed,0,observed,observed,exported,angular,200,0.8949770345379722,0.8912609899527988,residual,liquid,T520,1.0242689898997908
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,all,T400,0.28831784586928866
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,all,T450,0.25451972622970337
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,all,T500,0.2711638351703704
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,all,T510,0.259119367137546
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,all,T520,0.29506911770953176
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,liquid,T400,0.28831784586928866
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,liquid,T450,0.25451972622970337
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,liquid,T500,0.2711638351703704
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,liquid,T510,0.259119367137546
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,ridge,liquid,T520,0.29506911770953176
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,all,T400,0.2882934093963763
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,all,T450,0.2545948144616424
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,all,T500,0.2713111213989781
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,all,T510,0.25930625930023443
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,all,T520,0.29552343301281936
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,liquid,T400,0.2882934093963763
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,liquid,T450,0.2545948144616424
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,liquid,T500,0.2713111213989781
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,liquid,T510,0.25930625930023443
paired_relaxed,0,observed,observed,exported,radial,200,0.07857109489592838,0.07844654111562428,residual,liquid,T520,0.29552343301281936
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,all,T400,0.6393219974862904
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,all,T450,0.5704765906562195
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,all,T500,0.5785860665405195
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,all,T510,0.5588394247770091
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,all,T520,0.650460740942921
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,liquid,T400,0.6393219974862904
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,liquid,T450,0.5704765906562195
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,liquid,T500,0.5785860665405195
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,liquid,T510,0.5588394247770091
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,ridge,liquid,T520,0.650460740942921
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,all,T400,0.6393219974862904
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,all,T450,0.5704765906562195
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,all,T500,0.5785860665405195
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,all,T510,0.5588394247770091
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,all,T520,0.650460740942921
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,liquid,T400,0.6393219974862904
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,liquid,T450,0.5704765906562195
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,liquid,T500,0.5785860665405195
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,liquid,T510,0.5588394247770091
paired_relaxed,0,observed,observed,exported,rich,0,0.3901234607960361,0.3901234607960361,residual,liquid,T520,0.650460740942921
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,all,T400,1.0121644144307531
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,all,T450,0.9012598660862845
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,all,T500,0.8903645693530665
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,all,T510,0.9306694679180022
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,all,T520,1.022999597263052
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,liquid,T400,1.0121644144307531
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,liquid,T450,0.9012598660862845
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,liquid,T500,0.8903645693530665
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,liquid,T510,0.9306694679180022
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,ridge,liquid,T520,1.022999597263052
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,all,T400,1.0093104367329544
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,all,T450,0.9055491850363674
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,all,T500,0.8958895677721415
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,all,T510,0.9347764666526008
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,all,T520,1.0250831621295589
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,liquid,T400,1.0093104367329544
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,liquid,T450,0.9055491850363674
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,liquid,T500,0.8958895677721415
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,liquid,T510,0.9347764666526008
paired_relaxed,0,observed,observed,pooled,angular,200,0.8965483258635771,0.8910892743914811,residual,liquid,T520,1.0250831621295589
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,all,T400,0.2892260698272739
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,all,T450,0.258154749720774
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,all,T500,0.2837001917819664
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,all,T510,0.26616031370961357
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,all,T520,0.29422389821908695
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,liquid,T400,0.2892260698272739
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,liquid,T450,0.258154749720774
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,liquid,T500,0.2837001917819664
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,liquid,T510,0.26616031370961357
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,ridge,liquid,T520,0.29422389821908695
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,all,T400,0.2862911052940889
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,all,T450,0.2500280723508635
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,all,T500,0.27507881595592454
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,all,T510,0.2634546134338545
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,all,T520,0.290485469251469
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,liquid,T400,0.2862911052940889
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,liquid,T450,0.2500280723508635
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,liquid,T500,0.27507881595592454
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,liquid,T510,0.2634546134338545
paired_relaxed,0,observed,observed,pooled,radial,200,0.07965800156942662,0.07736634311109966,residual,liquid,T520,0.290485469251469
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,all,T400,0.6385219712204462
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,all,T450,0.568789704912313
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,all,T500,0.5837111688276901
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,all,T510,0.5574636798584075
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,all,T520,0.6503251311590162
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,liquid,T400,0.6385219712204462
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,liquid,T450,0.568789704912313
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,liquid,T500,0.5837111688276901
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,liquid,T510,0.5574636798584075
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,ridge,liquid,T520,0.6503251311590162
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,all,T400,0.6385624321524042
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,all,T450,0.5707451504094764
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,all,T500,0.5834989190936614
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,all,T510,0.5586518311496882
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,all,T520,0.6514567886081875
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,liquid,T400,0.6385624321524042
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,liquid,T450,0.5707451504094764
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,liquid,T500,0.5834989190936614
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,liquid,T510,0.5586518311496882
paired_relaxed,0,observed,observed,pooled,rich,300,0.3949164453206915,0.3937281335253416,residual,liquid,T520,0.6514567886081875
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,all,T400,0.9658596387645513
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,all,T450,0.9044430821414426
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,all,T500,0.8590238403316084
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,all,T510,0.8331755143951051
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,all,T520,0.9716620637537652
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,liquid,T400,0.9658596387645513
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,liquid,T450,0.9044430821414426
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,liquid,T500,0.8590238403316084
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,liquid,T510,0.8331755143951051
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,ridge,liquid,T520,0.9716620637537652
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,residual,all,T400,0.9683160763802474
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,residual,all,T450,0.9122703608064311
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,residual,all,T500,0.8600245447582293
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,residual,all,T510,0.8285879283625872
paired_relaxed,0,observed,relaxed,exported,angular,300,0.8008438725564309,0.7979648356269472,residual,all,T520,0.9740515674664917
