source,temperature_K,threshold_fraction,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2
938,450.0,1.0,3200,256,0.08,54.42430130527527,48.535321541133136,116.89513697881034,47.55350768721678,0.34765625,0.1328125,0.5184881666157786,0.20550487164406187
942,450.0,0.0,3200,3200,1.0,76.7763393066605,74.65907609054366,147.97405322012304,53.47149304135667,0.6128125,0.3775,0.18806325883081537,0.0841289422573222
942,450.0,0.1,3200,3187,0.9959375,76.7472845712918,74.61875267498102,148.01749981188394,53.44230976198298,0.6121744587386256,0.37715720112958895,0.18851564505224302,0.08481911722023681
942,450.0,0.3,3200,2908,0.90875,75.58143122061115,73.15834530341246,147.85236348080386,53.00835780830815,0.6004126547455296,0.36519944979367264,0.20534705815469595,0.0944595939625225
942,450.0,0.5,3200,2160,0.675,71.21718668646425,67.0834456691758,144.93633674258993,51.407035897572,0.5472222222222223,0.324537037037037,0.2674429140975923,0.1291758413711411
942,450.0,1.0,3200,546,0.170625,43.2913357079934,32.89017724729088,110.62916277120425,38.26627078260905,0.23443223443223443,0.11172161172161173,0.6482534044426149,0.41122961626441595
970,500.0,0.0,3200,3200,1.0,76.14940076053286,71.40351071400158,147.82149946837413,53.140311820499754,0.601875,0.37625,0.19845476556579386,0.0873336965177862
970,500.0,0.1,3200,3184,0.995,76.05104870632802,71.28467653979268,147.67330726167927,53.169447190292644,0.6014447236180904,0.3756281407035176,0.19988882024290827,0.08663427390810229
970,500.0,0.3,3200,2959,0.9246875,75.46731420076661,70.6342298372485,147.44184168852746,52.84231952350006,0.591753970936127,0.3714092598850963,0.20796371767806968,0.09386971900358515
970,500.0,0.5,3200,2232,0.6975,71.31827943759336,65.09269542872246,144.94539780307971,51.14656529222755,0.5425627240143369,0.33736559139784944,0.26659548881953854,0.12997904095468296
970,500.0,1.0,3200,728,0.2275,44.946292771315356,36.76210407555757,104.61936431628124,40.04594623737737,0.22664835164835165,0.09752747252747253,0.6409210733606782,0.3684082346675279
971,500.0,0.0,3200,3200,1.0,78.85394554000905,75.75089358479536,147.99815224344525,55.17643496836753,0.6384375,0.3840625,0.16199106965320534,0.04234970141892434
971,500.0,0.1,3200,3190,0.996875,78.86814079085254,75.84975539577673,147.97335154432872,55.215510984239565,0.638871473354232,0.3843260188087774,0.1617435200455553,0.04156681710717356
971,500.0,0.3,3200,2919,0.9121875,78.50502589974332,75.06000455200088,147.9543128988928,55.18327155094271,0.6341212744090442,0.37889688249400477,0.16787374272241043,0.04196739191745635
971,500.0,0.5,3200,2128,0.665,75.38299408397211,70.73508571103709,144.23067392414907,54.8714952721328,0.6080827067669173,0.3458646616541353,0.2136159482730672,0.048355612240910006
971,500.0,1.0,3200,380,0.11875,60.78764101489722,55.51765656171825,131.63965517689476,49.433783692656384,0.4342105263157895,0.2,0.42565712915195136,0.16116281939732535
1000,510.0,0.0,3200,3200,1.0,73.91912714259296,69.2139342960245,145.18034555854356,53.510770422238394,0.57875,0.3375,0.2341730857566531,0.08046071488589736
1000,510.0,0.1,3200,3196,0.99875,73.92074213139824,69.2139342960245,145.18517924852256,53.49686347724081,0.5785356695869838,0.3376095118898623,0.23414113497462605,0.080729836734227
1000,510.0,0.3,3200,2982,0.931875,72.65679531451677,68.21309207007793,143.67616094599558,53.422775084431365,0.56841046277666,0.32494969818913483,0.2521269800724698,0.08199031548286324
1000,510.0,0.5,3200,2402,0.750625,70.70780820542481,65.05811650097735,141.6091280820644,52.33423343058639,0.5407993338884263,0.30849292256452954,0.28034710626156023,0.10335843146684709
1000,510.0,1.0,3200,759,0.2371875,55.21618491906561,47.65475990324946,128.7560893492185,45.879694557051565,0.36495388669301715,0.16073781291172595,0.49932478851791195,0.24312294523367545
1001,510.0,0.0,3200,3200,1.0,80.57735306702955,76.88450219324528,148.97835692309116,55.86653454804522,0.66,0.3925,0.1402664062083106,0.029849480906245462
1001,510.0,0.1,3200,3182,0.994375,80.50313747442875,76.85610540833028,148.94683253247553,55.89954388632824,0.6596480201131364,0.3918918918918919,0.14142209153578655,0.029238813896187692
1001,510.0,0.3,3200,2885,0.9015625,79.61625612032238,75.94896353942215,148.24567829755574,55.65099487197592,0.6506065857885616,0.38405545927209706,0.1542088331631024,0.03438874749800095
1001,510.0,0.5,3200,2125,0.6640625,78.27503468398275,74.13971826086997,147.45413820527966,55.12292078140746,0.636235294117647,0.3698823529411765,0.1734266319025128,0.044990033493472435
1001,510.0,1.0,3200,448,0.14,68.79603740092031,60.93115400975261,141.41869822126853,52.46931829922072,0.5111607142857143,0.2767857142857143,0.3133177512488507,0.10397235305216077
881,520.0,0.0,3200,3200,1.0,83.5448861557673,81.63001969695279,151.50926963330457,56.307170441011294,0.68625,0.4290625,0.09575889619660885,0.020815900993120504
881,520.0,0.1,3200,3192,0.9975,83.5204746161479,81.63001969695279,151.5341953141367,56.30173229878507,0.6857769423558897,0.42888471177944865,0.09609128809308344,0.02098247043084828
881,520.0,0.3,3200,2913,0.9103125,83.15749362984107,81.41575264307193,151.15665741799282,56.22373515957841,0.6807415036045315,0.4277377274287676,0.10113258832677191,0.022409195208493153
881,520.0,0.5,3200,2169,0.6778125,81.60481577828703,79.0460248523338,150.4296246673183,55.769046869383416,0.6597510373443983,0.413093591516828,0.12431624756466914,0.03206563504247743
881,520.0,1.0,3200,423,0.1321875,75.24646606912279,72.17518736384838,152.13540146264413,53.87482080456776,0.6028368794326241,0.3262411347517731,0.21779272046859754,0.06920495376319967
1009,520.0,0.0,3200,3200,1.0,82.26634354748865,80.13025239448734,149.71192861621208,56.32177325025305,0.6778125,0.4171875,0.11454375373645437,0.022253934228241495
1009,520.0,0.1,3200,3194,0.998125,82.21205433435934,80.04261437127118,149.72253917952278,56.33243729233725,0.6772072636192862,0.4167188478396994,0.11535161628778305,0.022086385374286404
1009,520.0,0.3,3200,2910,0.909375,81.4004290481844,78.8414577829947,149.63674391162573,56.11494063834479,0.6690721649484536,0.4099656357388316,0.12732242435792826,0.026275389836117644
1009,520.0,0.5,3200,2107,0.6584375,80.02002965371959,77.11913539271232,148.12957869458285,55.8711121116782,0.6592311343141908,0.4015187470336972,0.14603933936604022,0.031500720002525025
1009,520.0,1.0,3200,301,0.0940625,70.90295272053339,66.76569742140298,141.60359513364554,53.11262463730914,0.5681063122923588,0.3122923588039867,0.2767950395780024,0.09261410908109584
