source,temperature_K,frame,field,distance_lo_A,distance_hi_A,pairs,distance_mean_A,p1,p2,shuffle_p1,shuffle_p2,excess_p1,excess_p2,overlap80,valid_centers,centers
1009,520.0,384,block2_output/plane_normal,12,18,2346,13.384747021385772,-0.03941026288328219,0.0003028793693247836,0.002064856013877046,0.008878912502816961,-0.041475118897159255,-0.008576033133492178,0.006511082693947143,320,320
1009,520.0,384,block2_output/plane_normal,18,26,418,21.71781476429703,0.06470533511139395,0.013537527612327618,0.002634516950459191,0.008905273605602991,0.062070818160934745,0.004632254006724621,0.0,320,320
1009,520.0,384,block2_output/plane_normal,26,40,2366,35.78033735668992,0.01490509738325291,0.020219241380851488,0.003358738461743214,0.008315346727962466,0.011546358921509677,0.011903894652889024,0.0,320,320
1009,520.0,384,block2_output/plane_normal,40,80,31181,53.442291315985194,0.0016736408678920608,0.008223059597937907,0.003628109835236255,0.008786373048303408,-0.0019544689673442117,-0.0005633134503655005,0.0,320,320
1009,520.0,384,block2_output/ideal_bivector,0,4,1277,3.029211247240178,0.13282240027421682,0.030910828084246875,0.004137903862045312,0.004302011348180196,0.1286844964121715,0.02660881673606668,0.6813527799530149,320,320
1009,520.0,384,block2_output/ideal_bivector,4,8,6371,6.2812493858848,0.036688942174441,0.00930220578580259,0.004886626365544316,0.005065700560624959,0.031802315808896676,0.004236505225177633,0.36991641814471826,320,320
1009,520.0,384,block2_output/ideal_bivector,8,12,6572,9.924328865603409,-0.011611181201834546,0.001020370074107466,0.004351607959810198,0.005398929169348952,-0.015962789161644744,-0.0043785590952414855,0.11531307060255631,320,320
1009,520.0,384,block2_output/ideal_bivector,12,18,2346,13.384747021385772,-0.04589133394828827,-0.0019049638522590645,0.003180515669374076,0.005641855529050535,-0.049071849617662346,-0.007546819381309603,0.006511082693947143,320,320
1009,520.0,384,block2_output/ideal_bivector,18,26,418,21.71781476429703,0.06521580101971006,0.008341484520958042,0.003818308356178581,0.005660288774387298,0.061397492663531464,0.0026811957465707487,0.0,320,320
1009,520.0,384,block2_output/ideal_bivector,26,40,2366,35.78033735668992,0.018118149465558165,0.010346980662768325,0.004510842074626707,0.0049630249198595175,0.01360730739093146,0.005383955742908805,0.0,320,320
1009,520.0,384,block2_output/ideal_bivector,40,80,31181,53.442291315985194,-0.0028722925855702297,0.005004949182004798,0.004891134205406766,0.005486256349260684,-0.007763426790976995,-0.00048130716725588643,0.0,320,320
1009,520.0,384,block2_output/axial_bivector,0,4,1271,3.0296673402601564,-0.012992720202551895,0.02688060126696058,0.004023600343333477,-0.0018271775304499092,-0.01701632054588538,0.028707778797410488,0.6812352478363494,319,320
1009,520.0,384,block2_output/axial_bivector,4,8,6333,6.280951947291713,0.07766636546381604,-0.0011784027716776188,0.003153408311974935,-0.0013925179432978188,0.0745129571518411,0.0002141151716202042,0.3699392073267014,319,320
1009,520.0,384,block2_output/axial_bivector,8,12,6519,9.92351415295971,0.02601219007891998,-0.006493389257683936,0.0023694279593487015,-0.0012198795836634432,0.023642762119571278,-0.0052735096740204905,0.11534169351127474,319,320
1009,520.0,384,block2_output/axial_bivector,12,18,2314,13.384842612550118,0.01471800911298883,-0.004125010472100319,0.0022752373796323367,-0.0010283546839700486,0.012442771733356488,-0.0030966557881302666,0.006514693171996543,319,320
1009,520.0,384,block2_output/axial_bivector,18,26,416,21.716382459177915,-0.03733499105764853,-0.003801383967282552,0.002398923572564466,-0.000870029643292754,-0.039733914630212995,-0.0029313543239897787,0.0,319,320
1009,520.0,384,block2_output/axial_bivector,26,40,2358,35.77792268208773,-0.0034310894062792537,-0.0022029781902712336,0.0020652284063580814,-0.0013992435345515422,-0.005496317812637346,-0.0008037346557196846,0.0,319,320
1009,520.0,384,block2_output/axial_bivector,40,80,31002,53.45787959260309,-0.01770556346676591,-0.0006556043925288839,0.0027913290695036844,-0.0011077642030315458,-0.0204968925362696,0.00045215981050266606,0.0,319,320
1009,520.0,384,block2_output/point_numerator,0,4,1255,3.0278434258484643,0.04293561295983717,0.009929564697514845,0.011045337613673892,0.003752488399399507,0.031890275346163274,0.00617707629811534,0.6816035856573706,318,320
1009,520.0,384,block2_output/point_numerator,4,8,6252,6.28158939119648,0.03676789330207765,0.006223265109469612,0.01081242695405107,0.0048161357952645235,0.025955466348026583,0.0014071293142050873,0.369909628918746,318,320
1009,520.0,384,block2_output/point_numerator,8,12,6485,9.926453931565145,-0.008297663921058678,-0.0026204575566817524,0.010376814333478089,0.004506998254286284,-0.018674478254536764,-0.0071274558109680345,0.11525057825751736,318,320
1009,520.0,384,block2_output/point_numerator,12,18,2317,13.382493265792885,-0.013547309839629908,0.003218976508728541,0.00988546122538936,0.003431664355007591,-0.02343277106501927,-0.00021268784627904728,0.006565602071644368,318,320
1009,520.0,384,block2_output/point_numerator,18,26,417,21.719620520870965,0.11100970232858996,-0.0020289845540243687,0.009904163727965511,0.0040393292708728636,0.10110553860062445,-0.006068313824897231,0.0,318,320
1009,520.0,384,block2_output/point_numerator,26,40,2344,35.77189004610848,0.030814417052943813,0.020017004247125488,0.010406155964437797,0.0047541495416263905,0.020408261088506012,0.015262854705499098,0.0,318,320
1009,520.0,384,block2_output/point_numerator,40,80,30827,53.482045405612,0.0061307056639638485,0.005092484760781694,0.01014689324499469,0.004931668526287318,-0.004016187581030845,0.00016081623449437562,0.0,318,320
1009,520.0,384,centroid_7A,0,4,1251,3.029775364586899,0.2577782717772289,0.07433804302006612,-0.00044170829417601484,0.004500251579389329,0.25821998007140495,0.06983779144067678,0.6812649880095923,317,320
1009,520.0,384,centroid_7A,4,8,6256,6.281891850711046,0.11134724745549422,0.012274012510208068,-0.001292001838920922,0.001527244011295251,0.11263924929441514,0.010746768498912818,0.36991488171355497,317,320
1009,520.0,384,centroid_7A,8,12,6469,9.925638811445008,0.046192174995476766,0.009826354745376681,-0.001306210359475137,0.0003117297881067491,0.0474983853549519,0.009514624957269928,0.11529216262173443,317,320
1009,520.0,384,centroid_7A,12,18,2334,13.386265200165665,-0.013968181988957174,-0.010973729080038033,-0.0010660126820930358,0.0008401560629572144,-0.012902169306864128,-0.011813885142995252,0.00650706940874036,317,320
1009,520.0,384,centroid_7A,18,26,417,21.724706073857494,0.034000647153484116,0.01906407734369164,-0.0013330678538922072,0.0008274069683006659,0.03533371500737634,0.01823667037539098,0.0,317,320
1009,520.0,384,centroid_7A,26,40,2269,35.7524903490313,0.026536475217637474,0.011237151246829221,-0.0008444986292237035,0.0008466166017807586,0.027380973846861185,0.010390534645048468,0.0,317,320
1009,520.0,384,centroid_7A,40,80,30587,53.492763452497734,-0.047048362222736735,-0.006017606899685583,-0.00101797628163834,0.0007848417502047722,-0.0460303859410984,-0.006802448649890354,0.0,317,320
1009,520.0,384,centroid_support,0,4,1277,3.029211247240178,0.7476899510759012,0.5161926720636307,0.18440188223733367,0.05217201145935478,0.5632880688385675,0.464020660604276,0.6813527799530149,320,320
1009,520.0,384,centroid_support,4,8,6371,6.2812493858848,0.610067535913746,0.32219671877755385,0.17986170805528984,0.04704876365223192,0.4302058278584562,0.275147955125322,0.36991641814471826,320,320
