source,temperature_K,field,phase,observations,rms_relative_norm,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2
913,400.0,block2_mlp_input/axial_bivector,unclassified,2670,0.9277598316530717,2663.0,2659.0,0.9984979346601577,78.58812082749438,76.61084253142164,144.7425188046192,56.783036680820835,0.6382098533283189,0.38021812711545694,0.1679735042159378,0.011366027290576746
913,400.0,block2_mlp_input/axial_bivector,FCC,533,0.8183855971845879,527.0,525.0,0.9962049335863378,83.04938767508875,81.24578489948732,149.39860221470258,57.09635687049513,0.68,0.43238095238095237,0.10285225641705673,0.0022842308204739973
913,400.0,block2_mlp_input/axial_bivector,HCP,1,0.9654753444484634,,,,,,,,,,,
913,400.0,block2_mlp_input/point_numerator,unclassified,2670,0.9040058962016058,2663.0,2647.0,0.9939917386406308,70.31972552115033,64.65839245317537,140.661363047243,53.544156561980046,0.5459010200226672,0.29240649792217605,0.28850279980126237,0.07919461854917312
913,400.0,block2_mlp_input/point_numerator,FCC,533,0.7172799172054884,527.0,527.0,1.0,85.49255967944855,85.32237844745791,146.70926018230787,55.98028660786644,0.715370018975332,0.4629981024667932,0.05756813016124282,0.025716307932683213
913,400.0,block2_mlp_input/point_numerator,HCP,1,1.5062453227164372,,,,,,,,,,,
913,400.0,block2_output/plane_normal,unclassified,2670,0.8858857193120366,2663.0,2655.0,0.9969958693203155,75.0295213846407,70.46758805185048,145.59399830691686,55.09854459167217,0.6037664783427495,0.3310734463276836,0.2222613568330557,0.04389123644420262
913,400.0,block2_output/plane_normal,FCC,533,0.6255029662809051,527.0,521.0,0.9886148007590133,88.62551189231428,90.20981538653007,151.64729185607476,56.933947447215445,0.7504798464491362,0.5028790786948176,0.016879818898043825,0.009001289874816168
913,400.0,block2_output/plane_normal,HCP,1,1.7016557943022301,,,,,,,,,,,
913,400.0,block2_output/ideal_bivector,unclassified,2670,0.8870705890015491,2663.0,2651.0,0.9954938039804732,73.8141139524252,69.45883123136034,146.50098133255045,54.741144255924645,0.5922293474160694,0.32402866842700867,0.23903689611577827,0.05298958062814434
