field,phase,distance_lo_A,distance_hi_A,metric,sources,mean,low,high
block1/point_numerator,unclassified,40,80,shuffle_p1,10,0.006909230980751824,0.0014802086398944415,0.012187383294227772
block1/point_numerator,unclassified,40,80,shuffle_p2,10,0.005800747621328764,0.002179098638297194,0.009232320014696545
block1/point_numerator,unclassified,40,80,excess_p1,10,-0.009931991586355302,-0.02129527658206231,0.0017494806365030812
block1/point_numerator,unclassified,40,80,excess_p2,10,-0.006999396475274454,-0.011219658884071981,-0.0027791340664769263
block2_mlp_input/point_numerator,unclassified,0,4,p1,10,0.12661302437821217,0.09912092895725544,0.1541051197991689
block2_mlp_input/point_numerator,unclassified,0,4,p2,10,0.01757973021885454,0.008601590294081005,0.026557870143628075
block2_mlp_input/point_numerator,unclassified,0,4,shuffle_p1,10,0.00251306219130877,-0.0008065395814598003,0.005654827173668487
block2_mlp_input/point_numerator,unclassified,0,4,shuffle_p2,10,0.0027699195130461243,-0.0006372011905820706,0.005963847259041132
block2_mlp_input/point_numerator,unclassified,0,4,excess_p1,10,0.12409996218690342,0.09697287640341257,0.15138673194110716
block2_mlp_input/point_numerator,unclassified,0,4,excess_p2,10,0.014809810705808418,0.006586517900484351,0.023033103511132483
block2_mlp_input/point_numerator,unclassified,4,8,p1,10,-0.034215848761256225,-0.06472353657974127,-0.004086058521917573
block2_mlp_input/point_numerator,unclassified,4,8,p2,10,-0.0013411522753957114,-0.007949301153470884,0.005717486523816833
block2_mlp_input/point_numerator,unclassified,4,8,shuffle_p1,10,0.00251306219130877,-0.0008065395814598003,0.005654827173668486
block2_mlp_input/point_numerator,unclassified,4,8,shuffle_p2,10,0.0027699195130461247,-0.0006372011905820703,0.005963847259041132
block2_mlp_input/point_numerator,unclassified,4,8,excess_p1,10,-0.036728910952565,-0.06585966837598016,-0.007607311255640022
block2_mlp_input/point_numerator,unclassified,4,8,excess_p2,10,-0.004111071788441837,-0.011598367004988078,0.0035125029797235183
block2_mlp_input/point_numerator,unclassified,8,12,p1,10,-0.00970849932526423,-0.02699670891522569,0.006061176662620219
block2_mlp_input/point_numerator,unclassified,8,12,p2,10,0.007996537657882646,0.0012855892689173202,0.014654367824068402
block2_mlp_input/point_numerator,unclassified,8,12,shuffle_p1,10,0.002465534336244693,-0.0008835712474986015,0.0056041880829072795
block2_mlp_input/point_numerator,unclassified,8,12,shuffle_p2,10,0.003285291478507455,0.00034591779147251904,0.006103923698745787
block2_mlp_input/point_numerator,unclassified,8,12,excess_p1,10,-0.012174033661508923,-0.02849746375253583,0.004209250091248357
block2_mlp_input/point_numerator,unclassified,8,12,excess_p2,10,0.00471124617937519,-0.001646634157998569,0.010848174394382485
block2_mlp_input/point_numerator,unclassified,12,18,p1,10,-0.023013151107822396,-0.05264792501395369,0.006602088201387196
block2_mlp_input/point_numerator,unclassified,12,18,p2,10,0.016677751104422017,0.00407485141510704,0.028581894911923707
block2_mlp_input/point_numerator,unclassified,12,18,shuffle_p1,10,0.001555667705538786,-0.0014504198978330999,0.004596010866255239
block2_mlp_input/point_numerator,unclassified,12,18,shuffle_p2,10,0.0029737593893553235,-0.0009891831300660036,0.006742964151162878
block2_mlp_input/point_numerator,unclassified,12,18,excess_p1,10,-0.024568818813361187,-0.05542414210223836,0.006301721928160007
block2_mlp_input/point_numerator,unclassified,12,18,excess_p2,10,0.013703991715066694,0.0021276478194031685,0.024951831560700084
block2_mlp_input/point_numerator,unclassified,18,26,p1,10,-0.006976653942488751,-0.040346366737735846,0.025873842083005905
block2_mlp_input/point_numerator,unclassified,18,26,p2,10,-0.009503255607553515,-0.02340850542271563,0.004182546568091484
block2_mlp_input/point_numerator,unclassified,18,26,shuffle_p1,10,0.002511533065593146,-0.0008065395814598004,0.005817062546204339
block2_mlp_input/point_numerator,unclassified,18,26,shuffle_p2,10,0.00037358649694408134,-0.002622080134032829,0.0035855684213324975
block2_mlp_input/point_numerator,unclassified,18,26,excess_p1,10,-0.009488187008081891,-0.042877976949520134,0.023757679372879613
block2_mlp_input/point_numerator,unclassified,18,26,excess_p2,10,-0.009876842104497593,-0.023868334429260847,0.004114650220265662
block2_mlp_input/point_numerator,unclassified,26,40,p1,10,0.00611048601153123,-0.008528818557781117,0.02074979058084357
block2_mlp_input/point_numerator,unclassified,26,40,p2,10,-0.0013601011247622414,-0.009009048463128276,0.006548497600899509
block2_mlp_input/point_numerator,unclassified,26,40,shuffle_p1,10,0.0029844949371245085,-0.0008065395814598003,0.006597692665299962
block2_mlp_input/point_numerator,unclassified,26,40,shuffle_p2,10,0.0022884444788071803,-0.0012293445013143796,0.00579086509299582
block2_mlp_input/point_numerator,unclassified,26,40,excess_p1,10,0.0031259910744067254,-0.008455510905259768,0.01446060660523259
block2_mlp_input/point_numerator,unclassified,26,40,excess_p2,10,-0.0036485456035694206,-0.013662282148243204,0.007055431984063648
block2_mlp_input/point_numerator,unclassified,40,80,p1,10,-0.0022274628635694585,-0.012404094749279457,0.00803010536587577
block2_mlp_input/point_numerator,unclassified,40,80,p2,10,5.198182775188291e-05,-0.005369911177999237,0.005472285573988507
block2_mlp_input/point_numerator,unclassified,40,80,shuffle_p1,10,0.002984494937124507,-0.0008065395814598007,0.0065976926652999614
block2_mlp_input/point_numerator,unclassified,40,80,shuffle_p2,10,0.00228844447880718,-0.0012293445013143796,0.005790865092995819
block2_mlp_input/point_numerator,unclassified,40,80,excess_p1,10,-0.005211957800693965,-0.01516702630181779,0.004743110700429855
block2_mlp_input/point_numerator,unclassified,40,80,excess_p2,10,-0.002236462651055297,-0.0051377395825672745,0.0006648142804566806
block1/point_numerator,HCP,4,8,p1,9,,,
block1/point_numerator,HCP,4,8,p2,9,,,
block1/point_numerator,HCP,4,8,shuffle_p1,9,,,
block1/point_numerator,HCP,4,8,shuffle_p2,9,,,
block1/point_numerator,HCP,4,8,excess_p1,9,,,
block1/point_numerator,HCP,4,8,excess_p2,9,,,
block2_mlp_input/point_numerator,HCP,4,8,p1,9,,,
