source,temperature_K,field,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2,cage_mean_angle_deg,cage_p1,cage_fit_rms_A
942,450.0,block2_mlp_input/axial_bivector,3200,3182,0.994375,80.46185953363617,78.65737881593753,148.10852973356748,56.10706703137313,0.6577624135763671,0.399120050282841,0.13983823319265412,0.024738964956022336,80.44138462534569,0.14020979848668552,0.5372102856636047
942,450.0,block2_mlp_input/point_numerator,3200,3187,0.9959375,76.7472845712918,74.61875267498102,148.01749981188394,53.44230976198298,0.6121744587386256,0.37715720112958895,0.18851564505224302,0.08481911722023681,76.72853120341995,0.18890648280674188,0.5372102856636047
942,450.0,block2_output/plane_normal,3200,3182,0.994375,77.56639573889467,75.738085814253,147.8116746424128,53.47066947077004,0.6231929604022627,0.3915776241357637,0.1748709208889053,0.0824006310380038,77.5504847706575,0.17517477529655887,0.5372102856636047
942,450.0,block2_output/ideal_bivector,3200,3176,0.9925,76.98241893567325,74.96595272883668,148.81921930445543,52.880884014034315,0.6130352644836272,0.38287153652392947,0.18270780930141448,0.09476379482593653,76.97431765442653,0.18298568874823254,0.5372102856636047
942,450.0,block2_output/axial_bivector,3200,3194,0.998125,81.22574539186071,79.83167925939793,148.22856423308204,56.47999677503474,0.6637445209768316,0.40732623669380086,0.1282675844899906,0.017660580110867276,81.20056297031857,0.12871539159511736,0.5372102856636047
942,450.0,block2_output/point_numerator,3200,3187,0.9959375,76.74943450156111,74.61404177977558,148.0106054919206,53.443336092998656,0.6121744587386256,0.37715720112958895,0.18848804105683847,0.0848021177873154,76.73065941618626,0.1888788028004127,0.5372102856636047
942,450.0,centroid_7A,3200,3180,0.99375,70.67770589032476,65.23763098626605,145.79719256430988,51.68053984304862,0.5367924528301887,0.3091194968553459,0.2791670189355887,0.12095938641610882,70.66737639604271,0.2793157018091034,0.5372102856636047
942,450.0,centroid_support,3200,3188,0.99625,56.89693370935484,48.481622361126824,132.68358651586578,45.8821467702655,0.39084065244667504,0.19636135508155583,0.46966349259348283,0.24032270772664385,56.90828185172409,0.46956315117563546,0.5372102856636047
942,450.0,shape_axis_7A,3200,951,0.2971875,69.68387546346489,52.57123185142653,159.54385313389554,40.179887572493264,0.45320715036803366,0.33964248159831756,0.2785936490148342,0.3653085393160586,69.63495319420045,0.2788105842758501,0.5372102856636047
970,500.0,block1/ideal_bivector,3200,3182,0.994375,75.49133296884915,73.18418053968242,149.837920195561,51.58731830886304,0.5945945945945946,0.3698931489629164,0.20222656074032228,0.12373229697535369,75.48383237796116,0.2023513772330561,0.554413378238678
970,500.0,block1/axial_bivector,3200,3188,0.99625,82.30755876572321,80.23196607094528,148.33902638315416,57.005974891697065,0.6797365119196989,0.42189460476787954,0.11240507586062354,0.004694019259102336,82.25570205914315,0.11307817521658625,0.554413378238678
970,500.0,block1/point_numerator,3200,3182,0.994375,75.21935038559631,73.32784257893312,149.62995948124723,51.470744831544025,0.5945945945945946,0.3689503456945317,0.2057150674151974,0.12592580633834502,75.21165618680786,0.20583191279953256,0.554413378238678
970,500.0,block2_mlp_input/ideal_bivector,3200,3182,0.994375,75.42785900404542,73.15059291084674,149.75710064539757,51.60375215983967,0.5961659333752357,0.3689503456945317,0.20298747416157564,0.12353531131618803,75.41945315951828,0.20312593640846996,0.554413378238678
970,500.0,block2_mlp_input/axial_bivector,3200,3184,0.995,82.06552314289291,79.89017411093405,147.90471707232578,56.889142407614926,0.6787060301507538,0.41959798994974873,0.11632299908868592,0.006719193398523824,82.01124770791394,0.11701198407523448,0.554413378238678
970,500.0,block2_mlp_input/point_numerator,3200,3184,0.995,76.05104870632802,71.28467653979268,147.67330726167927,53.169447190292644,0.6014447236180904,0.3756281407035176,0.19988882024290827,0.08663427390810229,76.02703838636202,0.20022178518031322,0.554413378238678
970,500.0,block2_output/plane_normal,3200,3183,0.9946875,76.37176052790605,74.19587035614683,150.89237588445803,51.95636419097161,0.6022620169651273,0.3744894753377317,0.1912620520671782,0.11576416897507812,76.36659483563442,0.1913483940811211,0.554413378238678
970,500.0,block2_output/ideal_bivector,3200,3182,0.994375,75.36458478415356,73.37062654246097,149.50900341468332,51.58960703352,0.5961659333752357,0.36957888120678817,0.20373025454381552,0.12374697296197977,75.3561087690439,0.2038746554178409,0.554413378238678
970,500.0,block2_output/axial_bivector,3200,3180,0.99375,83.00129086229748,81.39109203985998,149.05161800239136,57.2170446882847,0.690251572327044,0.42924528301886794,0.10167394626567688,0.001368291430547664,82.95279034123831,0.10232557524308263,0.554413378238678
970,500.0,block2_output/point_numerator,3200,3184,0.995,76.05261922266583,71.29006017290988,147.68574487048178,53.170016947499235,0.602072864321608,0.37594221105527637,0.1998672112480699,0.0866223974267342,76.02863953797045,0.2002000421995189,0.554413378238678
970,500.0,centroid_7A,3200,3176,0.9925,71.82514995814846,65.96308279602118,145.21665403223707,52.6748124141357,0.5503778337531486,0.3170654911838791,0.26464931283193427,0.0973217723248615,71.8114518681895,0.26488399413354946,0.554413378238678
970,500.0,centroid_support,3200,3186,0.995625,63.08750527143372,56.56174333254441,136.06284738197078,49.532434775744214,0.4726930320150659,0.2391713747645951,0.3844635347156174,0.16467506220463046,63.04866848063529,0.38487335918942955,0.554413378238678
