task,family,caliper_A,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,linear,0.05,qbar6,radial_control,plus_tda,2,3,5.4621479028263416,,,0.03022419074996145,0.028573300748766198
structure,linear,0.05,qbar6,plus_radial_duplicate,plus_gatr,2,3,-0.15448205319499309,,,0.03068552945357913,0.030732933089512773
structure,linear,0.05,qbar6,plus_radial_duplicate,plus_angular_delta,2,3,-1.13134489123341,,,0.03068552945357913,0.031032688623400122
structure,linear,0.05,q6_coherence,radial,radial_control,2,3,-27.909355538388205,,,0.020266524053308595,0.025922780306619455
structure,linear,0.05,q6_coherence,radial_control,plus_radial_duplicate,2,3,-21.523673669979026,,,0.025922780306619455,0.031502314946001815
structure,linear,0.05,q6_coherence,radial_control,plus_gatr,2,3,-21.78757032641647,,,0.025922780306619455,0.03157072429648661
structure,linear,0.05,q6_coherence,radial_control,plus_angular_delta,2,3,-24.617780585541027,,,0.025922780306619455,0.032304393484174874
structure,linear,0.05,q6_coherence,radial_control,plus_mace,2,3,-5.561168439766373,,,0.025922780306619455,0.02736438978374115
structure,linear,0.05,q6_coherence,radial_control,plus_soap,2,3,18.83969023617773,,,0.025922780306619455,0.021039008796247465
structure,linear,0.05,q6_coherence,radial_control,plus_tda,2,3,-41.78579193134102,,,0.025922780306619455,0.036754819348362104
structure,linear,0.05,q6_coherence,plus_radial_duplicate,plus_gatr,2,3,-0.21715658230847534,,,0.031502314946001815,0.03157072429648661
structure,linear,0.05,q6_coherence,plus_radial_duplicate,plus_angular_delta,2,3,-2.5460939602308663,,,0.031502314946001815,0.032304393484174874
structure,linear,0.05,bond_order,radial,radial_control,2,3,-19.941289605596246,,,0.024262984936921625,0.029101337030155362
structure,linear,0.05,bond_order,radial_control,plus_radial_duplicate,2,3,-5.728832418771224,,,0.029101337030155362,0.030768503860234775
structure,linear,0.05,bond_order,radial_control,plus_gatr,2,3,-5.718830638926264,,,0.029101337030155362,0.030765593208573083
structure,linear,0.05,bond_order,radial_control,plus_angular_delta,2,3,-7.514303449652093,,,0.029101337030155362,0.031288099802507206
structure,linear,0.05,bond_order,radial_control,plus_mace,2,3,-55.17342822526754,,,0.029101337030155362,0.045157542329081334
structure,linear,0.05,bond_order,radial_control,plus_soap,2,3,4.028970550649258,,,0.029101337030155362,0.027928852731365215
structure,linear,0.05,bond_order,radial_control,plus_tda,2,3,-79.00958451170285,,,0.029101337030155362,0.05209418250503144
structure,linear,0.05,bond_order,plus_radial_duplicate,plus_gatr,2,3,0.009459841384917844,,,0.030768503860234775,0.030765593208573083
structure,linear,0.05,bond_order,plus_radial_duplicate,plus_angular_delta,2,3,-1.688726707781063,,,0.030768503860234775,0.031288099802507206
structure,linear,0.05,angular_arrangement,radial,radial_control,2,3,-3.5237912293873963,,,0.1328729554914247,0.13755512104325934
structure,linear,0.05,angular_arrangement,radial_control,plus_radial_duplicate,2,3,-1.4111445381356225,,,0.13755512104325934,0.13949622262078715
structure,linear,0.05,angular_arrangement,radial_control,plus_gatr,2,3,-0.5303547960509469,,,0.13755512104325934,0.13828465122492595
structure,linear,0.05,angular_arrangement,radial_control,plus_angular_delta,2,3,5.123831801224766,,,0.13755512104325934,0.1305070280070316
structure,linear,0.05,angular_arrangement,radial_control,plus_mace,2,3,4.877023096593913,,,0.13755512104325934,0.13084652601943186
structure,linear,0.05,angular_arrangement,radial_control,plus_soap,2,3,41.23979099265325,,,0.13755512104325934,0.08082767662532801
structure,linear,0.05,angular_arrangement,radial_control,plus_tda,2,3,4.643479771411563,,,0.13755512104325934,0.1311677768230749
structure,linear,0.05,angular_arrangement,plus_radial_duplicate,plus_gatr,2,3,0.8685334793292476,,,0.13949622262078715,0.13828465122492595
structure,linear,0.05,angular_arrangement,plus_radial_duplicate,plus_angular_delta,2,3,6.444041598310646,,,0.13949622262078715,0.1305070280070316
structure,linear,0.1,q4,radial,radial_control,10,1267,-0.8521388425949405,-1.6790077355552713,-0.027190090380369014,0.8898391873347938,0.8974218526867048
structure,linear,0.1,q4,radial_control,plus_radial_duplicate,10,1267,-0.46677678086399776,-1.1407433846254422,0.13549016825240567,0.8974218526867048,0.9016108095214458
structure,linear,0.1,q4,radial_control,plus_gatr,10,1267,-0.48964538363100996,-1.1447032220001985,0.09486720044877828,0.8974218526867048,0.9018160373600812
structure,linear,0.1,q4,radial_control,plus_angular_delta,10,1267,-0.7435427845366105,-1.7549666003486397,0.31153468987787925,0.8974218526867048,0.9040945681192115
structure,linear,0.1,q4,radial_control,plus_mace,10,1267,13.466635542968453,7.16848216001763,18.54291351457398,0.8974218526867048,0.776569322502431
structure,linear,0.1,q4,radial_control,plus_soap,10,1267,78.21044044326277,71.92285357945923,84.81419661773555,0.8974218526867048,0.1955442690663442
structure,linear,0.1,q4,radial_control,plus_tda,10,1267,2.2588773994241973,-1.3118657800875955,5.729227605475873,0.8974218526867048,0.8771501932788709
structure,linear,0.1,q4,plus_radial_duplicate,plus_gatr,10,1267,-0.022762353386629464,-0.041746241499229786,0.0008861846947927354,0.9016108095214458,0.9018160373600812
structure,linear,0.1,q4,plus_radial_duplicate,plus_angular_delta,10,1267,-0.27548012640665753,-0.9409805900591817,0.39407882042019615,0.9016108095214458,0.9040945681192115
structure,linear,0.1,q6,radial,radial_control,10,1267,2.2259547856518402,1.3355909878856265,2.9510936278509314,0.26722543965330703,0.2612771221908651
structure,linear,0.1,q6,radial_control,plus_radial_duplicate,10,1267,-0.34206225480986063,-0.8714085310584263,0.0397673854599323,0.2612771221908651,0.26217085260633344
structure,linear,0.1,q6,radial_control,plus_gatr,10,1267,0.09378584207376806,-0.6462022852602667,0.8629161432053056,0.2612771221908651,0.26103208124167226
structure,linear,0.1,q6,radial_control,plus_angular_delta,10,1267,-1.462507303957894,-2.7983443170397013,0.43109017487412693,0.2612771221908651,0.26509831918647747
structure,linear,0.1,q6,radial_control,plus_mace,10,1267,28.039063399160657,25.031592565701388,29.738971496948086,0.2612771221908651,0.18801746425226595
structure,linear,0.1,q6,radial_control,plus_soap,10,1267,92.23115585185985,91.39565165570949,92.98261481834733,0.2612771221908651,0.020298212417754015
structure,linear,0.1,q6,radial_control,plus_tda,10,1267,13.218117525951268,8.735146328677644,19.135784017781077,0.2612771221908651,0.22674120511125323
structure,linear,0.1,q6,plus_radial_duplicate,plus_gatr,10,1267,0.43436230738094217,0.1079287215504432,0.9193980296799742,0.26217085260633344,0.26103208124167226
structure,linear,0.1,q6,plus_radial_duplicate,plus_angular_delta,10,1267,-1.1166254948027365,-2.5361344791891005,0.8353217474913466,0.26217085260633344,0.26509831918647747
structure,linear,0.1,w4,radial,radial_control,10,1267,-0.41998833715783945,-1.4215642140507523,0.5557691966101896,0.886094750012947,0.8898162446191693
structure,linear,0.1,w4,radial_control,plus_radial_duplicate,10,1267,0.1530002013849896,-0.6253148061163838,0.8594708210951164,0.8898162446191693,0.8884548239729456
structure,linear,0.1,w4,radial_control,plus_gatr,10,1267,0.14811290136910182,-0.6380942869463668,0.8574946151691795,0.8898162446191693,0.8884983119624102
structure,linear,0.1,w4,radial_control,plus_angular_delta,10,1267,0.10264119735361454,-0.7514734366238729,0.8892753773312889,0.8898162446191693,0.8889029265714452
structure,linear,0.1,w4,radial_control,plus_mace,10,1267,7.266204461529979,2.3426496324049695,12.266869920910805,0.8898162446191693,0.8251603769532327
structure,linear,0.1,w4,radial_control,plus_soap,10,1267,35.97799099984371,20.87235929521401,44.89899168123917,0.8898162446191693,0.5696782362149373
structure,linear,0.1,w4,radial_control,plus_tda,10,1267,4.870094773344313,2.4064274104053873,6.9550336078107895,0.8898162446191693,0.8464813501976025
structure,linear,0.1,w4,plus_radial_duplicate,plus_gatr,10,1267,-0.004894789052989346,-0.01101931113243193,-0.0008152654529247627,0.8884548239729456,0.8884983119624102
structure,linear,0.1,w4,plus_radial_duplicate,plus_angular_delta,10,1267,-0.05043617147530988,-0.16087194521356984,0.0889828755306743,0.8884548239729456,0.8889029265714452
structure,linear,0.1,w6,radial,radial_control,10,1267,-0.42411060049660776,-1.1033444717982066,0.424115582221285,1.0912606091723362,1.09588876109488
structure,linear,0.1,w6,radial_control,plus_radial_duplicate,10,1267,0.08390658604845447,-0.037606057589312236,0.21523119099586818,1.09588876109488,1.0949692382485565
structure,linear,0.1,w6,radial_control,plus_gatr,10,1267,0.07493634498804136,-0.04869597718277774,0.20829753611705248,1.09588876109488,1.0950675421121807
structure,linear,0.1,w6,radial_control,plus_angular_delta,10,1267,0.1274221733476133,0.058112972216446956,0.19789696059445694,1.09588876109488,1.0944923558180206
structure,linear,0.1,w6,radial_control,plus_mace,10,1267,0.8941639617940811,0.1674750669649061,1.713406900642391,1.09588876109488,1.086089718731818
structure,linear,0.1,w6,radial_control,plus_soap,10,1267,10.166005770056753,-3.737732047997855,17.01864035940997,1.09588876109488,0.984480646408571
structure,linear,0.1,w6,radial_control,plus_tda,10,1267,0.3874466433623214,0.17810292158207952,0.7524440911715446,1.09588876109488,1.091642776875033
structure,linear,0.1,w6,plus_radial_duplicate,plus_gatr,10,1267,-0.008977774004081951,-0.011469638076366806,-0.0049358094018625565,1.0949692382485565,1.0950675421121807
structure,linear,0.1,w6,plus_radial_duplicate,plus_angular_delta,10,1267,0.04355213040493355,-0.037623411386467076,0.12149841227341307,1.0949692382485565,1.0944923558180206
structure,linear,0.1,qbar6,radial,radial_control,10,1267,-0.4431232311088884,-1.35222790452032,0.47827279668152173,0.11750439492243236,0.1180250841939076
structure,linear,0.1,qbar6,radial_control,plus_radial_duplicate,10,1267,0.17360851752061812,-0.11315383479948427,0.4820167464044234,0.1180250841939076,0.1178201825949361
structure,linear,0.1,qbar6,radial_control,plus_gatr,10,1267,0.1968270659941762,-0.07030722244842913,0.4813936347124087,0.1180250841939076,0.11779277888355158
structure,linear,0.1,qbar6,radial_control,plus_angular_delta,10,1267,-0.07376790403024192,-1.7292328953874447,1.554484080789762,0.1180250841939076,0.11811214882474737
structure,linear,0.1,qbar6,radial_control,plus_mace,10,1267,55.07840884684649,49.53175686334068,60.50705105562047,0.1180250841939076,0.05301874577975237
structure,linear,0.1,qbar6,radial_control,plus_soap,10,1267,54.970420887369656,46.70905031496768,63.258527429727906,0.1180250841939076,0.0531461986598442
structure,linear,0.1,qbar6,radial_control,plus_tda,10,1267,53.69063101103222,49.39086482106823,58.022431212527216,0.1180250841939076,0.054656671738896566
structure,linear,0.1,qbar6,plus_radial_duplicate,plus_gatr,10,1267,0.023258927953562214,-0.00668546337121434,0.056327816017132104,0.1178201825949361,0.11779277888355158
structure,linear,0.1,qbar6,plus_radial_duplicate,plus_angular_delta,10,1267,-0.2478066349761443,-1.6764312072526522,1.1452388961214477,0.1178201825949361,0.11811214882474737
structure,linear,0.1,q6_coherence,radial,radial_control,10,1267,-2.217059852100789,-4.341965888602965,-0.42433369322989467,0.1391445942192267,0.14222951315402974
structure,linear,0.1,q6_coherence,radial_control,plus_radial_duplicate,10,1267,-0.07146833214939363,-0.4403041659283957,0.388138478934863,0.14222951315402974,0.14233116221490513
structure,linear,0.1,q6_coherence,radial_control,plus_gatr,10,1267,-0.017022135954625206,-0.38850761495403674,0.4427383700837728,0.14222951315402974,0.14225372365512642
structure,linear,0.1,q6_coherence,radial_control,plus_angular_delta,10,1267,-0.7145246811878891,-1.2992259501128771,0.03448862765992322,0.14222951315402974,0.14324577812944866
structure,linear,0.1,q6_coherence,radial_control,plus_mace,10,1267,34.47096072426735,26.742524123595025,44.37454154962992,0.14222951315402974,0.09320163353638748
structure,linear,0.1,q6_coherence,radial_control,plus_soap,10,1267,32.00325365268465,24.005106120805365,41.65477605632529,0.14222951315402974,0.09671144129036713
structure,linear,0.1,q6_coherence,radial_control,plus_tda,10,1267,33.77741375360852,28.61560582336462,40.885666793040585,0.14222951315402974,0.09418806201625006
structure,linear,0.1,q6_coherence,plus_radial_duplicate,plus_gatr,10,1267,0.05440731219618078,-0.00342442220500061,0.11701045753143013,0.14233116221490513,0.14225372365512642
structure,linear,0.1,q6_coherence,plus_radial_duplicate,plus_angular_delta,10,1267,-0.6425970956118299,-1.0761433547793908,-0.1603213501222056,0.14233116221490513,0.14324577812944866
structure,linear,0.1,bond_order,radial,radial_control,10,1267,-0.4007468654703805,-0.8012511936834832,0.09481299635519802,0.5651781625525072,0.5674430963232595
structure,linear,0.1,bond_order,radial_control,plus_radial_duplicate,10,1267,-0.07925879079480058,-0.43179041703726995,0.22551360597972137,0.5674430963232595,0.5678928448598539
structure,linear,0.1,bond_order,radial_control,plus_gatr,10,1267,-0.05292446317939348,-0.41302525067030693,0.27027567061832514,0.5674430963232595,0.5677434125358372
structure,linear,0.1,bond_order,radial_control,plus_angular_delta,10,1267,-0.2727885483135628,-0.9008379853632009,0.377616326377328,0.5674430963232595,0.5689910161082252
structure,linear,0.1,bond_order,radial_control,plus_mace,10,1267,11.237582489555042,9.311486253024803,12.657409943611075,0.5674430963232595,0.503676210292648
structure,linear,0.1,bond_order,radial_control,plus_soap,10,1267,43.61082146393416,37.75044957861987,50.71998397194364,0.5674430963232595,0.3199765006763029
structure,linear,0.1,bond_order,radial_control,plus_tda,10,1267,6.279581750339203,4.760099705263232,7.947068974180027,0.5674430963232595,0.5318100432029844
structure,linear,0.1,bond_order,plus_radial_duplicate,plus_gatr,10,1267,0.026313471875782923,0.003406025662489043,0.05166180256980639,0.5678928448598539,0.5677434125358372
structure,linear,0.1,bond_order,plus_radial_duplicate,plus_angular_delta,10,1267,-0.19337648965136456,-0.5429112650162216,0.1537066454561975,0.5678928448598539,0.5689910161082252
structure,linear,0.1,angular_arrangement,radial,radial_control,10,1267,-0.20347679831209664,-0.3540353456325185,-0.03091376149046976,0.5724159150263181,0.5735806486032425
structure,linear,0.1,angular_arrangement,radial_control,plus_radial_duplicate,10,1267,0.08892408763889748,-0.0046052613398073206,0.16708167441826793,0.5735806486032425,0.5730705972445989
structure,linear,0.1,angular_arrangement,radial_control,plus_gatr,10,1267,0.11626308001794206,0.009306920735019375,0.20628463821976695,0.5735806486032425,0.5729137860747895
structure,linear,0.1,angular_arrangement,radial_control,plus_angular_delta,10,1267,0.5114406444978958,0.21324145346993673,0.7800966624505024,0.5735806486032425,0.5706471240373109
structure,linear,0.1,angular_arrangement,radial_control,plus_mace,10,1267,15.731252085473301,12.228181492652768,18.50253583785718,0.5735806486032425,0.48334923085797366
structure,linear,0.1,angular_arrangement,radial_control,plus_soap,10,1267,43.880586204812886,40.73170055351281,46.890052507447535,0.5735806486032425,0.3218900976387718
structure,linear,0.1,angular_arrangement,radial_control,plus_tda,10,1267,7.406190895435771,5.370022083456094,9.01281980649129,0.5735806486032425,0.5311001708284078
structure,linear,0.1,angular_arrangement,plus_radial_duplicate,plus_gatr,10,1267,0.027363324966123148,0.014381131054811702,0.039812417359352814,0.5730705972445989,0.5729137860747895
structure,linear,0.1,angular_arrangement,plus_radial_duplicate,plus_angular_delta,10,1267,0.4228926102543662,0.1949271850677725,0.6287529450932855,0.5730705972445989,0.5706471240373109
structure,nonlinear,0.05,q4,radial,radial_control,2,3,15.14046274550066,,,0.031877521656749924,0.027051117366120796
structure,nonlinear,0.05,q4,radial_control,plus_radial_duplicate,2,3,36.88326152922463,,,0.027051117366120796,0.01707378300139696
structure,nonlinear,0.05,q4,radial_control,plus_gatr,2,3,36.972801626804866,,,0.027051117366120796,0.017049561404510794
structure,nonlinear,0.05,q4,radial_control,plus_angular_delta,2,3,14.097616315258566,,,0.027051117366120796,0.023237554630854806
structure,nonlinear,0.05,q4,radial_control,plus_mace,2,3,-146.44120214940463,,,0.027051117366120796,0.06666509883191446
structure,nonlinear,0.05,q4,radial_control,plus_soap,2,3,98.25498668494097,,,0.027051117366120796,0.0004720455999110544
structure,nonlinear,0.05,q4,radial_control,plus_tda,2,3,20.297959275637854,,,0.027051117366120796,0.021560292579540598
structure,nonlinear,0.05,q4,plus_radial_duplicate,plus_gatr,2,3,0.14186426572356803,,,0.01707378300139696,0.017049561404510794
structure,nonlinear,0.05,q4,plus_radial_duplicate,plus_angular_delta,2,3,-36.100796343455535,,,0.01707378300139696,0.023237554630854806
structure,nonlinear,0.05,q6,radial,radial_control,2,3,-19.440206903695856,,,0.02588748332292069,0.03092006364305623
structure,nonlinear,0.05,q6,radial_control,plus_radial_duplicate,2,3,25.892281894464688,,,0.03092006364305623,0.022914153602648226
structure,nonlinear,0.05,q6,radial_control,plus_gatr,2,3,25.48683107483961,,,0.03092006364305623,0.02303951925411759
structure,nonlinear,0.05,q6,radial_control,plus_angular_delta,2,3,41.60653106726293,,,0.03092006364305623,0.01805529775739057
structure,nonlinear,0.05,q6,radial_control,plus_mace,2,3,-86.26802671602056,,,0.03092006364305623,0.05759419240725854
structure,nonlinear,0.05,q6,radial_control,plus_soap,2,3,80.1344631689043,,,0.03092006364305623,0.006142436631209567
structure,nonlinear,0.05,q6,radial_control,plus_tda,2,3,46.83559522380071,,,0.03092006364305623,0.01643846779225285
structure,nonlinear,0.05,q6,plus_radial_duplicate,plus_gatr,2,3,-0.5471101121311994,,,0.022914153602648226,0.02303951925411759
structure,nonlinear,0.05,q6,plus_radial_duplicate,plus_angular_delta,2,3,21.204605369740182,,,0.022914153602648226,0.01805529775739057
structure,nonlinear,0.05,w4,radial,radial_control,2,3,31.71769176148641,,,0.041279588897782916,0.028186656130775364
structure,nonlinear,0.05,w4,radial_control,plus_radial_duplicate,2,3,-9.634168915040675,,,0.028186656130775364,0.030902206193915933
structure,nonlinear,0.05,w4,radial_control,plus_gatr,2,3,-10.399592105103661,,,0.028186656130775364,0.031117953396444194
structure,nonlinear,0.05,w4,radial_control,plus_angular_delta,2,3,-34.695201830885566,,,0.028186656130775364,0.03796607336472556
structure,nonlinear,0.05,w4,radial_control,plus_mace,2,3,16.11819026205249,,,0.028186656130775364,0.023643477267106507
structure,nonlinear,0.05,w4,radial_control,plus_soap,2,3,-156.19298636035572,,,0.028186656130775364,0.07221223609655769
structure,nonlinear,0.05,w4,radial_control,plus_tda,2,3,-86.58946573632669,,,0.028186656130775364,0.05259333108334932
structure,nonlinear,0.05,w4,plus_radial_duplicate,plus_gatr,2,3,-0.698161164204314,,,0.030902206193915933,0.031117953396444194
structure,nonlinear,0.05,w4,plus_radial_duplicate,plus_angular_delta,2,3,-22.858779488049528,,,0.030902206193915933,0.03796607336472556
structure,nonlinear,0.05,w6,radial,radial_control,2,3,-36.97259589665241,,,0.008558168856724805,0.011722346044274825
structure,nonlinear,0.05,w6,radial_control,plus_radial_duplicate,2,3,53.62245086921364,,,0.011722346044274825,0.005436536795964349
structure,nonlinear,0.05,w6,radial_control,plus_gatr,2,3,52.05622534141791,,,0.011722346044274825,0.005620135172166334
structure,nonlinear,0.05,w6,radial_control,plus_angular_delta,2,3,21.263393735263058,,,0.011722346044274825,0.009229777449870635
structure,nonlinear,0.05,w6,radial_control,plus_mace,2,3,50.48319600144442,,,0.011722346044274825,0.005804531114775998
structure,nonlinear,0.05,w6,radial_control,plus_soap,2,3,73.12319183411402,,,0.011722346044274825,0.003150592458861069
structure,nonlinear,0.05,w6,radial_control,plus_tda,2,3,-29.251936512038014,,,0.011722346044274825,0.015151359266867497
structure,nonlinear,0.05,w6,plus_radial_duplicate,plus_gatr,2,3,-3.377120087521046,,,0.005436536795964349,0.005620135172166334
structure,nonlinear,0.05,w6,plus_radial_duplicate,plus_angular_delta,2,3,-69.77310733410442,,,0.005436536795964349,0.009229777449870635
structure,nonlinear,0.05,qbar6,radial,radial_control,2,3,85.11083498863928,,,0.028821065657083585,0.0042912160237157885
structure,nonlinear,0.05,qbar6,radial_control,plus_radial_duplicate,2,3,-187.11644094057712,,,0.0042912160237157885,0.012320786720364525
structure,nonlinear,0.05,qbar6,radial_control,plus_gatr,2,3,-194.7892467542652,,,0.0042912160237157885,0.012650043392910103
structure,nonlinear,0.05,qbar6,radial_control,plus_angular_delta,2,3,29.21741239880503,,,0.0042912160237157885,0.0030374337411431434
structure,nonlinear,0.05,qbar6,radial_control,plus_mace,2,3,-575.7301168118543,,,0.0042912160237157885,0.028997039049703705
structure,nonlinear,0.05,qbar6,radial_control,plus_soap,2,3,-203.22579881139822,,,0.0042912160237157885,0.013012074066634918
structure,nonlinear,0.05,qbar6,radial_control,plus_tda,2,3,-158.206486807188,,,0.0042912160237157885,0.011080198136143644
structure,nonlinear,0.05,qbar6,plus_radial_duplicate,plus_gatr,2,3,-2.672367276688292,,,0.012320786720364525,0.012650043392910103
structure,nonlinear,0.05,qbar6,plus_radial_duplicate,plus_angular_delta,2,3,75.34707961365248,,,0.012320786720364525,0.0030374337411431434
structure,nonlinear,0.05,q6_coherence,radial,radial_control,2,3,17.351217867309956,,,0.02207469243770052,0.01824446445929651
structure,nonlinear,0.05,q6_coherence,radial_control,plus_radial_duplicate,2,3,36.21784257820067,,,0.01824446445929651,0.01163671304219273
structure,nonlinear,0.05,q6_coherence,radial_control,plus_gatr,2,3,35.83833758872548,,,0.01824446445929651,0.011705951695118788
structure,nonlinear,0.05,q6_coherence,radial_control,plus_angular_delta,2,3,49.38829926580315,,,0.01824446445929651,0.009233833752696055
structure,nonlinear,0.05,q6_coherence,radial_control,plus_mace,2,3,-4.8867415192258346,,,0.01824446445929651,0.019136024278989354
structure,nonlinear,0.05,q6_coherence,radial_control,plus_soap,2,3,2.0572182147422513,,,0.01824446445929651,0.017869136013257684
structure,nonlinear,0.05,q6_coherence,radial_control,plus_tda,2,3,36.745195237055206,,,0.01824446445929651,0.011540500373772859
structure,nonlinear,0.05,q6_coherence,plus_radial_duplicate,plus_gatr,2,3,-0.5950018074262875,,,0.01163671304219273,0.011705951695118788
structure,nonlinear,0.05,q6_coherence,plus_radial_duplicate,plus_angular_delta,2,3,20.649123861559925,,,0.01163671304219273,0.009233833752696055
structure,nonlinear,0.05,bond_order,radial,radial_control,2,3,24.027137264465935,,,0.02641642013816041,0.020069310611206585
structure,nonlinear,0.05,bond_order,radial_control,plus_radial_duplicate,2,3,16.718465240086022,,,0.020069310611206585,0.016714029892747118
structure,nonlinear,0.05,bond_order,radial_control,plus_gatr,2,3,15.971898358109904,,,0.020069310611206585,0.016863860719211303
structure,nonlinear,0.05,bond_order,radial_control,plus_angular_delta,2,3,16.323341769051613,,,0.020069310611206585,0.016793328449446792
structure,nonlinear,0.05,bond_order,radial_control,plus_mace,2,3,-67.61941226242394,,,0.020069310611206585,0.03364006049162476
structure,nonlinear,0.05,bond_order,radial_control,plus_soap,2,3,6.276035873223229,,,0.020069310611206585,0.018809753477738663
structure,nonlinear,0.05,bond_order,radial_control,plus_tda,2,3,-6.600696388850991,,,0.020069310611206585,0.02139402487198779
