task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms
structure,linear,radial_control,942,450.0,0.1,w4,18952,0.47867954569441634,0.6820119560558205
structure,linear,radial_control,942,450.0,0.1,w6,18952,0.2542173421071968,0.4933391599659156
structure,linear,radial_control,942,450.0,0.1,qbar6,18952,0.06166423199625499,0.15644052039069942
structure,linear,radial_control,942,450.0,0.1,q6_coherence,18952,0.07061549696785671,0.16765122627601994
structure,linear,radial_control,942,450.0,0.1,bond_order,18952,0.22784471626948602,0.45392735720531113
structure,linear,radial_control,942,450.0,0.1,angular_arrangement,18952,0.3145031529232711,0.6903348653220536
structure,linear,radial_control,970,500.0,0.1,q4,20747,0.2740378038556524,0.4714557417719975
structure,linear,radial_control,970,500.0,0.1,q6,20747,0.07555339784766679,0.2592551341450374
structure,linear,radial_control,970,500.0,0.1,w4,20747,0.30644835114149543,0.5211441605080807
structure,linear,radial_control,970,500.0,0.1,w6,20747,0.20533666003631382,0.44411739938881173
structure,linear,radial_control,970,500.0,0.1,qbar6,20747,0.0479013901072548,0.11966572327426174
structure,linear,radial_control,970,500.0,0.1,q6_coherence,20747,0.04978502917332098,0.13732672809140983
structure,linear,radial_control,970,500.0,0.1,bond_order,20747,0.15984377202695071,0.36320190828173043
structure,linear,radial_control,970,500.0,0.1,angular_arrangement,20747,0.32608994190861573,0.6968514217406444
structure,linear,radial_control,971,500.0,0.1,q4,10619,0.8328075217693969,0.9008294576495057
structure,linear,radial_control,971,500.0,0.1,q6,10619,0.17783399688339957,0.4132977630305768
structure,linear,radial_control,971,500.0,0.1,w4,10619,0.8688357503565685,0.9274178498987655
structure,linear,radial_control,971,500.0,0.1,w6,10619,0.5340648575293669,0.72640308493721
structure,linear,radial_control,971,500.0,0.1,qbar6,10619,0.10014232929643498,0.2603825747723752
structure,linear,radial_control,971,500.0,0.1,q6_coherence,10619,0.10657992837626676,0.2694443008106143
structure,linear,radial_control,971,500.0,0.1,bond_order,10619,0.43671073070190564,0.646847918666196
structure,linear,radial_control,971,500.0,0.1,angular_arrangement,10619,0.5277135591810699,0.8297429856149184
structure,linear,radial_control,1000,510.0,0.1,q4,7473,1.866462963186797,1.3694532009823093
structure,linear,radial_control,1000,510.0,0.1,q6,7473,0.3510464996649773,0.5814350908456233
structure,linear,radial_control,1000,510.0,0.1,w4,7473,2.220304731525853,1.485107729828026
structure,linear,radial_control,1000,510.0,0.1,w6,7473,1.3333589562168495,1.1487602659941378
structure,linear,radial_control,1000,510.0,0.1,qbar6,7473,0.13073999091742025,0.2878109178255946
structure,linear,radial_control,1000,510.0,0.1,q6_coherence,7473,0.16674190959706264,0.3405745462688651
structure,linear,radial_control,1000,510.0,0.1,bond_order,7473,1.01144250851816,0.9947772027322734
structure,linear,radial_control,1000,510.0,0.1,angular_arrangement,7473,0.9224538910155997,1.0270293560948809
structure,linear,radial_control,1001,510.0,0.1,q4,11038,0.8236199091924651,0.8978323454131423
structure,linear,radial_control,1001,510.0,0.1,q6,11038,0.17926185618813062,0.4285204217098126
structure,linear,radial_control,1001,510.0,0.1,w4,11038,0.9614486337959774,0.969194001961416
structure,linear,radial_control,1001,510.0,0.1,w6,11038,0.4874181976432235,0.6915470759393563
structure,linear,radial_control,1001,510.0,0.1,qbar6,11038,0.09891595215741004,0.29217495095791196
structure,linear,radial_control,1001,510.0,0.1,q6_coherence,11038,0.1209548442708352,0.311294475741892
structure,linear,radial_control,1001,510.0,0.1,bond_order,11038,0.44526989887467366,0.6569598537411243
structure,linear,radial_control,1001,510.0,0.1,angular_arrangement,11038,0.47907511574737,0.8038537170449556
structure,linear,radial_control,881,520.0,0.1,q4,7220,2.169192599434282,1.456085097712625
structure,linear,radial_control,881,520.0,0.1,q6,7220,0.3156716485894202,0.5538194099410891
structure,linear,radial_control,881,520.0,0.1,w4,7220,2.440561109676931,1.543980384081562
structure,linear,radial_control,881,520.0,0.1,w6,7220,1.4341111591833962,1.199140873534706
structure,linear,radial_control,881,520.0,0.1,qbar6,7220,0.11928895213888356,0.29781480209504785
structure,linear,radial_control,881,520.0,0.1,q6_coherence,7220,0.16938894947736421,0.3589105380939715
structure,linear,radial_control,881,520.0,0.1,bond_order,7220,1.1080357364167128,1.0381252687995095
structure,linear,radial_control,881,520.0,0.1,angular_arrangement,7220,0.8960934146517554,1.0028674037362708
structure,linear,radial_control,1009,520.0,0.1,q4,13594,1.3741803240376764,1.1698018970890318
structure,linear,radial_control,1009,520.0,0.1,q6,13594,0.19621302517546488,0.4344309270350266
structure,linear,radial_control,1009,520.0,0.1,w4,13594,2.018152680996065,1.4351748440500554
structure,linear,radial_control,1009,520.0,0.1,w6,13594,0.2999917979903872,0.5394766852500842
structure,linear,radial_control,1009,520.0,0.1,qbar6,13594,0.09716620433368482,0.26619902782914234
structure,linear,radial_control,1009,520.0,0.1,q6_coherence,13594,0.08672590958971084,0.2222729122037974
structure,linear,radial_control,1009,520.0,0.1,bond_order,13594,0.6787383236871649,0.819369249853901
structure,linear,radial_control,1009,520.0,0.1,angular_arrangement,13594,0.6777333224928371,0.9070728693780314
structure,linear,plus_gatr,911,400.0,0.05,q4,91,0.6207266769491552,0.7864290239137353
structure,linear,plus_gatr,911,400.0,0.05,q6,91,0.0865097261569095,0.28107120380936584
structure,linear,plus_gatr,911,400.0,0.05,w4,91,0.9906162277156748,1.0039194051485754
structure,linear,plus_gatr,911,400.0,0.05,w6,91,0.012463554657377697,0.09833909551856254
structure,linear,plus_gatr,911,400.0,0.05,qbar6,91,0.052522200776573415,0.1637500602188683
structure,linear,plus_gatr,911,400.0,0.05,q6_coherence,91,0.035897473849351415,0.08737102635964063
structure,linear,plus_gatr,911,400.0,0.05,bond_order,91,0.29978931001750697,0.5399759500006852
structure,linear,plus_gatr,911,400.0,0.05,angular_arrangement,91,0.34341918986650116,0.613096792440957
structure,linear,plus_gatr,913,400.0,0.05,q4,158,0.07108696746004854,0.16580978263499452
structure,linear,plus_gatr,913,400.0,0.05,q6,158,0.013885733728723287,0.11235314043889053
structure,linear,plus_gatr,913,400.0,0.05,w4,158,0.05800412272526537,0.21209998368458238
