task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms,discordant,concordance
structure,linear,radial_control,942,450.0,0.05,angular_arrangement,1,0.07014469411613591,0.32707166763148465,,
structure,linear,radial_control,911,400.0,0.1,q4,172,0.2782101729952133,0.5129617611641258,,
structure,linear,radial_control,911,400.0,0.1,q6,172,0.15367452793728892,0.3632021794368057,,
structure,linear,radial_control,911,400.0,0.1,w4,172,0.2544459462223225,0.49744097044318036,,
structure,linear,radial_control,911,400.0,0.1,w6,172,0.4491689056909572,0.6638800808971207,,
structure,linear,radial_control,911,400.0,0.1,qbar6,172,0.10862791227748018,0.22915969927435692,,
structure,linear,radial_control,911,400.0,0.1,q6_coherence,172,0.12765495598686033,0.29521688689862785,,
structure,linear,radial_control,911,400.0,0.1,bond_order,172,0.22863040351835373,0.45146004816471097,,
structure,linear,radial_control,911,400.0,0.1,angular_arrangement,172,0.306081762429484,0.6602420100754829,,
structure,linear,radial_control,913,400.0,0.1,q4,126,0.9688872457617649,0.9901612518647169,,
structure,linear,radial_control,913,400.0,0.1,q6,126,0.353319721549949,0.5607878068733738,,
structure,linear,radial_control,913,400.0,0.1,w4,126,0.7379022735544405,0.8555991044523487,,
structure,linear,radial_control,913,400.0,0.1,w6,126,2.901725448916351,1.6771434451029166,,
structure,linear,radial_control,913,400.0,0.1,qbar6,126,0.12547782010081363,0.22420826642845748,,
structure,linear,radial_control,913,400.0,0.1,q6_coherence,126,0.19579748722356066,0.3479095132100854,,
structure,linear,radial_control,913,400.0,0.1,bond_order,126,0.8805183328511468,0.9138811564002205,,
structure,linear,radial_control,913,400.0,0.1,angular_arrangement,126,0.5990267320999325,0.8405749525289181,,
structure,linear,radial_control,938,450.0,0.1,q4,91,0.7541266753866566,0.8364226129056815,,
structure,linear,radial_control,938,450.0,0.1,q6,91,0.1830090784154051,0.4054583993753211,,
structure,linear,radial_control,938,450.0,0.1,w4,91,0.5086709966685004,0.6500793215477096,,
structure,linear,radial_control,938,450.0,0.1,w6,91,0.5972578280708803,0.7672954258749177,,
structure,linear,radial_control,938,450.0,0.1,qbar6,91,0.1237134176158728,0.30420198887482397,,
structure,linear,radial_control,938,450.0,0.1,q6_coherence,91,0.1318544396699469,0.31039136618588287,,
structure,linear,radial_control,938,450.0,0.1,bond_order,91,0.38310540597121034,0.5865472908064907,,
structure,linear,radial_control,938,450.0,0.1,angular_arrangement,91,0.49255431641784553,0.8034480382537533,,
structure,linear,radial_control,942,450.0,0.1,q4,191,0.47372477264011253,0.6848081239315917,,
structure,linear,radial_control,942,450.0,0.1,q6,191,0.09902947836073193,0.3045996571495689,,
structure,linear,radial_control,942,450.0,0.1,w4,191,0.4117130275222457,0.6029434399457076,,
structure,linear,radial_control,942,450.0,0.1,w6,191,0.3636131892173035,0.5997974191256887,,
structure,linear,radial_control,942,450.0,0.1,qbar6,191,0.06164469080068701,0.17430126477279742,,
structure,linear,radial_control,942,450.0,0.1,q6_coherence,191,0.08015566367068527,0.2258745204172401,,
structure,linear,radial_control,942,450.0,0.1,bond_order,191,0.24831347036862766,0.4772213119327441,,
structure,linear,radial_control,942,450.0,0.1,angular_arrangement,191,0.3338668114034868,0.7073908013359534,,
structure,linear,radial_control,970,500.0,0.1,q4,156,0.31798912509460026,0.5427958532186881,,
structure,linear,radial_control,970,500.0,0.1,q6,156,0.11385500397588483,0.31415844042898583,,
structure,linear,radial_control,970,500.0,0.1,w4,156,0.30097116478992086,0.5471450551937437,,
structure,linear,radial_control,970,500.0,0.1,w6,156,0.2289295749487367,0.4735897075452456,,
structure,linear,radial_control,970,500.0,0.1,qbar6,156,0.07802576692461492,0.13339467402976257,,
structure,linear,radial_control,970,500.0,0.1,q6_coherence,156,0.07243568986139494,0.14387694799707285,,
structure,linear,radial_control,970,500.0,0.1,bond_order,156,0.18536772093252543,0.39905565645750707,,
structure,linear,radial_control,970,500.0,0.1,angular_arrangement,156,0.3664963596533178,0.7414295025787065,,
structure,linear,radial_control,971,500.0,0.1,q4,142,0.4697522711166574,0.6561699949959883,,
structure,linear,radial_control,971,500.0,0.1,q6,142,0.18420884718579456,0.428707105312773,,
structure,linear,radial_control,971,500.0,0.1,w4,142,0.47014035180989655,0.7058237690180038,,
structure,linear,radial_control,971,500.0,0.1,w6,142,0.44217629363139466,0.6486561218081057,,
structure,linear,radial_control,971,500.0,0.1,qbar6,142,0.14672787011303898,0.3345009800219259,,
structure,linear,radial_control,971,500.0,0.1,q6_coherence,142,0.15555716880267534,0.3353274547235976,,
structure,linear,radial_control,971,500.0,0.1,bond_order,142,0.31142713377657627,0.541237195272036,,
structure,linear,radial_control,971,500.0,0.1,angular_arrangement,142,0.4724601967751818,0.8220813036374066,,
structure,linear,radial_control,1000,510.0,0.1,q4,33,1.7241719054950153,1.2447935951461606,,
structure,linear,radial_control,1000,510.0,0.1,q6,33,0.741457550158951,0.8570341052940958,,
structure,linear,radial_control,1000,510.0,0.1,w4,33,1.1988118453768146,1.0437125453475344,,
structure,linear,radial_control,1000,510.0,0.1,w6,33,3.708434846212209,1.8846070503100016,,
structure,linear,radial_control,1000,510.0,0.1,qbar6,33,0.1325997267473131,0.3222112522060935,,
structure,linear,radial_control,1000,510.0,0.1,q6_coherence,33,0.21719298316271657,0.46006374940638883,,
structure,linear,radial_control,1000,510.0,0.1,bond_order,33,1.28711147619217,1.098527568165241,,
structure,linear,radial_control,1000,510.0,0.1,angular_arrangement,33,1.1833521806807688,1.1509391979611254,,
structure,linear,radial_control,1001,510.0,0.1,q4,97,1.2990484564610956,1.160572976042111,,
structure,linear,radial_control,1001,510.0,0.1,q6,97,0.20960325705351432,0.4805482371753739,,
structure,linear,radial_control,1001,510.0,0.1,w4,97,1.8579655055127053,1.386141296438495,,
structure,linear,radial_control,1001,510.0,0.1,w6,97,0.7985096475490191,0.878608502553682,,
structure,linear,radial_control,1001,510.0,0.1,qbar6,97,0.14499809629081686,0.40308803275389254,,
structure,linear,radial_control,1001,510.0,0.1,q6_coherence,97,0.13093082344662343,0.35582213333112767,,
structure,linear,radial_control,1001,510.0,0.1,bond_order,97,0.7401759643856292,0.8718071449715944,,
structure,linear,radial_control,1001,510.0,0.1,angular_arrangement,97,0.6202170163310821,0.8868320474094303,,
structure,linear,radial_control,881,520.0,0.1,q4,99,1.04164989935029,0.9877981222786641,,
structure,linear,radial_control,881,520.0,0.1,q6,99,0.30967065372674535,0.5336228564487344,,
structure,linear,radial_control,881,520.0,0.1,w4,99,0.736121267187082,0.8456158960370362,,
structure,linear,radial_control,881,520.0,0.1,w6,99,1.1030519004463555,1.0359049643447915,,
structure,linear,radial_control,881,520.0,0.1,qbar6,99,0.13008412611801165,0.29643283225559547,,
structure,linear,radial_control,881,520.0,0.1,q6_coherence,99,0.21776035641412184,0.40176555728327495,,
structure,linear,radial_control,881,520.0,0.1,bond_order,99,0.5897230338737677,0.7413896646551302,,
structure,linear,radial_control,881,520.0,0.1,angular_arrangement,99,0.5728576243358133,0.8551680861071987,,
structure,linear,radial_control,1009,520.0,0.1,q4,160,1.6466580025656423,1.281270713981003,,
structure,linear,radial_control,1009,520.0,0.1,q6,160,0.2649431035443858,0.5130031277573246,,
structure,linear,radial_control,1009,520.0,0.1,w4,160,2.4214200675477646,1.5483593306656047,,
structure,linear,radial_control,1009,520.0,0.1,w6,160,0.3660199762655939,0.5891823752673391,,
structure,linear,radial_control,1009,520.0,0.1,qbar6,160,0.12835141495042685,0.3173129552609609,,
structure,linear,radial_control,1009,520.0,0.1,q6_coherence,160,0.09295556330171222,0.24823631573473656,,
structure,linear,radial_control,1009,520.0,0.1,bond_order,160,0.8200580213625878,0.8955155051519292,,
structure,linear,radial_control,1009,520.0,0.1,angular_arrangement,160,0.7888934859055132,1.0071228361065612,,
structure,linear,plus_radial_duplicate,911,400.0,0.05,q4,2,0.038028177863032274,0.156088250809767,,
structure,linear,plus_radial_duplicate,911,400.0,0.05,q6,2,0.043070251125398765,0.1392019094762592,,
structure,linear,plus_radial_duplicate,911,400.0,0.05,w4,2,0.12697349918444076,0.32627599448075145,,
structure,linear,plus_radial_duplicate,911,400.0,0.05,w6,2,0.003191685835173758,0.10278381802583629,,
structure,linear,plus_radial_duplicate,911,400.0,0.05,qbar6,2,0.058032570267946,0.010945204147925254,,
structure,linear,plus_radial_duplicate,911,400.0,0.05,q6_coherence,2,0.044638080473918845,0.010117604830586538,,
structure,linear,plus_radial_duplicate,911,400.0,0.05,bond_order,2,0.05232237745831841,0.16380039422338022,,
structure,linear,plus_radial_duplicate,911,400.0,0.05,angular_arrangement,2,0.20768127628325445,0.5322235002296847,,
structure,linear,plus_radial_duplicate,942,450.0,0.05,q4,1,0.008258384044906262,0.07125223941609359,,
structure,linear,plus_radial_duplicate,942,450.0,0.05,q6,1,0.0032117705651295027,0.06103165057492276,,
