task,family,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,linear,w4,radial_control,plus_radial_duplicate,10,32040,0.11488883570903718,-0.2642071009748115,0.5024488835276619,0.7145651104207251,0.7137441548849798
structure,linear,w4,radial_control,plus_gatr,10,32040,0.12094413956434957,-0.25695060580330775,0.5095845199405646,0.7145651104207251,0.7137008857962998
structure,linear,w4,radial_control,plus_angular_delta,10,32040,0.36388388303105756,-0.038109819474607676,0.757225457919597,0.7145651104207251,0.711964923150141
structure,linear,w4,radial_control,plus_mace,10,32040,7.114800664574861,4.772679719703577,9.757568433112949,0.7145651104207251,0.6637252271956913
structure,linear,w4,radial_control,plus_soap,10,32040,27.252409687054204,20.240011463015016,32.86682123255944,0.7145651104207251,0.5198288990481179
structure,linear,w4,radial_control,plus_tda,10,32040,5.353774291601098,3.5988168434049204,7.485338949815187,0.7145651104207251,0.6763089072422693
structure,linear,w4,plus_radial_duplicate,plus_gatr,10,32040,0.006062268725270936,0.003003698635339891,0.009175923292825683,0.7137441548849798,0.7137008857962998
structure,linear,w4,plus_radial_duplicate,plus_angular_delta,10,32040,0.24928144387051931,0.10791254634783254,0.41341516074606677,0.7137441548849798,0.711964923150141
structure,linear,w6,radial,radial_control,10,32040,0.08482756346872566,-0.6919584378712124,0.9157780651787739,0.9538748748373591,0.9530657260224942
structure,linear,w6,radial_control,plus_radial_duplicate,10,32040,-0.06351705554314968,-0.2604014607284544,0.15609850397592231,0.9530657260224942,0.9536710853090545
structure,linear,w6,radial_control,plus_gatr,10,32040,-0.06356710859047876,-0.25831571997581015,0.1537171919370195,0.9530657260224942,0.9536715623474936
structure,linear,w6,radial_control,plus_angular_delta,10,32040,-0.05378935808357799,-0.20047153933383743,0.07950803585046184,0.9530657260224942,0.9535783739586362
structure,linear,w6,radial_control,plus_mace,10,32040,1.219717782894314,1.005531954761385,1.4948465605539418,0.9530657260224942,0.941441013879527
structure,linear,w6,radial_control,plus_soap,10,32040,7.782182620781608,6.086834459079748,9.102299818050508,0.9530657260224942,0.8788964107273456
structure,linear,w6,radial_control,plus_tda,10,32040,0.8963198636344538,0.37013602740136875,1.3811002224777713,0.9530657260224942,0.9445232086066626
structure,linear,w6,plus_radial_duplicate,plus_gatr,10,32040,-5.002127529962763e-05,-0.002949688230184377,0.00243852683643464,0.9536710853090545,0.9536715623474936
structure,linear,w6,plus_radial_duplicate,plus_angular_delta,10,32040,0.009721522634642543,-0.11334545684448694,0.11078555339599669,0.9536710853090545,0.9535783739586362
structure,linear,qbar6,radial,radial_control,10,32040,-3.972045250257583,-7.2177238597259095,-0.5172990537035238,0.10806964025493115,0.1123622152676476
structure,linear,qbar6,radial_control,plus_radial_duplicate,10,32040,-0.2829078990000289,-0.8093383980049662,0.3002165351311259,0.1123622152676476,0.11268009685013118
structure,linear,qbar6,radial_control,plus_gatr,10,32040,-0.28126645467532185,-0.7931040798571765,0.28909951700796244,0.1123622152676476,0.11267825248692558
structure,linear,qbar6,radial_control,plus_angular_delta,10,32040,1.2852409782842633,1.0095866946374108,1.5842235371035462,0.1123622152676476,0.11091809003291982
structure,linear,qbar6,radial_control,plus_mace,10,32040,56.32165742561598,53.68306117545774,58.89572811270295,0.1123622152676476,0.04907795330876995
structure,linear,qbar6,radial_control,plus_soap,10,32040,47.39185241406613,42.77062066689692,52.54318294590665,0.1123622152676476,0.05911168003882877
structure,linear,qbar6,radial_control,plus_tda,10,32040,53.9488276497232,50.936358423954964,56.60112262759209,0.1123622152676476,0.05174411740949343
structure,linear,qbar6,plus_radial_duplicate,plus_gatr,10,32040,0.0016368136495858998,-0.020445713227523754,0.019632222668419796,0.11268009685013118,0.11267825248692558
structure,linear,qbar6,plus_radial_duplicate,plus_angular_delta,10,32040,1.5637249758090777,0.8601820964667439,2.174968942766886,0.11268009685013118,0.11091809003291982
structure,linear,q6_coherence,radial,radial_control,10,32040,-3.406430777875502,-6.970031046282754,0.6350858501949386,0.15743795001053412,0.1628009647957492
structure,linear,q6_coherence,radial_control,plus_radial_duplicate,10,32040,-0.2721282280828019,-0.818300701708985,0.3599190416635589,0.1628009647957492,0.16324399217654958
structure,linear,q6_coherence,radial_control,plus_gatr,10,32040,-0.2714805461957237,-0.8156018490678152,0.3551079396424184,0.1628009647957492,0.1632429377441886
structure,linear,q6_coherence,radial_control,plus_angular_delta,10,32040,0.6522191470975103,0.2977816545607026,1.0064554986038199,0.1628009647957492,0.16173914573169185
structure,linear,q6_coherence,radial_control,plus_mace,10,32040,38.340806069345334,35.39599788351827,41.10240627558929,0.1628009647957492,0.10038176260438783
structure,linear,q6_coherence,radial_control,plus_soap,10,32040,32.53083910882366,28.94593824485715,36.48576927376028,0.1628009647957492,0.10984044487043139
structure,linear,q6_coherence,radial_control,plus_tda,10,32040,34.60553844204781,30.454188784978452,38.19032089760527,0.1628009647957492,0.1064628143393315
structure,linear,q6_coherence,plus_radial_duplicate,plus_gatr,10,32040,0.0006459241451484132,-0.007697455080224458,0.007213535536798599,0.16324399217654958,0.1632429377441886
structure,linear,q6_coherence,plus_radial_duplicate,plus_angular_delta,10,32040,0.9218387916109294,0.47714516701757415,1.3412408035110235,0.16324399217654958,0.16173914573169185
structure,linear,bond_order,radial,radial_control,10,32040,-0.572442100980286,-1.2434148054295102,0.18130952705153192,0.49061173957265963,0.49342020772232525
structure,linear,bond_order,radial_control,plus_radial_duplicate,10,32040,-0.09324169809101779,-0.3856189637777785,0.19731276392838895,0.49342020772232525,0.49388028110272975
structure,linear,bond_order,radial_control,plus_gatr,10,32040,-0.08873664262947223,-0.37511033129538074,0.1966154733520513,0.49342020772232525,0.49385805224871343
structure,linear,bond_order,radial_control,plus_angular_delta,10,32040,0.13436526936559945,-0.08075098604367614,0.3564843774350737,0.49342020772232525,0.49275722233111485
structure,linear,bond_order,radial_control,plus_mace,10,32040,12.232155971312775,10.326441235323317,14.101404761061943,0.49342020772232525,0.43306427831975497
structure,linear,bond_order,radial_control,plus_soap,10,32040,39.35184504053305,36.5658068469943,42.435095614737904,0.49342020772232525,0.2992502521807595
structure,linear,bond_order,radial_control,plus_tda,10,32040,8.83268967265577,6.827536612169094,10.795140908318013,0.49342020772232525,0.4498379319920388
structure,linear,bond_order,plus_radial_duplicate,plus_gatr,10,32040,0.0045008587843731185,-0.0010989126350890999,0.010443022519501799,0.49388028110272975,0.49385805224871343
structure,linear,bond_order,plus_radial_duplicate,plus_angular_delta,10,32040,0.22739494055266096,0.01870618615162911,0.416208678981092,0.49388028110272975,0.49275722233111485
structure,linear,angular_arrangement,radial,radial_control,10,32040,-0.007881242836904612,-0.3596413180937341,0.4138909325479334,0.42933856908338086,0.4293724062986028
structure,linear,angular_arrangement,radial_control,plus_radial_duplicate,10,32040,0.4003447122069126,-0.13028478826098144,0.8724248561631928,0.4293724062986028,0.42765343657431076
structure,linear,angular_arrangement,radial_control,plus_gatr,10,32040,0.41499456387723566,-0.10884873267440476,0.8806115773286946,0.4293724062986028,0.4275905341536747
structure,linear,angular_arrangement,radial_control,plus_angular_delta,10,32040,0.8254326599300921,0.10705429922951426,1.4121607020046723,0.4293724062986028,0.4258282262242864
structure,linear,angular_arrangement,radial_control,plus_mace,10,32040,17.106862378901745,11.862694105140271,21.081597227503423,0.4293724062986028,0.355920259660122
structure,linear,angular_arrangement,radial_control,plus_soap,10,32040,45.01757219772764,41.48916387399554,47.924883621930704,0.4293724062986028,0.23607937329600884
structure,linear,angular_arrangement,radial_control,plus_tda,10,32040,10.106508180340201,6.523680918704677,12.877698937317131,0.4293724062986028,0.38597784893191095
structure,linear,angular_arrangement,plus_radial_duplicate,plus_gatr,10,32040,0.014708737322433052,0.0044842953721202505,0.024894060887392655,0.42765343657431076,0.4275905341536747
structure,linear,angular_arrangement,plus_radial_duplicate,plus_angular_delta,10,32040,0.42679660536463215,0.1161363961560294,0.6675201791702667,0.42765343657431076,0.4258282262242864
structure,nonlinear,q4,radial,radial_control,10,32040,0.393276629892203,-0.255471521451045,1.0921516540278509,0.7858316368982271,0.782741144720007
structure,nonlinear,q4,radial_control,plus_radial_duplicate,10,32040,-0.03583685705557116,-1.2366038004294921,1.1028802751842037,0.782741144720007,0.7830216545451554
structure,nonlinear,q4,radial_control,plus_gatr,10,32040,0.01496291807304706,-1.1575690126449878,1.1496684492632525,0.782741144720007,0.7826240238037985
structure,nonlinear,q4,radial_control,plus_angular_delta,10,32040,0.6537975225046178,-0.9762963091763499,2.17279484125203,0.782741144720007,0.7776236025082033
structure,nonlinear,q4,radial_control,plus_mace,10,32040,10.710627324004108,6.351763643850495,14.566180230893943,0.782741144720007,0.6989046577974034
structure,nonlinear,q4,radial_control,plus_soap,10,32040,73.91015180280537,71.67001515306649,76.0218580747418,0.782741144720007,0.20421597643443334
structure,nonlinear,q4,radial_control,plus_tda,10,32040,5.048656960054032,2.9856965211660036,7.122609637996002,0.782741144720007,0.7432232294378938
structure,nonlinear,q4,plus_radial_duplicate,plus_gatr,10,32040,0.05078157660759475,0.015401564068229234,0.08494059776783525,0.7830216545451554,0.7826240238037985
structure,nonlinear,q4,plus_radial_duplicate,plus_angular_delta,10,32040,0.6893873248100313,-0.4407337640415898,1.8070238471639979,0.7830216545451554,0.7776236025082033
structure,nonlinear,q6,radial,radial_control,10,32040,-0.18588474138838684,-0.7000912613692734,0.24127866872521714,0.2141142511245316,0.21451225684651015
structure,nonlinear,q6,radial_control,plus_radial_duplicate,10,32040,-1.2763630673946702,-2.3301369421231843,-0.12035452301428773,0.21451225684651015,0.21725021206793382
structure,nonlinear,q6,radial_control,plus_gatr,10,32040,-1.247069472426432,-2.2981679245963837,-0.10905363887487862,0.21451225684651015,0.21718737371625596
structure,nonlinear,q6,radial_control,plus_angular_delta,10,32040,-0.909454582732705,-1.6639218991596705,-0.07129189971766203,0.21451225684651015,0.21646314839692407
structure,nonlinear,q6,radial_control,plus_mace,10,32040,19.473171672649126,17.71163648748999,21.40564629145284,0.21451225684651015,0.1727399168119152
structure,nonlinear,q6,radial_control,plus_soap,10,32040,91.48287907539093,90.98435731181222,92.05437216577099,0.21451225684651015,0.018270268313725278
structure,nonlinear,q6,radial_control,plus_tda,10,32040,18.249505038049197,14.975356309739507,21.860803483563597,0.21451225684651015,0.17536483172607326
structure,nonlinear,q6,plus_radial_duplicate,plus_gatr,10,32040,0.02892441442506888,-0.0011464680172768027,0.05939281271931662,0.21725021206793382,0.21718737371625596
structure,nonlinear,q6,plus_radial_duplicate,plus_angular_delta,10,32040,0.3622844201245923,-0.05902851616415017,0.7813937567940354,0.21725021206793382,0.21646314839692407
structure,nonlinear,w4,radial,radial_control,10,32040,-0.651530497751196,-1.5784302521445026,0.1692764137235514,0.7038218330105769,0.7084074469024723
structure,nonlinear,w4,radial_control,plus_radial_duplicate,10,32040,0.0992050032570857,-0.45470161909075824,0.6567777584729373,0.7084074469024723,0.7077046712716992
structure,nonlinear,w4,radial_control,plus_gatr,10,32040,0.11095341591840224,-0.44305961893804646,0.6606736524988444,0.7084074469024723,0.7076214446415137
structure,nonlinear,w4,radial_control,plus_angular_delta,10,32040,0.04158367637149274,-0.3647022837191205,0.38547818522432875,0.7084074469024723,0.7081128650423608
structure,nonlinear,w4,radial_control,plus_mace,10,32040,4.847296963953718,3.6483607901919513,6.162156135648412,0.7084074469024723,0.6740688342363467
structure,nonlinear,w4,radial_control,plus_soap,10,32040,28.216775960086416,20.171855463389754,34.5252794912812,0.7084074469024723,0.5085177047254336
