contrast,readout,metric,reference_arm,reference_representation,candidate_arm,candidate_representation,reference,candidate,delta,ci95_low,ci95_high,valid_draws
physical_distance,linear,nll,B-relaxed,exported,D-physical-distance,exported,0.18679989031884128,0.18677577160286027,-2.4118715981014116e-05,-0.00020860351999746202,0.00013554849169434554,2000
physical_distance,mlp,average_precision,B-relaxed,exported,D-physical-distance,exported,0.26752934690832947,0.26677821266567014,-0.0007511342426593237,-0.0027805976795306844,0.0007687084948985394,2000
physical_distance,mlp,brier,B-relaxed,exported,D-physical-distance,exported,0.029031721184885256,0.02907143913721396,3.971795232870362e-05,-0.0001436378855695755,0.00022416286094989154,2000
physical_distance,mlp,log_loss,B-relaxed,exported,D-physical-distance,exported,0.14398084223113414,0.1445044915915266,0.000523649360392453,-0.0006139944469679092,0.0015179711973749592,2000
physical_distance,mlp,nll,B-relaxed,exported,D-physical-distance,exported,0.2138386028770979,0.21304364424353708,-0.0007949586335608272,-0.002991172909895358,0.0014576172198059025,2000
relaxed_input,linear,average_precision,A-observed,exported,B-relaxed,exported,0.083003640339294,0.20870261822435154,0.12569897788505754,0.02781989041216819,0.21322977933063292,2000
relaxed_input,linear,brier,A-observed,exported,B-relaxed,exported,0.03503801714133139,0.030763008837892535,-0.004275008303438854,-0.005875356712518601,-0.002435773742638707,2000
relaxed_input,linear,log_loss,A-observed,exported,B-relaxed,exported,0.15900525226596113,0.1325255181797746,-0.026479734086186535,-0.032801451035996326,-0.02099755856448689,2000
relaxed_input,linear,nll,A-observed,exported,B-relaxed,exported,0.20576552073038037,0.18679989031884128,-0.01896563041153909,-0.02493118502793737,-0.01321956131033582,2000
relaxed_input,mlp,average_precision,A-observed,exported,B-relaxed,exported,0.15206122817576048,0.26752934690832947,0.11546811873256899,0.008084355842074146,0.18456826865333473,2000
relaxed_input,mlp,brier,A-observed,exported,B-relaxed,exported,0.03324578777196953,0.029031721184885256,-0.0042140665870842725,-0.007057433349593971,-0.0018015018413853098,2000
relaxed_input,mlp,log_loss,A-observed,exported,B-relaxed,exported,0.15488986645482342,0.14398084223113414,-0.010909024223689279,-0.030440691488979786,0.009716167727496615,2000
relaxed_input,mlp,nll,A-observed,exported,B-relaxed,exported,0.2150145117662207,0.2138386028770979,-0.0011759088891227787,-0.026869854761398745,0.02869240674490191,2000
relaxed_training,linear,average_precision,B-relaxed,initial_exported,B-relaxed,exported,0.11485255602560901,0.20870261822435154,0.09385006219874253,0.016931443869139428,0.15960756053885167,2000
relaxed_training,linear,brier,B-relaxed,initial_exported,B-relaxed,exported,0.03494169268437701,0.030763008837892535,-0.004178683846484475,-0.007582968363177668,-0.0010576786684343411,2000
relaxed_training,linear,log_loss,B-relaxed,initial_exported,B-relaxed,exported,0.145959883374059,0.1325255181797746,-0.013434365194284398,-0.02149960739254945,-0.004963242122097259,2000
relaxed_training,linear,nll,B-relaxed,initial_exported,B-relaxed,exported,0.19307252875386233,0.18679989031884128,-0.006272638435021044,-0.01824948771723235,0.0042519867941971075,2000
relaxed_training,mlp,average_precision,B-relaxed,initial_exported,B-relaxed,exported,0.03247908468153893,0.26752934690832947,0.23505026222679054,0.07761530973014893,0.4305871974834542,2000
relaxed_training,mlp,brier,B-relaxed,initial_exported,B-relaxed,exported,0.03156406197200376,0.029031721184885256,-0.0025323407871185033,-0.007854354188604215,0.0031344971709626746,2000
relaxed_training,mlp,log_loss,B-relaxed,initial_exported,B-relaxed,exported,0.14507099669010717,0.14398084223113414,-0.001090154458973036,-0.04279431493174735,0.049035236471323226,2000
relaxed_training,mlp,nll,B-relaxed,initial_exported,B-relaxed,exported,0.19559800980094455,0.2138386028770979,0.01824059307615336,-0.022523019487390737,0.06602969859767224,2000
relaxed_descriptor,linear,average_precision,B-relaxed,descriptor,B-relaxed,exported,0.09909540186034659,0.20870261822435154,0.10960721636400496,-0.08480197448550049,0.25254849131554036,2000
relaxed_descriptor,linear,brier,B-relaxed,descriptor,B-relaxed,exported,0.033635883352677226,0.030763008837892535,-0.0028728745147846915,-0.007594376764231457,0.0022517419741018598,2000
relaxed_descriptor,linear,log_loss,B-relaxed,descriptor,B-relaxed,exported,0.14846396970671924,0.1325255181797746,-0.015938451526944647,-0.029452076126198337,-0.00033865177809958914,2000
relaxed_descriptor,linear,nll,B-relaxed,descriptor,B-relaxed,exported,0.21559786444965143,0.18679989031884128,-0.028797974130810144,-0.05821484579051017,-0.0022261836425711075,2000
relaxed_descriptor,mlp,average_precision,B-relaxed,descriptor,B-relaxed,exported,0.13236332835828019,0.26752934690832947,0.13516601855004928,-0.06128895052678919,0.262527414894734,2000
relaxed_descriptor,mlp,brier,B-relaxed,descriptor,B-relaxed,exported,0.03083845994300622,0.029031721184885256,-0.001806738758120964,-0.006848699358770398,0.0036126919739017257,2000
relaxed_descriptor,mlp,log_loss,B-relaxed,descriptor,B-relaxed,exported,0.15123262126890427,0.14398084223113414,-0.007251779037770134,-0.029641385112285,0.02009475459536357,2000
relaxed_descriptor,mlp,nll,B-relaxed,descriptor,B-relaxed,exported,0.2249406841068946,0.2138386028770979,-0.011102081229796695,-0.05051278661928768,0.03256220489440492,2000
relaxed_temperature,linear,average_precision,B-relaxed,conditions,B-relaxed,exported,0.055256122925803716,0.20870261822435154,0.1534464952985478,0.028266869298563306,0.3028542469451,2000
relaxed_temperature,linear,brier,B-relaxed,conditions,B-relaxed,exported,0.031246826055471726,0.030763008837892535,-0.00048381721757919174,-0.005222507093941275,0.004954368701685169,2000
relaxed_temperature,linear,log_loss,B-relaxed,conditions,B-relaxed,exported,0.1411660864144007,0.1325255181797746,-0.008640568234626111,-0.02688157642814967,0.012439043741684459,2000
relaxed_temperature,linear,nll,B-relaxed,conditions,B-relaxed,exported,0.19372409431737486,0.18679989031884128,-0.006924203998533579,-0.02401361107405905,0.01239354218905489,2000
relaxed_temperature,mlp,average_precision,B-relaxed,conditions,B-relaxed,exported,0.05856170013644129,0.26752934690832947,0.20896764677188817,0.056473213063519184,0.3970534576319168,2000
relaxed_temperature,mlp,brier,B-relaxed,conditions,B-relaxed,exported,0.03123828601038974,0.029031721184885256,-0.0022065648255044853,-0.007539753465222353,0.003275228964652596,2000
relaxed_temperature,mlp,log_loss,B-relaxed,conditions,B-relaxed,exported,0.14124525054819514,0.14398084223113414,0.0027355916829389926,-0.038774352939203144,0.052882981730857384,2000
relaxed_temperature,mlp,nll,B-relaxed,conditions,B-relaxed,exported,0.19233177624565576,0.2138386028770979,0.021506826631442155,-0.017613792629214545,0.06659841566573363,2000
