arm,representation,readout,metric,estimate,ci95_low,ci95_high,valid_draws,selected_step
B-relaxed,exported,mlp,nll,0.2138386028770979,0.13967841344311957,0.29140308759247213,2000,128
B-relaxed,initial_exported,linear,average_precision,0.11485255602560901,0.051742398746602726,0.24610468988343015,2000,256
B-relaxed,initial_exported,linear,brier,0.03494169268437701,0.028320693672974424,0.04225798278556914,2000,256
B-relaxed,initial_exported,linear,log_loss,0.145959883374059,0.11998149483685498,0.1739461043237729,2000,256
B-relaxed,initial_exported,linear,nll,0.19307252875386233,0.15371000507667248,0.23690291663881477,2000,256
B-relaxed,initial_exported,mlp,average_precision,0.03247908468153893,0.022847905242306284,0.04274128323757477,2000,0
B-relaxed,initial_exported,mlp,brier,0.03156406197200376,0.022786314339806234,0.04091691326552722,2000,0
B-relaxed,initial_exported,mlp,log_loss,0.14507099669010717,0.11549051111017232,0.17658954728098178,2000,0
B-relaxed,initial_exported,mlp,nll,0.19559800980094455,0.15256114049545622,0.24221127900838965,2000,0
C-relaxed-teacher,exported,linear,average_precision,0.09701921506686595,0.0425654284794024,0.22870580234833532,2000,768
C-relaxed-teacher,exported,linear,brier,0.03533502348181171,0.028136963625156993,0.04246219348401752,2000,768
C-relaxed-teacher,exported,linear,log_loss,0.15239305924023633,0.1236464120041156,0.18244818742968294,2000,768
C-relaxed-teacher,exported,linear,nll,0.1980049394995888,0.1570676112385462,0.2433873782236768,2000,768
C-relaxed-teacher,exported,mlp,average_precision,0.1551691659465794,0.05286058832072813,0.4165055625878109,2000,128
C-relaxed-teacher,exported,mlp,brier,0.0334322873702659,0.024935546736136974,0.0419847261244245,2000,128
C-relaxed-teacher,exported,mlp,log_loss,0.15555558862505398,0.11070280950535054,0.20506122163157087,2000,128
C-relaxed-teacher,exported,mlp,nll,0.21649653984949965,0.15895071073264175,0.27712452232403895,2000,128
C-relaxed-teacher,initial_exported,linear,average_precision,0.14233798160153652,0.05457116892226448,0.3953234048982068,2000,1024
C-relaxed-teacher,initial_exported,linear,brier,0.032085994260260584,0.024531209888360158,0.04007572548870598,2000,1024
C-relaxed-teacher,initial_exported,linear,log_loss,0.14267692574065638,0.1112747316874713,0.1758915211763537,2000,1024
C-relaxed-teacher,initial_exported,linear,nll,0.18803984535687318,0.14066534832863362,0.23855234845214315,2000,1024
C-relaxed-teacher,initial_exported,mlp,average_precision,0.1539637319454639,0.04780403046952124,0.3968827117420625,2000,128
C-relaxed-teacher,initial_exported,mlp,brier,0.03423550793739334,0.025452692273730544,0.04335484309269347,2000,128
C-relaxed-teacher,initial_exported,mlp,log_loss,0.1661286170624851,0.11806595349978663,0.22116344367877874,2000,128
C-relaxed-teacher,initial_exported,mlp,nll,0.22532340015321384,0.16916534257307445,0.2846823177280095,2000,128
D-physical-distance,exported,linear,average_precision,0.20958643266167837,0.07839168629732202,0.36663175228778155,2000,384
D-physical-distance,exported,linear,brier,0.03068814048093235,0.02397905807745789,0.03785044487564351,2000,384
D-physical-distance,exported,linear,log_loss,0.1324014183751063,0.10709141523436096,0.1598303834216478,2000,384
D-physical-distance,exported,linear,nll,0.18677577160286027,0.14821462032572688,0.22770875011856842,2000,384
