model,domain,population,lag_ps,component,eigenvalue
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,90,0.0017572273987314728
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,91,0.0017162709706948236
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,92,0.0016878987101134944
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,93,0.0016696237491775675
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,94,0.0016371456201243015
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,95,0.0016205791946803287
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,96,0.0015915664657674248
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,97,0.0015805545885882414
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,98,0.0015489030969410415
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,99,0.0015290560927414107
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,100,0.0014963733552461327
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,101,0.0014843175539968345
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,102,0.0014511640443785037
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,103,0.0014469878069950115
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,104,0.0014244267255636041
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,105,0.0014131676698517911
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,106,0.0013863313384527367
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,107,0.0013638799166628272
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,108,0.001356052466698077
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,109,0.001297275501229589
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,110,0.0012702931974463052
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,111,0.0012511183435850177
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,112,0.0012349406216025705
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,113,0.0012075611402617293
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,114,0.0011994156277632558
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,115,0.0011712957217609734
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,116,0.0011562733390626295
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,117,0.001125759512826914
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,118,0.0011105261069277181
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,119,0.0010863639856638352
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,120,0.0010640065615913966
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,121,0.001058852381417103
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,122,0.001039243095488494
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,123,0.0010079935400319365
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,124,0.0010063382424114187
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,125,0.0009456858494927096
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,126,0.0009341360596023738
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,127,0.0008776188478979144
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,128,0.0008119844329347044
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,1,19.386705180178943
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,2,3.8184377745577187
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,3,1.187153752032248
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,4,0.313845817603868
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,5,0.15316362786077237
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,6,0.09475485944219356
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,7,0.07607306394869673
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,8,0.061545743647088924
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,9,0.05039867652884255
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,10,0.04553754441465615
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,11,0.035528695281934836
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,12,0.025823758999435384
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,13,0.021743554108188165
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,14,0.019531795956553362
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,15,0.017650784158262867
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,16,0.01674001891797977
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,17,0.0161659218172495
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,18,0.013781164091594304
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,19,0.011840742226436881
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,20,0.01116370844857317
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,21,0.010682459291853349
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,22,0.009825899941306502
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,23,0.009593810509595834
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,24,0.008763996976193164
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,25,0.0081599814641057
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,26,0.008024132894326809
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,27,0.007756515165489139
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,28,0.007152785692699367
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,29,0.006968242746967144
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,30,0.006583513150052549
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,31,0.00612680138253494
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,32,0.005892965630408599
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,33,0.005754021483745538
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,34,0.005665060908925348
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,35,0.005482748393985771
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,36,0.005407311113104811
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,37,0.00515986022591688
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,38,0.004719865446242173
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,39,0.004669445478495106
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,40,0.0044916560164071015
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,41,0.004408220906746151
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,42,0.004247299083481415
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,43,0.004206758616871957
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,44,0.004188586736272919
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,45,0.004092358781402479
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,46,0.00399002542167455
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,47,0.0038368641485934272
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,48,0.003699666017693897
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,49,0.003650692569251101
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,50,0.003583323826943007
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,51,0.003478650812159569
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,52,0.0033659730188461716
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,53,0.0033049804726675448
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,54,0.0032202410491114545
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,55,0.0031784129821781767
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,,56,0.003100814171270046
