model,domain,population,rows,dimensions,centered,rank_ceiling,total_energy,collapsed,numerical_rank,participation_rank,entropy_rank,d90,d95,d99
gf-mlp-cov1-factor1-s123-0035--encoder,T500K,reference,320,128,True,128,24.988945033137995,False,128,1.964432999038228,2.9596995778794652,3,4,24
gf-mlp-cov1-factor1-s123-0035--encoder,T500K,evaluation,192,128,True,128,26.781938891939735,False,128,1.9127716082617594,2.899092729369502,3,4,24
gf-mlp-cov1-factor1-s123-0035--encoder,T500K,within_track,192,128,True,128,19.215010034944466,False,128,1.660470913480621,2.604384900620297,3,4,23
gf-mlp-cov1-factor1-s123-0035--encoder,T510K,dataset,576,128,True,128,25.924578964088443,False,128,1.6531944541584989,2.549767529067554,2,4,26
gf-mlp-cov1-factor1-s123-0035--encoder,T510K,reference,320,128,True,128,26.112189167028387,False,128,1.6452462741391962,2.495891999045546,2,3,23
gf-mlp-cov1-factor1-s123-0035--encoder,T510K,evaluation,192,128,True,128,25.652526933502557,False,128,1.6854273563236832,2.603657951072747,2,4,23
gf-mlp-cov1-factor1-s123-0035--encoder,T510K,within_track,192,128,True,128,20.41138737583342,False,128,1.5254283682909704,2.3225598391936684,2,3,20
gf-mlp-cov1-factor1-s123-0035--encoder,T520K,dataset,576,128,True,128,24.004862444703598,False,128,1.7179926877157745,2.6936088951346138,2,4,29
gf-mlp-cov1-factor1-s123-0035--encoder,T520K,reference,320,128,True,128,25.795574120035784,False,128,1.8349109316283196,2.83308895410651,3,4,25
gf-mlp-cov1-factor1-s123-0035--encoder,T520K,evaluation,192,128,True,128,20.606278438418595,False,128,1.649429138164554,2.58372641919135,2,4,28
gf-mlp-cov1-factor1-s123-0035--encoder,T520K,within_track,192,128,True,128,15.281571252635446,False,128,1.5621490349394465,2.4509349754683636,2,4,26
gf-mlp-cov1-factor1-s123-0035--projector,all,dataset,2880,128,True,128,142.40521912512165,False,119,3.1105055592837823,3.5658349801369087,3,3,6
gf-mlp-cov1-factor1-s123-0035--projector,all,reference,1600,128,True,128,154.51038897277178,False,117,3.085916818794104,3.494857265743126,3,3,6
gf-mlp-cov1-factor1-s123-0035--projector,all,evaluation,960,128,True,128,133.78422225426777,False,117,2.984400648958945,3.5911021165074497,3,4,6
gf-mlp-cov1-factor1-s123-0035--projector,all,within_track,960,128,True,128,84.3122231718666,False,117,3.0818298471447956,3.7137563154462527,3,4,6
gf-mlp-cov1-factor1-s123-0035--projector,noncrystalline,dataset,1830,128,True,128,63.106017312074066,False,117,1.795859506186528,2.711557831098608,3,4,7
gf-mlp-cov1-factor1-s123-0035--projector,noncrystalline,reference,905,128,True,128,68.61071198471605,False,112,1.5084019924232548,2.2090332775152115,3,4,7
gf-mlp-cov1-factor1-s123-0035--projector,noncrystalline,evaluation,686,128,True,128,57.37080286397892,False,115,2.469223394587946,3.5714725497057183,4,5,7
gf-mlp-cov1-factor1-s123-0035--projector,noncrystalline,within_track,686,128,True,128,32.81534665375746,False,115,2.390468697878725,3.4788190937497925,4,5,7
gf-mlp-cov1-factor1-s123-0035--projector,pre_onset_12ps,dataset,56,128,True,55,114.85468892990322,False,55,1.4910293536430703,2.0796325053969165,2,3,6
gf-mlp-cov1-factor1-s123-0035--projector,pre_onset_12ps,reference,30,128,True,29,107.60526242396429,False,29,1.3956094213122852,1.8612575708729913,2,3,5
gf-mlp-cov1-factor1-s123-0035--projector,pre_onset_12ps,evaluation,18,128,True,17,121.58610541993042,False,17,1.3980431920213268,1.749060051177444,2,2,4
gf-mlp-cov1-factor1-s123-0035--projector,pre_onset_12ps,within_track,18,128,True,17,0.0,True,0,,,,,
gf-mlp-cov1-factor1-s123-0035--projector,at_risk_no_onset_12ps,dataset,1645,128,True,128,29.83870011152677,False,115,2.3947851445597412,3.6077156684460734,4,5,7
gf-mlp-cov1-factor1-s123-0035--projector,at_risk_no_onset_12ps,reference,797,128,True,128,29.860953220910506,False,109,1.6898233075846645,2.5745732187673895,3,5,7
gf-mlp-cov1-factor1-s123-0035--projector,at_risk_no_onset_12ps,evaluation,625,128,True,128,31.067762664807756,False,114,3.480013419207697,4.574755075511296,4,5,7
gf-mlp-cov1-factor1-s123-0035--projector,at_risk_no_onset_12ps,within_track,625,128,True,128,17.161270659586616,False,113,3.104619828399487,4.28917122252899,4,5,8
gf-mlp-cov1-factor1-s123-0035--projector,T400K,dataset,576,128,True,128,32.92297095782905,False,114,3.3874043614335143,4.4053663573891155,4,5,7
gf-mlp-cov1-factor1-s123-0035--projector,T400K,reference,320,128,True,128,52.37611634236089,False,111,2.9048758395462073,3.756924802438235,3,4,7
gf-mlp-cov1-factor1-s123-0035--projector,T400K,evaluation,192,128,True,128,8.615380717832572,False,84,2.0442835695006925,3.1222631699236874,4,5,8
gf-mlp-cov1-factor1-s123-0035--projector,T400K,within_track,192,128,True,128,5.567732145500716,False,84,2.3233182160582366,3.5195442171996434,4,5,8
gf-mlp-cov1-factor1-s123-0035--projector,T450K,dataset,576,128,True,128,157.5249324013271,False,112,3.130842401737692,3.5612438192698286,3,3,5
gf-mlp-cov1-factor1-s123-0035--projector,T450K,reference,320,128,True,128,165.3635857520208,False,112,3.0485650674578277,3.4672218992718844,3,3,5
gf-mlp-cov1-factor1-s123-0035--projector,T450K,evaluation,192,128,True,128,146.54482680378896,False,109,3.2248731903692116,3.698800194611032,3,4,6
gf-mlp-cov1-factor1-s123-0035--projector,T450K,within_track,192,128,True,128,96.8246053313609,False,109,3.307279925682313,3.786809189805003,3,4,6
gf-mlp-cov1-factor1-s123-0035--projector,T500K,dataset,576,128,True,128,192.4230486902484,False,116,2.9250578085015726,3.35831416655197,3,3,5
gf-mlp-cov1-factor1-s123-0035--projector,T500K,reference,320,128,True,128,193.41471102950695,False,111,2.7937108231126238,3.1787858732960212,3,3,5
gf-mlp-cov1-factor1-s123-0035--projector,T500K,evaluation,192,128,True,128,199.27901928906084,False,115,2.8260142364697143,3.403351907384138,3,3,6
gf-mlp-cov1-factor1-s123-0035--projector,T500K,within_track,192,128,True,128,129.36216558765045,False,114,2.8278159952167035,3.451365511835828,3,4,6
gf-mlp-cov1-factor1-s123-0035--projector,T510K,dataset,576,128,True,128,144.8369102665684,False,114,2.9822033158756414,3.454773454484421,3,3,6
gf-mlp-cov1-factor1-s123-0035--projector,T510K,reference,320,128,True,128,145.55788180092793,False,111,2.8509127996208248,3.3179135775258373,3,3,6
gf-mlp-cov1-factor1-s123-0035--projector,T510K,evaluation,192,128,True,128,146.83828440489603,False,111,3.090207376760173,3.605498416555538,3,4,6
gf-mlp-cov1-factor1-s123-0035--projector,T510K,within_track,192,128,True,128,104.27286908456378,False,111,3.1797189632860086,3.6698444187161976,3,4,6
gf-mlp-cov1-factor1-s123-0035--projector,T520K,dataset,576,128,True,128,146.4796688271869,False,116,2.9097693629439547,3.4455446204187234,3,3,6
gf-mlp-cov1-factor1-s123-0035--projector,T520K,reference,320,128,True,128,172.6162109828231,False,115,3.1186549447488097,3.5624312772939275,3,3,6
gf-mlp-cov1-factor1-s123-0035--projector,T520K,evaluation,192,128,True,128,127.64918165166307,False,113,1.8818058706066492,2.5519696444097195,3,3,6
gf-mlp-cov1-factor1-s123-0035--projector,T520K,within_track,192,128,True,128,85.53374371025727,False,112,1.9437161246538421,2.6260047820527888,3,3,6
gf-mlp-cov1-factor1-s456-0035--encoder,all,dataset,2880,128,True,128,20.09400503709596,False,128,2.7581448069485157,3.8175770585521187,3,4,20
gf-mlp-cov1-factor1-s456-0035--encoder,all,reference,1600,128,True,128,21.690337449863332,False,128,2.799270188869433,3.7845737132819712,3,4,18
gf-mlp-cov1-factor1-s456-0035--encoder,all,evaluation,960,128,True,128,18.903217915423888,False,128,2.7949841517581366,3.9514184775277648,3,4,22
gf-mlp-cov1-factor1-s456-0035--encoder,all,within_track,960,128,True,128,12.035865197396223,False,128,2.7194641261455335,4.004906523900021,3,5,26
gf-mlp-cov1-factor1-s456-0035--encoder,noncrystalline,dataset,1830,128,True,128,3.2464020754933722,False,128,2.5529266860650854,5.759473430194053,7,18,77
gf-mlp-cov1-factor1-s456-0035--encoder,noncrystalline,reference,905,128,True,128,3.0335629839886527,False,128,2.0874701142161105,4.740084573785437,7,18,75
gf-mlp-cov1-factor1-s456-0035--encoder,noncrystalline,evaluation,686,128,True,128,3.6444405659697208,False,128,3.0364258174948473,5.988452249735362,6,14,67
gf-mlp-cov1-factor1-s456-0035--encoder,noncrystalline,within_track,686,128,True,128,1.9794010944291558,False,128,3.1057748685774773,6.36165273091635,7,17,67
gf-mlp-cov1-factor1-s456-0035--encoder,pre_onset_12ps,dataset,56,128,True,55,3.4882588687042477,False,55,2.058112084094577,4.126813811002668,6,10,29
gf-mlp-cov1-factor1-s456-0035--encoder,pre_onset_12ps,reference,30,128,True,29,3.3066004858136187,False,29,1.872350783249599,3.4732095305154957,5,9,19
gf-mlp-cov1-factor1-s456-0035--encoder,pre_onset_12ps,evaluation,18,128,True,17,3.0760960329270595,False,17,1.7935462045512178,2.901255742939056,3,6,12
gf-mlp-cov1-factor1-s456-0035--encoder,pre_onset_12ps,within_track,18,128,True,17,0.0,True,0,,,,,
gf-mlp-cov1-factor1-s456-0035--encoder,at_risk_no_onset_12ps,dataset,1645,128,True,128,2.12854398161468,False,128,3.3645281208468893,7.947693187156543,11,27,87
gf-mlp-cov1-factor1-s456-0035--encoder,at_risk_no_onset_12ps,reference,797,128,True,128,1.6249512638667436,False,128,3.187021189751828,8.105645529342269,13,33,89
gf-mlp-cov1-factor1-s456-0035--encoder,at_risk_no_onset_12ps,evaluation,625,128,True,128,2.864775340739784,False,128,3.2439994829458514,6.563334105994588,7,18,71
gf-mlp-cov1-factor1-s456-0035--encoder,at_risk_no_onset_12ps,within_track,625,128,True,128,1.4032952853859688,False,128,3.586998861902331,7.402053920132189,9,20,72
gf-mlp-cov1-factor1-s456-0035--encoder,T400K,dataset,576,128,True,128,5.158714042205519,False,128,2.6520259277132694,4.587411323884933,5,9,52
gf-mlp-cov1-factor1-s456-0035--encoder,T400K,reference,320,128,True,128,8.561524337191551,False,128,2.403240660354148,3.7405357841473874,3,6,32
gf-mlp-cov1-factor1-s456-0035--encoder,T400K,evaluation,192,128,True,128,0.6975368762054406,False,128,8.634960641131828,19.69382305976883,31,50,88
gf-mlp-cov1-factor1-s456-0035--encoder,T400K,within_track,192,128,True,128,0.49888986175028266,False,128,9.370171979527472,20.432264882194104,30,48,81
gf-mlp-cov1-factor1-s456-0035--encoder,T450K,dataset,576,128,True,128,20.898098213195055,False,128,2.744708954177861,3.7488940647672226,3,4,19
gf-mlp-cov1-factor1-s456-0035--encoder,T450K,reference,320,128,True,128,21.881804752046374,False,128,2.74648764440396,3.6718732555180082,3,4,16
gf-mlp-cov1-factor1-s456-0035--encoder,T450K,evaluation,192,128,True,128,18.80508060992707,False,128,2.796924596488539,3.900151135370033,3,4,18
gf-mlp-cov1-factor1-s456-0035--encoder,T450K,within_track,192,128,True,128,12.855355017440042,False,128,2.4196804041180666,3.6215306544098556,3,4,19
gf-mlp-cov1-factor1-s456-0035--encoder,T500K,dataset,576,128,True,128,24.532718821718912,False,128,3.0239711192105307,4.073190610730968,3,4,17
gf-mlp-cov1-factor1-s456-0035--encoder,T500K,reference,320,128,True,128,24.384926681803172,False,128,3.005300215698896,3.9462766321546066,3,4,15
gf-mlp-cov1-factor1-s456-0035--encoder,T500K,evaluation,192,128,True,128,25.926294027096105,False,128,3.0663070343061958,4.234019477013272,4,5,16
gf-mlp-cov1-factor1-s456-0035--encoder,T500K,within_track,192,128,True,128,17.87334335928076,False,128,2.839371678325462,4.081010803428296,4,5,16
gf-mlp-cov1-factor1-s456-0035--encoder,T510K,dataset,576,128,True,128,20.984988167586128,False,128,2.7239805074081307,3.735679210765574,3,4,18
gf-mlp-cov1-factor1-s456-0035--encoder,T510K,reference,320,128,True,128,22.64102659987509,False,128,2.762623411551792,3.660380327020839,3,4,15
gf-mlp-cov1-factor1-s456-0035--encoder,T510K,evaluation,192,128,True,128,19.143368747410996,False,128,2.6164114983726097,3.6584674431836017,3,4,18
gf-mlp-cov1-factor1-s456-0035--encoder,T510K,within_track,192,128,True,128,13.93367715975457,False,128,2.340589253031212,3.391778863901016,3,4,17
gf-mlp-cov1-factor1-s456-0035--encoder,T520K,dataset,576,128,True,128,21.50851967851875,False,128,2.7951498623708884,3.7747143972724393,3,4,17
gf-mlp-cov1-factor1-s456-0035--encoder,T520K,reference,320,128,True,128,22.60648235556475,False,128,3.0129416203376156,3.9914619297277794,3,4,16
gf-mlp-cov1-factor1-s456-0035--encoder,T520K,evaluation,192,128,True,128,22.463133652526764,False,128,2.142726839894417,3.0710232626162575,3,4,14
gf-mlp-cov1-factor1-s456-0035--encoder,T520K,within_track,192,128,True,128,15.01806058875541,False,128,2.204593394538064,3.1578944815028023,3,4,16
gf-mlp-cov1-factor1-s456-0035--projector,all,dataset,2880,128,True,128,163.04843597521312,False,124,4.239159799819179,4.705748759118047,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,all,reference,1600,128,True,128,182.15586237223897,False,124,4.122754690927952,4.560879230920345,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,all,evaluation,960,128,True,128,153.74408516202863,False,124,4.317696170677854,4.884517812381761,4,5,7
gf-mlp-cov1-factor1-s456-0035--projector,all,within_track,960,128,True,128,96.94516663105041,False,124,4.401811036494963,4.992389290815661,4,5,7
gf-mlp-cov1-factor1-s456-0035--projector,noncrystalline,dataset,1830,128,True,128,53.699721457421354,False,121,1.3270207169088049,1.8600021910324678,2,4,6
gf-mlp-cov1-factor1-s456-0035--projector,noncrystalline,reference,905,128,True,128,61.44248942440561,False,116,1.18505275430121,1.5083788385755588,1,2,5
gf-mlp-cov1-factor1-s456-0035--projector,noncrystalline,evaluation,686,128,True,128,43.635934457176155,False,117,1.6201317571726226,2.4070922612571644,3,4,6
gf-mlp-cov1-factor1-s456-0035--projector,noncrystalline,within_track,686,128,True,128,25.16675568411671,False,117,1.5540697694678636,2.306758631572443,3,4,6
gf-mlp-cov1-factor1-s456-0035--projector,pre_onset_12ps,dataset,56,128,True,55,97.56978676927278,False,55,1.1058704842467326,1.3034992743124125,1,1,4
gf-mlp-cov1-factor1-s456-0035--projector,pre_onset_12ps,reference,30,128,True,29,101.22414202195442,False,29,1.0792174012088087,1.228977698696893,1,1,3
gf-mlp-cov1-factor1-s456-0035--projector,pre_onset_12ps,evaluation,18,128,True,17,94.96566137557845,False,17,1.13156048995458,1.3193856471068244,1,2,3
gf-mlp-cov1-factor1-s456-0035--projector,pre_onset_12ps,within_track,18,128,True,17,0.0,True,0,,,,,
gf-mlp-cov1-factor1-s456-0035--projector,at_risk_no_onset_12ps,dataset,1645,128,True,128,23.054010557264668,False,118,1.681973901186837,2.4998052484896913,3,4,6
gf-mlp-cov1-factor1-s456-0035--projector,at_risk_no_onset_12ps,reference,797,128,True,128,23.56964323155496,False,112,1.285560595569431,1.6782542815894494,2,3,4
gf-mlp-cov1-factor1-s456-0035--projector,at_risk_no_onset_12ps,evaluation,625,128,True,128,22.63833637068177,False,109,2.2278430973816703,3.1845223298603975,3,4,6
gf-mlp-cov1-factor1-s456-0035--projector,at_risk_no_onset_12ps,within_track,625,128,True,128,12.615857292750698,False,109,1.9611135765120769,2.892071646393042,3,4,6
gf-mlp-cov1-factor1-s456-0035--projector,T400K,dataset,576,128,True,128,32.59892580916351,False,111,3.51362033438048,4.273857013510315,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,T400K,reference,320,128,True,128,55.48035343582165,False,104,3.3481869811620935,4.018428214466661,4,4,5
gf-mlp-cov1-factor1-s456-0035--projector,T400K,evaluation,192,128,True,128,3.8068139259730227,False,74,1.7778520479782092,2.156502563400278,2,2,5
gf-mlp-cov1-factor1-s456-0035--projector,T400K,within_track,192,128,True,128,2.4203623450347203,False,74,1.9216759949132944,2.297716198406065,2,2,6
gf-mlp-cov1-factor1-s456-0035--projector,T450K,dataset,576,128,True,128,174.2190241299612,False,123,3.9532998107807744,4.340782707050202,4,4,5
gf-mlp-cov1-factor1-s456-0035--projector,T450K,reference,320,128,True,128,178.3181321546413,False,123,3.961729037337653,4.363772487657112,4,4,5
gf-mlp-cov1-factor1-s456-0035--projector,T450K,evaluation,192,128,True,128,179.90562755491754,False,118,3.3757860845755374,3.9351127236353944,4,4,5
gf-mlp-cov1-factor1-s456-0035--projector,T450K,within_track,192,128,True,128,110.2686371882201,False,118,3.5997835597739263,4.082492357531052,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,T500K,dataset,576,128,True,128,235.26306148082222,False,124,4.215221650064421,4.749215409770423,4,5,6
gf-mlp-cov1-factor1-s456-0035--projector,T500K,reference,320,128,True,128,237.97463821518932,False,123,3.850815236108391,4.343887199891838,4,4,5
gf-mlp-cov1-factor1-s456-0035--projector,T500K,evaluation,192,128,True,128,259.0768219314512,False,121,4.44957051202751,5.0058803111736525,5,5,6
gf-mlp-cov1-factor1-s456-0035--projector,T500K,within_track,192,128,True,128,176.27827456523698,False,119,4.3736679420745945,4.966957830433355,5,5,6
gf-mlp-cov1-factor1-s456-0035--projector,T510K,dataset,576,128,True,128,164.35608388327694,False,124,4.314482801937404,4.7660686186030174,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,T510K,reference,320,128,True,128,183.8041411906995,False,122,4.253600258282426,4.719005683418962,4,5,6
gf-mlp-cov1-factor1-s456-0035--projector,T510K,evaluation,192,128,True,128,143.35917071720596,False,119,3.9656637343149184,4.486714356799081,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,T510K,within_track,192,128,True,128,97.02250162210407,False,118,3.796982239195931,4.376306808655952,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,T520K,dataset,576,128,True,128,180.89978453511543,False,123,3.8211440373930086,4.290155723948628,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,T520K,reference,320,128,True,128,222.7099051206795,False,121,3.5883986409638333,4.150356508365901,4,4,5
gf-mlp-cov1-factor1-s456-0035--projector,T520K,evaluation,192,128,True,128,150.7130816762293,False,107,2.9313814357047754,3.595309709690498,4,4,6
gf-mlp-cov1-factor1-s456-0035--projector,T520K,within_track,192,128,True,128,98.7360574346561,False,107,3.082549532392473,3.718696776370128,4,4,6
gf-visreg-mlp-factor1-s123-0035--encoder,all,dataset,2880,128,True,128,15.347393613185323,False,128,1.617030645995715,2.5744528379936162,2,4,24
gf-visreg-mlp-factor1-s123-0035--encoder,all,reference,1600,128,True,128,16.19139965224207,False,128,1.6243593573480788,2.5469720709849706,2,4,23
gf-visreg-mlp-factor1-s123-0035--encoder,all,evaluation,960,128,True,128,13.536793594924868,False,128,1.6706655284172558,2.7332374738376704,3,5,28
gf-visreg-mlp-factor1-s123-0035--encoder,all,within_track,960,128,True,128,8.951833730423807,False,128,1.6257207745858202,2.7112120368370096,3,5,31
gf-visreg-mlp-factor1-s123-0035--encoder,noncrystalline,dataset,1830,128,True,128,4.3254495478151,False,128,2.112402245138533,4.775942852117788,7,15,69
gf-visreg-mlp-factor1-s123-0035--encoder,noncrystalline,reference,905,128,True,128,4.393421380824953,False,128,2.0458819582205443,4.570072958583719,7,15,65
gf-visreg-mlp-factor1-s123-0035--encoder,noncrystalline,evaluation,686,128,True,128,4.277999109828438,False,128,2.1735067487867754,4.888740704207899,7,15,65
gf-visreg-mlp-factor1-s123-0035--encoder,noncrystalline,within_track,686,128,True,128,2.296345365786328,False,128,2.2937599082848994,5.343311427386086,8,17,66
gf-visreg-mlp-factor1-s123-0035--encoder,pre_onset_12ps,dataset,56,128,True,55,4.436619132359467,False,55,2.0944139675579967,4.254409711204451,6,11,27
gf-visreg-mlp-factor1-s123-0035--encoder,pre_onset_12ps,reference,30,128,True,29,4.37463472233354,False,29,2.050923078354954,3.86227591090247,5,9,18
gf-visreg-mlp-factor1-s123-0035--encoder,pre_onset_12ps,evaluation,18,128,True,17,3.857179248918659,False,17,2.0640934622243092,3.535585817796589,4,7,12
gf-visreg-mlp-factor1-s123-0035--encoder,pre_onset_12ps,within_track,18,128,True,17,0.0,True,0,,,,,
gf-visreg-mlp-factor1-s123-0035--encoder,at_risk_no_onset_12ps,dataset,1645,128,True,128,2.889630242963869,False,128,2.960776213139387,7.21826393548405,10,23,81
gf-visreg-mlp-factor1-s123-0035--encoder,at_risk_no_onset_12ps,reference,797,128,True,128,2.531902325554789,False,128,3.362038875093465,8.215903062521503,11,25,80
gf-visreg-mlp-factor1-s123-0035--encoder,at_risk_no_onset_12ps,evaluation,625,128,True,128,3.4246534052226214,False,128,2.5411713826485345,5.968858278853642,9,18,70
gf-visreg-mlp-factor1-s123-0035--encoder,at_risk_no_onset_12ps,within_track,625,128,True,128,1.6819732768049127,False,128,2.788746707739862,6.70439682039456,10,21,70
gf-visreg-mlp-factor1-s123-0035--encoder,T400K,dataset,576,128,True,128,3.8960046255302845,False,128,2.5492306107168377,5.693736959226475,8,15,66
gf-visreg-mlp-factor1-s123-0035--encoder,T400K,reference,320,128,True,128,5.8257663919479805,False,128,2.068725915125514,4.142433281038319,5,10,48
gf-visreg-mlp-factor1-s123-0035--encoder,T400K,evaluation,192,128,True,128,1.2774273996010743,False,128,7.350722443846005,15.702867158871154,21,38,80
gf-visreg-mlp-factor1-s123-0035--encoder,T400K,within_track,192,128,True,128,0.8544287835632902,False,128,8.779262172267199,17.535831852208133,22,38,74
gf-visreg-mlp-factor1-s123-0035--encoder,T450K,dataset,576,128,True,128,16.54807149045711,False,128,1.6156417255996456,2.5140981014531407,2,4,21
gf-visreg-mlp-factor1-s123-0035--encoder,T450K,reference,320,128,True,128,16.69189914019017,False,128,1.664356859976694,2.559151212230371,2,4,20
gf-visreg-mlp-factor1-s123-0035--encoder,T450K,evaluation,192,128,True,128,14.572772312275744,False,128,1.6425194475330613,2.6296931699214285,2,5,22
gf-visreg-mlp-factor1-s123-0035--encoder,T450K,within_track,192,128,True,128,11.655919829258112,False,128,1.520024331626377,2.389037235553939,2,4,20
gf-visreg-mlp-factor1-s123-0035--encoder,T500K,dataset,576,128,True,128,16.11989505049879,False,128,1.7515214537336203,2.706822281948789,2,4,22
gf-visreg-mlp-factor1-s123-0035--encoder,T500K,reference,320,128,True,128,15.82247628350312,False,128,1.7518640796138087,2.6863405138073517,2,4,21
gf-visreg-mlp-factor1-s123-0035--encoder,T500K,evaluation,192,128,True,128,15.201792318201594,False,128,1.8164429212381275,2.833254350477575,3,4,22
gf-visreg-mlp-factor1-s123-0035--encoder,T500K,within_track,192,128,True,128,10.62874860656131,False,128,1.6264685936874455,2.5971435039009494,3,4,22
gf-visreg-mlp-factor1-s123-0035--encoder,T510K,dataset,576,128,True,128,16.67625518560028,False,128,1.6152354975875622,2.5095254579807023,2,4,21
gf-visreg-mlp-factor1-s123-0035--encoder,T510K,reference,320,128,True,128,16.488718702813657,False,128,1.590151502172989,2.4519902244367193,2,4,20
gf-visreg-mlp-factor1-s123-0035--encoder,T510K,evaluation,192,128,True,128,16.554281516569983,False,128,1.6370539186109816,2.5300151317757322,2,4,19
gf-visreg-mlp-factor1-s123-0035--encoder,T510K,within_track,192,128,True,128,13.066161342368535,False,128,1.501132296203242,2.2741534649055017,2,4,18
gf-visreg-mlp-factor1-s123-0035--encoder,T520K,dataset,576,128,True,128,14.236860171451475,False,128,1.666270398199931,2.696062089241229,3,5,26
gf-visreg-mlp-factor1-s123-0035--encoder,T520K,reference,320,128,True,128,15.490752072430851,False,128,1.737603499709208,2.7410798407463908,3,4,22
gf-visreg-mlp-factor1-s123-0035--encoder,T520K,evaluation,192,128,True,128,11.401763792601928,False,128,1.7220326671131843,2.852415167943316,3,6,27
