variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
C,linear,low_order,encoder,future/9ps/block_mean,1,0.42007067538432635,0.3487935646870813,0.4919197448693654,17
C,linear,low_order,encoder,present/block_mean,1,0.3673088438808918,0.31201734727285074,0.42338512947088947,17
C,linear,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,1.0014761560793382,0.9582995655843876,1.0417079276638153,16
C,linear,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5904933498405359,0.8501805501223048,17
C,linear,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5698170553363276,0.7996660751674105,17
C,linear,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5966110229460229,0.8416628696882693,17
C,nonlinear,all,encoder,future/0.75ps/block_mean,1,0.4112436309663786,0.36912707102691966,0.45344828965556294,30
C,nonlinear,all,encoder,future/3ps/block_mean,1,0.4472281210952335,0.4024485217981662,0.4924836128380977,30
C,nonlinear,all,encoder,future/9ps/block_mean,1,0.4424169788344038,0.3952798502783601,0.49377331530727026,30
C,nonlinear,all,encoder,present/block_mean,1,0.3489039447365536,0.30999324193327793,0.3888221100898874,30
C,nonlinear,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8365794156860709,0.7529933756904856,0.9156987693243186,30
C,nonlinear,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.5776620815583091,0.7381737563363274,30
C,nonlinear,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6274560632153103,0.7602347578281641,30
C,nonlinear,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6397369619314042,0.8163427442229455,30
C,nonlinear,low_order,encoder,future/0.75ps/block_mean,1,0.4572995568753458,0.3757565495119814,0.5412963939629788,17
C,nonlinear,low_order,encoder,future/3ps/block_mean,1,0.4347444208448423,0.3785761048542518,0.4914973468483225,17
C,nonlinear,low_order,encoder,future/9ps/block_mean,1,0.39865944085314,0.33004600621449454,0.4621992304145048,17
C,nonlinear,low_order,encoder,present/block_mean,1,0.3715149278880334,0.31651880460809556,0.42847099370670083,17
C,nonlinear,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,1.0014761560793382,0.9627656156770228,1.0431851223502935,16
