task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms
structure,linear,radial,1000,510.0,0.05,w4,2,0.04525319479941514,0.18940047086597553
structure,linear,radial,1000,510.0,0.05,w6,2,0.03705377906195883,0.1854566227772121
structure,linear,radial,1000,510.0,0.05,qbar6,2,0.055613107163910366,0.05976879124222398
structure,linear,radial,1000,510.0,0.05,q6_coherence,2,0.039925252902661836,0.02829881516315293
structure,linear,radial,1000,510.0,0.05,bond_order,2,0.037870299731848245,0.15524484421344417
structure,linear,radial,1000,510.0,0.05,angular_arrangement,2,0.20179530649957717,0.4681339093935752
structure,linear,radial,1001,510.0,0.05,q4,27,0.32039518255888144,0.5806120321533584
structure,linear,radial,1001,510.0,0.05,q6,27,0.03509980740541421,0.15791416154800664
structure,linear,radial,1001,510.0,0.05,w4,27,0.4118012190673766,0.632134740607913
structure,linear,radial,1001,510.0,0.05,w6,27,0.01698507171246031,0.1417871957623332
structure,linear,radial,1001,510.0,0.05,qbar6,27,0.03356592671836229,0.09907650604183864
structure,linear,radial,1001,510.0,0.05,q6_coherence,27,0.02833720872654208,0.06835355034916336
structure,linear,radial,1001,510.0,0.05,bond_order,27,0.14103073603150615,0.3642877789511647
structure,linear,radial,1001,510.0,0.05,angular_arrangement,27,0.2816745427188792,0.5148658056162762
structure,linear,radial,1009,520.0,0.05,q4,14,0.07982768962921709,0.2113813404481155
structure,linear,radial,1009,520.0,0.05,q6,14,0.034488376932711354,0.1575887899811701
structure,linear,radial,1009,520.0,0.05,w4,14,0.06062957956058317,0.21643950211051974
structure,linear,radial,1009,520.0,0.05,w6,14,0.012485864713726275,0.09891221474462229
structure,linear,radial,1009,520.0,0.05,qbar6,14,0.021432899722742548,0.08945530424463699
structure,linear,radial,1009,520.0,0.05,q6_coherence,14,0.014284926662130108,0.05055296745715174
structure,linear,radial,1009,520.0,0.05,bond_order,14,0.03719155620351842,0.15094360762280937
structure,linear,radial,1009,520.0,0.05,angular_arrangement,14,0.19802349485266654,0.45369065818224485
structure,linear,radial,911,400.0,0.1,q4,13431,1.0558788037056837,1.0266270699159583
structure,linear,radial,911,400.0,0.1,q6,13431,0.20740337257276892,0.4510847212905268
structure,linear,radial,911,400.0,0.1,w4,13431,1.4082424805841776,1.1788873541785532
structure,linear,radial,911,400.0,0.1,w6,13431,0.8810611249243998,0.9414256790661032
structure,linear,radial,911,400.0,0.1,qbar6,13431,0.08533024480852862,0.2363553336651145
structure,linear,radial,911,400.0,0.1,q6_coherence,13431,0.11213523765555834,0.2796867605913576
structure,linear,radial,911,400.0,0.1,bond_order,13431,0.6250085440418528,0.7818340400744901
structure,linear,radial,911,400.0,0.1,angular_arrangement,13431,0.540593289033387,0.8252979712638587
structure,linear,radial,913,400.0,0.1,q4,11219,0.7258084106835909,0.8448989307302719
structure,linear,radial,913,400.0,0.1,q6,11219,0.22981231663121315,0.46883306725310797
structure,linear,radial,913,400.0,0.1,w4,11219,0.537756898361079,0.7145189952348846
structure,linear,radial,913,400.0,0.1,w6,11219,1.0702054666340044,1.0293600635205897
structure,linear,radial,913,400.0,0.1,qbar6,11219,0.07007819500604186,0.20303463450821171
structure,linear,radial,913,400.0,0.1,q6_coherence,11219,0.12340317079182068,0.30413820210350695
structure,linear,radial,913,400.0,0.1,bond_order,11219,0.45951074301795836,0.6630109717305254
structure,linear,radial,913,400.0,0.1,angular_arrangement,11219,0.4304166953112107,0.7542531642816
structure,linear,radial,938,450.0,0.1,q4,10713,1.900237642272254,1.3471635105358934
structure,linear,radial,938,450.0,0.1,q6,10713,0.3242397935014971,0.5533101707913456
structure,linear,radial,938,450.0,0.1,w4,10713,2.647973579069679,1.6320479698268333
structure,linear,radial,938,450.0,0.1,w6,10713,0.5108283482355334,0.7083241471819619
structure,linear,radial,938,450.0,0.1,qbar6,10713,0.17012239984357047,0.344674321476995
structure,linear,radial,938,450.0,0.1,q6_coherence,10713,0.13362132997513407,0.30677619376100695
structure,linear,radial,938,450.0,0.1,bond_order,10713,0.9478371821496111,0.9573589855658117
structure,linear,radial,938,450.0,0.1,angular_arrangement,10713,0.8039846628913925,0.9872689185839557
structure,linear,radial,942,450.0,0.1,q4,18952,0.40794606551266427,0.6211528106411476
structure,linear,radial,942,450.0,0.1,q6,18952,0.0950330578176452,0.2989398844217068
structure,linear,radial,942,450.0,0.1,w4,18952,0.48246975683801563,0.6820119560558205
structure,linear,radial,942,450.0,0.1,w6,18952,0.25238875263578797,0.4933391599659156
structure,linear,radial,942,450.0,0.1,qbar6,18952,0.05410614262084061,0.15644052039069942
structure,linear,radial,942,450.0,0.1,q6_coherence,18952,0.056793715705700576,0.16765122627601994
structure,linear,radial,942,450.0,0.1,bond_order,18952,0.22478958185510908,0.45392735720531113
structure,linear,radial,942,450.0,0.1,angular_arrangement,18952,0.3092270658138744,0.6903348653220536
structure,linear,radial,970,500.0,0.1,q4,20747,0.27434800690928446,0.4714557417719975
structure,linear,radial,970,500.0,0.1,q6,20747,0.07308779873298042,0.2592551341450374
structure,linear,radial,970,500.0,0.1,w4,20747,0.29858989016136245,0.5211441605080807
structure,linear,radial,970,500.0,0.1,w6,20747,0.20642988164200485,0.44411739938881173
structure,linear,radial,970,500.0,0.1,qbar6,20747,0.044589998080262684,0.11966572327426174
structure,linear,radial,970,500.0,0.1,q6_coherence,20747,0.04336875454183349,0.13732672809140983
structure,linear,radial,970,500.0,0.1,bond_order,20747,0.15673572167795474,0.36320190828173043
structure,linear,radial,970,500.0,0.1,angular_arrangement,20747,0.31713979877816834,0.6968514217406444
structure,linear,radial,971,500.0,0.1,q4,10619,0.8289014250241566,0.9008294576495057
structure,linear,radial,971,500.0,0.1,q6,10619,0.18135674474600638,0.4132977630305768
structure,linear,radial,971,500.0,0.1,w4,10619,0.8637955937677487,0.9274178498987655
structure,linear,radial,971,500.0,0.1,w6,10619,0.5397921598798111,0.72640308493721
structure,linear,radial,971,500.0,0.1,qbar6,10619,0.09731678059026082,0.2603825747723752
structure,linear,radial,971,500.0,0.1,q6_coherence,10619,0.1031145580266922,0.2694443008106143
structure,linear,radial,971,500.0,0.1,bond_order,10619,0.4357128770057794,0.646847918666196
structure,linear,radial,971,500.0,0.1,angular_arrangement,10619,0.520437972177485,0.8297429856149184
structure,linear,radial,1000,510.0,0.1,q4,7473,1.867018800639437,1.3694532009823093
structure,linear,radial,1000,510.0,0.1,q6,7473,0.348321861757728,0.5814350908456233
structure,linear,radial,1000,510.0,0.1,w4,7473,2.22696967158044,1.485107729828026
structure,linear,radial,1000,510.0,0.1,w6,7473,1.3374018486073447,1.1487602659941378
structure,linear,radial,1000,510.0,0.1,qbar6,7473,0.14056412087567627,0.2878109178255946
structure,linear,radial,1000,510.0,0.1,q6_coherence,7473,0.17574307909714554,0.3405745462688651
structure,linear,radial,1000,510.0,0.1,bond_order,7473,1.0160032304262951,0.9947772027322734
structure,linear,radial,1000,510.0,0.1,angular_arrangement,7473,0.9242722816258487,1.0270293560948809
structure,linear,radial,1001,510.0,0.1,q4,11038,0.8126538536043381,0.8978323454131423
structure,linear,radial,1001,510.0,0.1,q6,11038,0.1804574985178948,0.4285204217098126
structure,linear,radial,1001,510.0,0.1,w4,11038,0.9588369573820733,0.969194001961416
structure,linear,radial,1001,510.0,0.1,w6,11038,0.48695669802966157,0.6915470759393563
structure,linear,radial,1001,510.0,0.1,qbar6,11038,0.09663052986180155,0.29217495095791196
structure,linear,radial,1001,510.0,0.1,q6_coherence,11038,0.11484334846632924,0.311294475741892
structure,linear,radial,1001,510.0,0.1,bond_order,11038,0.4417298143103498,0.6569598537411243
structure,linear,radial,1001,510.0,0.1,angular_arrangement,11038,0.47157841115074944,0.8038537170449556
structure,linear,radial,881,520.0,0.1,q4,7220,2.1880478807302732,1.456085097712625
structure,linear,radial,881,520.0,0.1,q6,7220,0.31583512337586517,0.5538194099410891
structure,linear,radial,881,520.0,0.1,w4,7220,2.453461939086245,1.543980384081562
structure,linear,radial,881,520.0,0.1,w6,7220,1.434580546261267,1.199140873534706
structure,linear,radial,881,520.0,0.1,qbar6,7220,0.1197763126204444,0.29781480209504785
structure,linear,radial,881,520.0,0.1,q6_coherence,7220,0.169665151591436,0.3589105380939715
structure,linear,radial,881,520.0,0.1,bond_order,7220,1.1135611589442553,1.0381252687995095
structure,linear,radial,881,520.0,0.1,angular_arrangement,7220,0.904636745148473,1.0028674037362708
structure,linear,radial,1009,520.0,0.1,q4,13594,1.3870375421856829,1.1698018970890318
structure,linear,radial,1009,520.0,0.1,q6,13594,0.19614353824371275,0.4344309270350266
structure,linear,radial,1009,520.0,0.1,w4,13594,2.037732497069988,1.4351748440500554
structure,linear,radial,1009,520.0,0.1,w6,13594,0.3028630098761689,0.5394766852500842
structure,linear,radial,1009,520.0,0.1,qbar6,13594,0.09352963960704848,0.26619902782914234
structure,linear,radial,1009,520.0,0.1,q6_coherence,13594,0.08196853568595876,0.2222729122037974
structure,linear,radial,1009,520.0,0.1,bond_order,13594,0.6832124604447599,0.819369249853901
structure,linear,radial,1009,520.0,0.1,angular_arrangement,13594,0.6794860330055978,0.9070728693780314
structure,linear,radial_control,911,400.0,0.05,q4,91,0.6260203402666666,0.7864290239137353
structure,linear,radial_control,911,400.0,0.05,q6,91,0.08111208561021227,0.28107120380936584
structure,linear,radial_control,911,400.0,0.05,w4,91,0.9851235285689548,1.0039194051485754
structure,linear,radial_control,911,400.0,0.05,w6,91,0.0100164073520249,0.09833909551856254
structure,linear,radial_control,911,400.0,0.05,qbar6,91,0.04858808046828882,0.1637500602188683
structure,linear,radial_control,911,400.0,0.05,q6_coherence,91,0.03169292999871203,0.08737102635964063
structure,linear,radial_control,911,400.0,0.05,bond_order,91,0.29709222871080987,0.5399759500006852
structure,linear,radial_control,911,400.0,0.05,angular_arrangement,91,0.34346155336090045,0.613096792440957
structure,linear,radial_control,913,400.0,0.05,q4,158,0.04002305471759128,0.16580978263499452
structure,linear,radial_control,913,400.0,0.05,q6,158,0.015688308389894528,0.11235314043889053
structure,linear,radial_control,913,400.0,0.05,w4,158,0.05818150466784952,0.21209998368458238
structure,linear,radial_control,913,400.0,0.05,w6,158,0.014777538138062447,0.07868418925212133
structure,linear,radial_control,913,400.0,0.05,qbar6,158,0.025977110319495456,0.040421867971188956
structure,linear,radial_control,913,400.0,0.05,q6_coherence,158,0.021809310356027272,0.024684560340675978
structure,linear,radial_control,913,400.0,0.05,bond_order,158,0.029409471098153415,0.12485790045134083
structure,linear,radial_control,913,400.0,0.05,angular_arrangement,158,0.1065610870066144,0.37381207866282845
structure,linear,radial_control,938,450.0,0.05,q4,13,1.588785037287791,1.2555246469716765
structure,linear,radial_control,938,450.0,0.05,q6,13,0.23838385853463173,0.5500440943831092
structure,linear,radial_control,938,450.0,0.05,w4,13,2.343226014409391,1.547580763054549
structure,linear,radial_control,938,450.0,0.05,w6,13,0.050016103257550674,0.2132062701016716
structure,linear,radial_control,938,450.0,0.05,qbar6,13,0.09173378296377974,0.35945473949190987
structure,linear,radial_control,938,450.0,0.05,q6_coherence,13,0.038289329819391746,0.2256067345542457
structure,linear,radial_control,938,450.0,0.05,bond_order,13,0.725072354378756,0.8659734296468224
structure,linear,radial_control,938,450.0,0.05,angular_arrangement,13,1.0514754733742002,1.0600659779537185
structure,linear,radial_control,942,450.0,0.05,q4,206,0.0609075482457979,0.18808513950432873
structure,linear,radial_control,942,450.0,0.05,q6,206,0.02390044153435392,0.11409508279772727
structure,linear,radial_control,942,450.0,0.05,w4,206,0.0879672463246836,0.2723829738548929
structure,linear,radial_control,942,450.0,0.05,w6,206,0.011165183079236127,0.09270735987560787
structure,linear,radial_control,942,450.0,0.05,qbar6,206,0.026129118875234298,0.04026644987015386
structure,linear,radial_control,942,450.0,0.05,q6_coherence,206,0.022775376224660103,0.0203954079111501
structure,linear,radial_control,942,450.0,0.05,bond_order,206,0.03880748571399432,0.1490068266283638
structure,linear,radial_control,942,450.0,0.05,angular_arrangement,206,0.12939830787778578,0.3904597233780116
structure,linear,radial_control,970,500.0,0.05,q4,82,0.16534153869906346,0.4122969130415288
structure,linear,radial_control,970,500.0,0.05,q6,82,0.030545154895604863,0.15570356584334472
structure,linear,radial_control,970,500.0,0.05,w4,82,0.1368093502596246,0.3966564763436262
structure,linear,radial_control,970,500.0,0.05,w6,82,0.013310818960711788,0.10562520457987064
structure,linear,radial_control,970,500.0,0.05,qbar6,82,0.02340575069774372,0.07958244387716755
structure,linear,radial_control,970,500.0,0.05,q6_coherence,82,0.01559727015774981,0.04325246021223588
structure,linear,radial_control,970,500.0,0.05,bond_order,82,0.06416831394508304,0.24863947449927762
structure,linear,radial_control,970,500.0,0.05,angular_arrangement,82,0.1744967624990868,0.4564394598621464
structure,linear,radial_control,971,500.0,0.05,q4,16,0.5347995900534236,0.6995239887906375
structure,linear,radial_control,971,500.0,0.05,q6,16,0.06463941798282857,0.19126547100619057
structure,linear,radial_control,971,500.0,0.05,w4,16,0.4946898997858554,0.7208948353117678
structure,linear,radial_control,971,500.0,0.05,w6,16,0.03416670111924843,0.1406353350802877
structure,linear,radial_control,971,500.0,0.05,qbar6,16,0.04427172719212061,0.13026485036415222
structure,linear,radial_control,971,500.0,0.05,q6_coherence,16,0.03180256944700732,0.08282895095921848
structure,linear,radial_control,971,500.0,0.05,bond_order,16,0.20072831759674734,0.4260699314084698
structure,linear,radial_control,971,500.0,0.05,angular_arrangement,16,0.22320316180461763,0.4772211851500516
structure,linear,radial_control,1000,510.0,0.05,q4,2,0.035386673011744064,0.18959328285465324
structure,linear,radial_control,1000,510.0,0.05,q6,2,0.02563945948535449,0.18444600397720076
structure,linear,radial_control,1000,510.0,0.05,w4,2,0.0700547792451691,0.18940047086597553
structure,linear,radial_control,1000,510.0,0.05,w6,2,0.03655445508525823,0.1854566227772121
structure,linear,radial_control,1000,510.0,0.05,qbar6,2,0.05614269808073457,0.05976879124222398
structure,linear,radial_control,1000,510.0,0.05,q6_coherence,2,0.03457146345485279,0.02829881516315293
structure,linear,radial_control,1000,510.0,0.05,bond_order,2,0.043058254727185545,0.15524484421344417
structure,linear,radial_control,1000,510.0,0.05,angular_arrangement,2,0.20074801786041002,0.4681339093935752
structure,linear,radial_control,1001,510.0,0.05,q4,27,0.32120363646229466,0.5806120321533584
structure,linear,radial_control,1001,510.0,0.05,q6,27,0.03398862883532401,0.15791416154800664
structure,linear,radial_control,1001,510.0,0.05,w4,27,0.41302141348304167,0.632134740607913
structure,linear,radial_control,1001,510.0,0.05,w6,27,0.017042433067192782,0.1417871957623332
structure,linear,radial_control,1001,510.0,0.05,qbar6,27,0.031330186236281976,0.09907650604183864
structure,linear,radial_control,1001,510.0,0.05,q6_coherence,27,0.02781923547079328,0.06835355034916336
structure,linear,radial_control,1001,510.0,0.05,bond_order,27,0.14073425559248806,0.3642877789511647
structure,linear,radial_control,1001,510.0,0.05,angular_arrangement,27,0.27862549123218217,0.5148658056162762
structure,linear,radial_control,1009,520.0,0.05,q4,14,0.071312701621681,0.2113813404481155
structure,linear,radial_control,1009,520.0,0.05,q6,14,0.03134820598430862,0.1575887899811701
structure,linear,radial_control,1009,520.0,0.05,w4,14,0.08488131954623825,0.21643950211051974
structure,linear,radial_control,1009,520.0,0.05,w6,14,0.010591106652785778,0.09891221474462229
structure,linear,radial_control,1009,520.0,0.05,qbar6,14,0.021983577662881112,0.08945530424463699
structure,linear,radial_control,1009,520.0,0.05,q6_coherence,14,0.013614083743484178,0.05055296745715174
structure,linear,radial_control,1009,520.0,0.05,bond_order,14,0.03895516586856316,0.15094360762280937
structure,linear,radial_control,1009,520.0,0.05,angular_arrangement,14,0.1974889630593985,0.45369065818224485
structure,linear,radial_control,911,400.0,0.1,q4,13431,1.056268066183644,1.0266270699159583
structure,linear,radial_control,911,400.0,0.1,q6,13431,0.20548962865848203,0.4510847212905268
structure,linear,radial_control,911,400.0,0.1,w4,13431,1.4099828159348997,1.1788873541785532
structure,linear,radial_control,911,400.0,0.1,w6,13431,0.8812987188293407,0.9414256790661032
structure,linear,radial_control,911,400.0,0.1,qbar6,13431,0.0851455491445862,0.2363553336651145
structure,linear,radial_control,911,400.0,0.1,q6_coherence,13431,0.11128407811842443,0.2796867605913576
structure,linear,radial_control,911,400.0,0.1,bond_order,13431,0.6249114761448962,0.7818340400744901
structure,linear,radial_control,911,400.0,0.1,angular_arrangement,13431,0.5371374776730302,0.8252979712638587
structure,linear,radial_control,913,400.0,0.1,q4,11219,0.7233657918419332,0.8448989307302719
structure,linear,radial_control,913,400.0,0.1,q6,11219,0.223981282115588,0.46883306725310797
structure,linear,radial_control,913,400.0,0.1,w4,11219,0.5383806070832344,0.7145189952348846
structure,linear,radial_control,913,400.0,0.1,w6,11219,1.06443920377596,1.0293600635205897
structure,linear,radial_control,913,400.0,0.1,qbar6,11219,0.07070964535188674,0.20303463450821171
structure,linear,radial_control,913,400.0,0.1,q6_coherence,11219,0.1194516385803228,0.30413820210350695
structure,linear,radial_control,913,400.0,0.1,bond_order,11219,0.4567213614581542,0.6630109717305254
structure,linear,radial_control,913,400.0,0.1,angular_arrangement,11219,0.4286199083503024,0.7542531642816
structure,linear,radial_control,938,450.0,0.1,q4,10713,1.9215477957251816,1.3471635105358934
structure,linear,radial_control,938,450.0,0.1,q6,10713,0.3120479446391265,0.5533101707913456
structure,linear,radial_control,938,450.0,0.1,w4,10713,2.6772141015881377,1.6320479698268333
structure,linear,radial_control,938,450.0,0.1,w6,10713,0.5097504274939921,0.7083241471819619
structure,linear,radial_control,938,450.0,0.1,qbar6,10713,0.1708928472165443,0.344674321476995
structure,linear,radial_control,938,450.0,0.1,q6_coherence,10713,0.1404892152183547,0.30677619376100695
structure,linear,radial_control,938,450.0,0.1,bond_order,10713,0.9553237219802229,0.9573589855658117
structure,linear,radial_control,938,450.0,0.1,angular_arrangement,10713,0.8014247507292787,0.9872689185839557
structure,linear,radial_control,942,450.0,0.1,q4,18952,0.41199267998352185,0.6211528106411476
structure,linear,radial_control,942,450.0,0.1,q6,18952,0.09157017858397423,0.2989398844217068
structure,linear,radial_control,942,450.0,0.1,w4,18952,0.4800296585752034,0.6820119560558205
structure,linear,radial_control,942,450.0,0.1,w6,18952,0.25099732443092754,0.4933391599659156
structure,linear,radial_control,942,450.0,0.1,qbar6,18952,0.054687466721561856,0.15644052039069942
structure,linear,radial_control,942,450.0,0.1,q6_coherence,18952,0.05873525492407156,0.16765122627601994
structure,linear,radial_control,942,450.0,0.1,bond_order,18952,0.2246687605365434,0.45392735720531113
structure,linear,radial_control,942,450.0,0.1,angular_arrangement,18952,0.3050731801979752,0.6903348653220536
structure,linear,radial_control,970,500.0,0.1,q4,20747,0.2809209251968085,0.4714557417719975
structure,linear,radial_control,970,500.0,0.1,q6,20747,0.07317035790823638,0.2592551341450374
structure,linear,radial_control,970,500.0,0.1,w4,20747,0.3057542326966052,0.5211441605080807
structure,linear,radial_control,970,500.0,0.1,w6,20747,0.20519316581586522,0.44411739938881173
structure,linear,radial_control,970,500.0,0.1,qbar6,20747,0.04533093238416091,0.11966572327426174
structure,linear,radial_control,970,500.0,0.1,q6_coherence,20747,0.04503705351459071,0.13732672809140983
structure,linear,radial_control,970,500.0,0.1,bond_order,20747,0.15923444458604444,0.36320190828173043
structure,linear,radial_control,970,500.0,0.1,angular_arrangement,20747,0.3167901564237648,0.6968514217406444
structure,linear,radial_control,971,500.0,0.1,q4,10619,0.8396415914511818,0.9008294576495057
structure,linear,radial_control,971,500.0,0.1,q6,10619,0.18349200114666575,0.4132977630305768
structure,linear,radial_control,971,500.0,0.1,w4,10619,0.8633061469263067,0.9274178498987655
structure,linear,radial_control,971,500.0,0.1,w6,10619,0.5370969472647436,0.72640308493721
structure,linear,radial_control,971,500.0,0.1,qbar6,10619,0.09833747139770806,0.2603825747723752
structure,linear,radial_control,971,500.0,0.1,q6_coherence,10619,0.09993889988573874,0.2694443008106143
structure,linear,radial_control,971,500.0,0.1,bond_order,10619,0.43696884301205746,0.646847918666196
structure,linear,radial_control,971,500.0,0.1,angular_arrangement,10619,0.5171927042344676,0.8297429856149184
structure,linear,radial_control,1000,510.0,0.1,q4,7473,1.859952202001516,1.3694532009823093
structure,linear,radial_control,1000,510.0,0.1,q6,7473,0.348972728210917,0.5814350908456233
structure,linear,radial_control,1000,510.0,0.1,w4,7473,2.2106256627002767,1.485107729828026
structure,linear,radial_control,1000,510.0,0.1,w6,7473,1.3350304318842352,1.1487602659941378
structure,linear,radial_control,1000,510.0,0.1,qbar6,7473,0.13940346201919757,0.2878109178255946
structure,linear,radial_control,1000,510.0,0.1,q6_coherence,7473,0.17095490795693158,0.3405745462688651
structure,linear,radial_control,1000,510.0,0.1,bond_order,7473,1.0108232324621789,0.9947772027322734
structure,linear,radial_control,1000,510.0,0.1,angular_arrangement,7473,0.9223341304218848,1.0270293560948809
structure,linear,radial_control,1001,510.0,0.1,q4,11038,0.8064168198076977,0.8978323454131423
structure,linear,radial_control,1001,510.0,0.1,q6,11038,0.17932187440622457,0.4285204217098126
structure,linear,radial_control,1001,510.0,0.1,w4,11038,0.9649142748611071,0.969194001961416
structure,linear,radial_control,1001,510.0,0.1,w6,11038,0.48563535222652665,0.6915470759393563
structure,linear,radial_control,1001,510.0,0.1,qbar6,11038,0.0954048771479388,0.29217495095791196
structure,linear,radial_control,1001,510.0,0.1,q6_coherence,11038,0.11413721436737842,0.311294475741892
structure,linear,radial_control,1001,510.0,0.1,bond_order,11038,0.4409717354694788,0.6569598537411243
structure,linear,radial_control,1001,510.0,0.1,angular_arrangement,11038,0.46865732200262306,0.8038537170449556
structure,linear,radial_control,881,520.0,0.1,q4,7220,2.173102978602087,1.456085097712625
structure,linear,radial_control,881,520.0,0.1,q6,7220,0.3137623827462076,0.5538194099410891
structure,linear,radial_control,881,520.0,0.1,w4,7220,2.449159135819082,1.543980384081562
structure,linear,radial_control,881,520.0,0.1,w6,7220,1.4331513936821145,1.199140873534706
structure,linear,radial_control,881,520.0,0.1,qbar6,7220,0.11755767540252403,0.29781480209504785
structure,linear,radial_control,881,520.0,0.1,q6_coherence,7220,0.16784155664899889,0.3589105380939715
structure,linear,radial_control,881,520.0,0.1,bond_order,7220,1.1090958538168356,1.0381252687995095
structure,linear,radial_control,881,520.0,0.1,angular_arrangement,7220,0.9031181587714604,1.0028674037362708
structure,linear,radial_control,1009,520.0,0.1,q4,13594,1.3771003969866673,1.1698018970890318
structure,linear,radial_control,1009,520.0,0.1,q6,13594,0.19261968193502813,0.4344309270350266
structure,linear,radial_control,1009,520.0,0.1,w4,13594,2.029139115320169,1.4351748440500554
structure,linear,radial_control,1009,520.0,0.1,w6,13594,0.3006860197024835,0.5394766852500842
structure,linear,radial_control,1009,520.0,0.1,qbar6,13594,0.09229659851682193,0.26619902782914234
structure,linear,radial_control,1009,520.0,0.1,q6_coherence,13594,0.07863629670092825,0.2222729122037974
structure,linear,radial_control,1009,520.0,0.1,bond_order,13594,0.6784130181936829,0.819369249853901
structure,linear,radial_control,1009,520.0,0.1,angular_arrangement,13594,0.6789039111643868,0.9070728693780314
structure,linear,plus_gatr,911,400.0,0.05,q4,91,0.6242002912209283,0.7864290239137353
structure,linear,plus_gatr,911,400.0,0.05,q6,91,0.08464185020942717,0.28107120380936584
structure,linear,plus_gatr,911,400.0,0.05,w4,91,0.9865433743248119,1.0039194051485754
