method,source,temperature_K,jump2_mean,jump_p95,raw_increment_mse,standardized_jump2,acceleration2,roughness,reversal_fraction,increment_cosine,zero_increment_fraction
old_mace,970,500.0,0.40470730846390823,1.1836924035284198,7.416572553624742e-06,0.42009029305789597,0.39555475795634293,1.4661219188406147,0.7468710888610763,-0.39825766591941525,0.0
old_mace,971,500.0,0.5262049311706294,1.3447462832517156,9.643109893208468e-06,0.5287210508340684,0.5192306672055306,1.480586941655074,0.7537546933667084,-0.40548816730189874,0.0
old_mace,1000,510.0,0.7066104373248571,1.5005521335829777,1.2949179483462847e-05,0.6857985482490898,0.6905674818099002,1.4659906212491203,0.7377972465581978,-0.3865808989925215,0.0
old_mace,1001,510.0,0.5825194854705878,1.421359344559632,1.0675117393581865e-05,0.5832676797634906,0.5782594891452651,1.4890883140984223,0.7515644555694618,-0.400129647592232,0.0
old_mace,881,520.0,0.7067115582379211,1.5284610711043514,1.2951032601933267e-05,0.6920992277526865,0.6975558292900846,1.4803174738537095,0.7462453066332916,-0.3938932310849802,0.0
old_mace,1009,520.0,0.5190315585381235,1.3210212680986149,9.511652325058546e-06,0.5184502124653674,0.5129222759136308,1.4819543673250488,0.7428035043804756,-0.3961281524815887,0.0
mace,911,400.0,0.434046880968462,1.1873775939743396,4.607395496226754e-06,0.436713921859234,0.43502473622072846,1.5031730336834903,0.7484355444305382,-0.4134927945898986,0.0
mace,913,400.0,0.4863536034212377,1.2800843070252976,5.16262989144595e-06,0.4872008969191288,0.488346340320434,1.5059831375386097,0.7418648310387985,-0.40191441115051746,0.0
mace,938,450.0,0.37735442743234293,1.1566226297363116,4.005606688276908e-06,0.38457402050948564,0.37592585053243016,1.4941587330643016,0.7431163954943679,-0.4073694260478172,0.0
mace,942,450.0,0.4068009906597973,1.23204215894954,4.318181132979318e-06,0.41394464279854787,0.4009638508530262,1.4800921626663681,0.7418648310387985,-0.3975021404009401,0.0
mace,970,500.0,0.38375382143855424,1.1670664668311375,4.073536076588632e-06,0.3893150692859531,0.374732164274913,1.464692823030434,0.7381101376720901,-0.39365788924820483,0.0
mace,971,500.0,0.5172826872443488,1.351445586645855,5.490941250788203e-06,0.5191730933402916,0.5072630245413968,1.4705973424513368,0.727784730913642,-0.3835929761057279,0.0
mace,1000,510.0,0.719698656182502,1.5927789310707563,7.639581097177942e-06,0.7127109977768618,0.6992769047936799,1.4566851264251408,0.7280976220275344,-0.3801676300824318,0.0
mace,1001,510.0,0.5749749293664698,1.447614649685223,6.1033427866029406e-06,0.5764628298534127,0.563349817114035,1.4699314561848076,0.7309136420525657,-0.3871015556387351,0.0
mace,881,520.0,0.7417999010226601,1.6736542273698305,7.874185192731734e-06,0.7360832863757342,0.7308284606944914,1.477643703849157,0.7334167709637046,-0.3858035386121861,0.0
mace,1009,520.0,0.4894721888498503,1.3517162106543115,5.195733588508186e-06,0.49553848780877163,0.4790167728670918,1.467869700746555,0.7346683354192741,-0.3862716398399322,0.0
soap,911,400.0,0.3045996867979829,0.8815558193123052,0.0014097440754095372,0.4828729813365451,0.3033130687367927,1.4929881991628668,0.8579474342928661,-0.45679624566110866,0.0
soap,913,400.0,0.2931574953495215,0.8857113041863038,0.0013567874825327088,0.49792356211823213,0.28873133793485906,1.4773379715254955,0.8491864831038799,-0.43545049954724824,0.0
soap,938,450.0,0.2862673166054086,0.8723413405167564,0.0013248984521626024,0.4402262772009297,0.28315517233515003,1.4844323183870913,0.8601376720901126,-0.45070077508452894,0.0
soap,942,450.0,0.2944850288479863,0.8922283260884937,0.0013629315547871548,0.47984186037114906,0.2889945646103357,1.4720051995858119,0.8444931163954944,-0.44142442775937696,0.0
soap,970,500.0,0.29934976829539467,0.9085875903957836,0.0013854464748991487,0.47414228445951145,0.2957010700448644,1.4817137719426794,0.8463704630788486,-0.4431317073061091,0.0
soap,971,500.0,0.3654419847799981,0.9800076519641269,0.0016913335609933927,0.5728951095092206,0.3583437302057193,1.4703512229701883,0.845118898623279,-0.43760905350996426,0.0
soap,1000,510.0,0.42233216768015114,1.041964569114607,0.0019546319219849676,0.7214655990871751,0.41271868026097,1.4656791449315327,0.8598247809762203,-0.4462663579284008,0.0
soap,1001,510.0,0.39050774609421945,1.0299917449064142,0.0018073425722954603,0.6326414558419989,0.381471913053591,1.4657112551264317,0.840738423028786,-0.4301363538448911,0.0
soap,881,520.0,0.4431817930408874,1.0568790184525585,0.002051127870932873,0.6923889692720366,0.431043448005187,1.458352233907715,0.8520025031289111,-0.42896350676968276,0.0
soap,1009,520.0,0.3418204103419216,0.940731063778373,0.0015820085155017689,0.5207508226859571,0.335165728255625,1.470493206615294,0.8491864831038799,-0.4415855701827568,0.0
tda,911,400.0,0.12099165334556254,0.62640780593391,2.9811884606563656e-05,0.46496105930947734,0.11932627894603169,1.479718325589694,0.7853566958698373,-0.42094249663035604,0.0
tda,913,400.0,0.11938635371964669,0.5986769530635044,2.941634486573477e-05,2.390068209153496,0.11747327859080522,1.4752952560253179,0.7897371714643304,-0.4220800703543869,0.0
tda,938,450.0,0.13099155379916785,0.6446924431313665,3.227582216057459e-05,1.452387796774692,0.12841050574129997,1.471112708310566,0.769712140175219,-0.4073560206689959,0.0
tda,942,450.0,0.13487458586228726,0.6584521745686809,3.3232586537193865e-05,10.012761647410974,0.13468455965001686,1.4977260605818836,0.7809762202753442,-0.4218820408579409,0.0
tda,970,500.0,0.14257015440709275,0.6661853673412886,3.512874544647335e-05,12.072037889126861,0.14196167496940465,1.4937225924671187,0.7622027534418022,-0.418586422359091,0.0
tda,971,500.0,0.14125630629665076,0.6494621694821886,3.480501825392742e-05,0.6236621249474019,0.139953827895931,1.4855616965647038,0.7803504380475594,-0.4184562158098704,0.0
tda,1000,510.0,0.14645811040942006,0.6665109909143572,3.60867230630428e-05,124.06537057285458,0.14522166729674324,1.4871025389313457,0.8016270337922403,-0.4336552297874433,0.0
tda,1001,510.0,0.14478186119948502,0.6635076002496911,3.5673701613739155e-05,0.5999671171285871,0.14436624121427225,1.4952558373312146,0.7872340425531915,-0.43261949608893047,0.0
tda,881,520.0,0.1488772135421279,0.6754792599460588,3.668278090215411e-05,0.4429333285531161,0.14740119653334838,1.4844832895112836,0.7878598247809763,-0.418029262249377,0.0
tda,1009,520.0,0.14400892910390226,0.672330551631827,3.54832540762019e-05,0.3138832774407241,0.14278643916095174,1.4864325456608931,0.7643929912390488,-0.4124390665540604,0.0
