method,source,temperature_K,lag_ps,displacement2
old_mace,913,400.0,6.0,0.5655328191066007
old_mace,913,400.0,12.0,0.5968166098449675
old_mace,913,400.0,24.0,0.6399975767393157
old_mace,913,400.0,48.0,0.721032749759963
old_mace,913,400.0,96.0,0.844996768586594
old_mace,913,400.0,192.0,0.9117355951941809
old_mace,938,450.0,0.75,0.41285268941544867
old_mace,938,450.0,1.5,0.41822560050981045
old_mace,938,450.0,3.0,0.4547317152132745
old_mace,938,450.0,6.0,0.45839098754634766
old_mace,938,450.0,12.0,0.47170901522064923
old_mace,938,450.0,24.0,0.4715387648081927
old_mace,938,450.0,48.0,0.5013600022180459
old_mace,938,450.0,96.0,0.5569904171012138
old_mace,938,450.0,192.0,0.6748396474283659
old_mace,942,450.0,0.75,0.4294277860791862
old_mace,942,450.0,1.5,0.44560675410982226
old_mace,942,450.0,3.0,0.4637886849629911
old_mace,942,450.0,6.0,0.4782405917335378
old_mace,942,450.0,12.0,0.501305114866077
old_mace,942,450.0,24.0,0.5641058551940621
old_mace,942,450.0,48.0,0.6110564716045704
old_mace,942,450.0,96.0,0.6835979269902613
old_mace,942,450.0,192.0,0.7788559599733733
old_mace,970,500.0,0.75,0.4047073084639082
old_mace,970,500.0,1.5,0.4321155269369279
old_mace,970,500.0,3.0,0.4478336386070174
old_mace,970,500.0,6.0,0.46808485415365847
old_mace,970,500.0,12.0,0.46417097971506505
old_mace,970,500.0,24.0,0.48138109673226687
old_mace,970,500.0,48.0,0.5004495157084518
old_mace,970,500.0,96.0,0.5651948263200539
old_mace,970,500.0,192.0,0.6753619523383287
old_mace,971,500.0,0.75,0.5262049311706294
old_mace,971,500.0,1.5,0.5464627194500759
old_mace,971,500.0,3.0,0.5735723219180814
old_mace,971,500.0,6.0,0.6057351677725977
old_mace,971,500.0,12.0,0.6511244110324089
old_mace,971,500.0,24.0,0.6833198959900563
old_mace,971,500.0,48.0,0.7406383301790778
old_mace,971,500.0,96.0,0.8026683889610914
old_mace,971,500.0,192.0,0.9298373026442124
old_mace,1000,510.0,0.75,0.7066104373248571
old_mace,1000,510.0,1.5,0.7546491224465984
old_mace,1000,510.0,3.0,0.7815024607390252
old_mace,1000,510.0,6.0,0.8064701408935052
old_mace,1000,510.0,12.0,0.8432353593406932
old_mace,1000,510.0,24.0,0.8544456408472602
old_mace,1000,510.0,48.0,0.8757901626946191
old_mace,1000,510.0,96.0,0.9897114236916812
old_mace,1000,510.0,192.0,1.101918200820498
old_mace,1001,510.0,0.75,0.582519485470588
