task,family,method,source,temperature_K,target,n,loss,constant_loss,r2_vs_training_mean,positive,prevalence,auroc,average_precision
future,nonlinear,radial_control,911,400.0,crystallize_24ps,2032,0.048519559381597126,0.04860705854318692,0.0018001328245783599,104.0,0.051181102362204724,0.6861733961059687,0.18276863126384654
future,nonlinear,radial_control,911,400.0,crystallize_48ps,2032,0.08961270825159215,0.08980898304092247,0.002185469456222222,201.0,0.09891732283464567,0.5797229037771275,0.1406216539159387
future,nonlinear,radial_control,911,400.0,crystallize_96ps,2032,0.1663741295361643,0.1662457060666833,-0.0007724919489318083,416.0,0.2047244094488189,0.43579826732673266,0.1855191403029525
future,nonlinear,radial_control,913,400.0,crystallize_24ps,2616,0.033020465961008855,0.033525222062659614,0.015056010686740784,89.0,0.034021406727828746,0.7171936345891339,0.10402650745886846
future,nonlinear,radial_control,913,400.0,crystallize_48ps,2616,0.07314572452004871,0.07572159545765096,0.03401765271893764,209.0,0.07989296636085627,0.7251298545112641,0.24265127138707532
future,nonlinear,radial_control,913,400.0,crystallize_96ps,2616,0.1538347142570445,0.15396244938001685,0.0008296511486191038,465.0,0.17775229357798164,0.5541828506871023,0.23685498063980545
future,nonlinear,radial_control,938,450.0,crystallize_24ps,1276,0.06540464835643699,0.06647732037606689,0.016135909413341643,91.0,0.0713166144200627,0.6492697176241481,0.116312349246009
future,nonlinear,radial_control,938,450.0,crystallize_48ps,1276,0.14045117250092015,0.1451897728045892,0.032637287132109005,219.0,0.17163009404388715,0.6408980357088857,0.2734771933358165
future,nonlinear,radial_control,938,450.0,crystallize_96ps,1276,0.25012025370790403,0.25002854803018887,-0.00036678082738017537,475.0,0.3722570532915361,0.4934673763059334,0.3771634634907653
future,nonlinear,radial_control,942,450.0,crystallize_24ps,1376,0.08128436486446748,0.08138011641022687,0.001176596323317014,121.0,0.08793604651162791,0.5613908004346251,0.09645385239590484
future,nonlinear,radial_control,942,450.0,crystallize_48ps,1376,0.15196659295848072,0.1524881015189471,0.0034199951030380316,249.0,0.18095930232558138,0.6543690289106738,0.32266711101599377
future,nonlinear,radial_control,942,450.0,crystallize_96ps,1376,0.24708810507016013,0.2472074687875346,0.00048284834580403224,505.0,0.36700581395348836,0.5801593707017085,0.44082757745648526
future,nonlinear,radial_control,970,500.0,crystallize_24ps,1271,0.06885808571716645,0.06742680241143559,-0.021227216100167867,92.0,0.07238394964594808,0.4319338422391857,0.058969489504509295
future,nonlinear,radial_control,970,500.0,crystallize_48ps,1271,0.13532123887591033,0.12684641595343982,-0.06681168607539756,188.0,0.14791502753737215,0.4147462721753994,0.116282291974356
future,nonlinear,radial_control,970,500.0,crystallize_96ps,1271,0.23818341099639503,0.21173293711112937,-0.12492375653100662,380.0,0.2989771833202203,0.3466595782385256,0.22298350724224553
future,nonlinear,radial_control,971,500.0,crystallize_24ps,1591,0.05087258252405801,0.05059007896515171,-0.005584169162908381,85.0,0.05342551854179761,0.6004218420435904,0.0644662367131268
future,nonlinear,radial_control,971,500.0,crystallize_48ps,1591,0.10068667437229825,0.10091395332459938,0.0022522054167282146,181.0,0.11376492771841609,0.6001371419615219,0.15886817231010897
