left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
state_history,state_constant,A,all,future/9ps/motion_even,3,-0.016396268871095444,-0.02250460597376029,-0.010707200600041284,30
state_history,state_constant,A,all,future/9ps/motion_odd,3,-0.00019561913278367778,-0.0010743312703238592,0.0006588458435402966,30
state_history,state_constant,A,all,path/0.75ps/mean_std_qbar6,3,-0.0015685964427474472,-0.0026392057827777328,-0.0005495785396649608,30
state_history,state_constant,A,all,path/3ps/mean_std_qbar6,3,-0.0016512507546900044,-0.0028651058447495517,-0.000571979464471548,30
state_history,state_constant,A,all,path/9ps/mean_std_qbar6,3,-0.0014640806035863027,-0.002630336804043811,-0.00037392825612591376,30
state_history,state_constant,A,at_risk,hazard/bin0/brier,3,-0.00037171264671403346,-0.0010368278189252086,6.294365373678233e-05,24
state_history,state_constant,A,at_risk,hazard/bin1/brier,3,-0.001145950095835562,-0.003045112750939122,8.59375604231137e-05,24
state_history,state_constant,A,at_risk,hazard/bin2/brier,3,-0.0014056959545693342,-0.0032293575615590774,9.546126131504508e-05,24
state_history,state_constant,A,at_risk,hazard/nll,3,-0.004506795182048033,-0.009163816603540908,-0.0004053170048993917,24
state_history,state_constant,A,low_order,delta/0.75ps/block_mean,3,0.00045984431955160094,-0.0003272317258604649,0.0013862499656776659,17
state_history,state_constant,A,low_order,delta/0.75ps/bond_order,3,0.0004935623968348784,-0.00015718777682266981,0.0011632477974190432,17
state_history,state_constant,A,low_order,delta/0.75ps/instantaneous_TDA_H0,3,0.0010781986456291348,0.0007665500629181955,0.0013955213019953051,17
state_history,state_constant,A,low_order,delta/0.75ps/instantaneous_TDA_H1,3,0.000812077420014961,0.00039171356817378723,0.001217062986802821,17
state_history,state_constant,A,low_order,delta/0.75ps/instantaneous_TDA_H2,3,0.0006349202172428953,0.0004381281268947265,0.0008262634496478473,17
state_history,state_constant,A,low_order,delta/0.75ps/motion_even,3,-0.00294414805430992,-0.007078690768456925,0.0010124528524922379,17
state_history,state_constant,A,low_order,delta/0.75ps/motion_odd,3,0.0026844552918976433,-0.0015114076289476132,0.007788457677644836,17
state_history,state_constant,A,low_order,delta/3ps/block_mean,3,-6.334527450447171e-06,-0.0008411310345324001,0.0007595782679523897,17
state_history,state_constant,A,low_order,delta/3ps/bond_order,3,9.756608336579564e-05,-0.0003708983205404936,0.0006351003971169976,17
state_history,state_constant,A,low_order,delta/3ps/instantaneous_TDA_H0,3,0.0008113959840699737,0.00036379163902179867,0.001255357557652043,17
state_history,state_constant,A,low_order,delta/3ps/instantaneous_TDA_H1,3,0.0005292265730745651,7.875372893085666e-05,0.0009826951495864808,17
state_history,state_constant,A,low_order,delta/3ps/instantaneous_TDA_H2,3,0.0007133919234369315,0.00046020950756820974,0.0009626218099512307,17
