source_id,split,validation_role,temperature_K,persistence_frames,grid,eligible,event_centers,positives
865,train,,520.0,9,dense,2414,0,"[0, 0, 0, 0, 0, 0]"
866,train,,520.0,3,native,254,12,"[0, 0, 2, 5, 13, 34]"
866,train,,520.0,3,dense,2401,12,"[1, 1, 7, 25, 94, 271]"
866,train,,520.0,5,native,254,12,"[0, 0, 2, 5, 13, 34]"
866,train,,520.0,5,dense,2401,12,"[0, 0, 6, 24, 93, 270]"
866,train,,520.0,9,native,254,12,"[0, 0, 2, 5, 13, 34]"
866,train,,520.0,9,dense,2401,12,"[0, 0, 6, 24, 91, 268]"
867,train,,520.0,3,native,227,15,"[0, 0, 3, 8, 21, 43]"
867,train,,520.0,3,dense,2178,15,"[1, 8, 32, 92, 190, 417]"
867,train,,520.0,5,native,227,15,"[0, 0, 3, 8, 20, 42]"
867,train,,520.0,5,dense,2178,15,"[1, 8, 32, 92, 188, 400]"
867,train,,520.0,9,native,227,13,"[0, 0, 3, 8, 20, 40]"
867,train,,520.0,9,dense,2178,13,"[1, 8, 32, 92, 188, 391]"
868,train,,520.0,3,native,147,16,"[0, 0, 2, 10, 22, 50]"
868,train,,520.0,3,dense,1413,16,"[1, 10, 40, 120, 247, 502]"
868,train,,520.0,5,native,147,16,"[0, 0, 2, 9, 21, 50]"
868,train,,520.0,5,dense,1413,16,"[1, 7, 34, 114, 241, 496]"
868,train,,520.0,9,native,148,16,"[0, 0, 2, 8, 20, 48]"
868,train,,520.0,9,dense,1433,16,"[0, 6, 32, 108, 235, 485]"
869,train,,520.0,3,native,167,15,"[1, 1, 2, 13, 23, 46]"
869,train,,520.0,3,dense,1598,15,"[5, 14, 44, 119, 239, 479]"
869,train,,520.0,5,native,167,15,"[1, 1, 2, 13, 22, 46]"
869,train,,520.0,5,dense,1598,15,"[5, 14, 42, 116, 236, 476]"
869,train,,520.0,9,native,167,15,"[1, 1, 2, 12, 22, 45]"
869,train,,520.0,9,dense,1600,15,"[5, 15, 43, 114, 232, 472]"
870,train,,520.0,3,native,223,16,"[0, 3, 6, 13, 27, 52]"
870,train,,520.0,3,dense,2138,16,"[1, 11, 39, 119, 247, 503]"
870,train,,520.0,5,native,223,16,"[0, 2, 5, 13, 26, 49]"
870,train,,520.0,5,dense,2145,16,"[1, 11, 39, 117, 241, 497]"
870,train,,520.0,9,native,223,16,"[0, 2, 5, 13, 25, 49]"
870,train,,520.0,9,dense,2146,16,"[1, 11, 37, 115, 239, 495]"
871,train,,520.0,3,native,177,14,"[0, 0, 3, 9, 20, 42]"
871,train,,520.0,3,dense,1685,14,"[5, 12, 36, 95, 196, 413]"
871,train,,520.0,5,native,177,13,"[0, 0, 3, 7, 18, 38]"
871,train,,520.0,5,dense,1686,13,"[3, 7, 28, 83, 178, 383]"
871,train,,520.0,9,native,177,12,"[0, 0, 3, 7, 18, 37]"
871,train,,520.0,9,dense,1686,12,"[3, 7, 28, 83, 177, 369]"
872,train,,520.0,3,native,132,16,"[0, 1, 4, 12, 21, 50]"
872,train,,520.0,3,dense,1253,16,"[2, 12, 43, 120, 243, 496]"
872,train,,520.0,5,native,132,16,"[0, 0, 3, 9, 20, 48]"
872,train,,520.0,5,dense,1253,16,"[1, 7, 33, 103, 226, 479]"
872,train,,520.0,9,native,134,16,"[0, 0, 4, 9, 21, 48]"
872,train,,520.0,9,dense,1263,16,"[1, 8, 33, 104, 222, 465]"
873,train,,520.0,3,native,72,16,"[0, 1, 2, 12, 25, 46]"
873,train,,520.0,3,dense,651,16,"[3, 10, 38, 115, 237, 456]"
873,train,,520.0,5,native,77,16,"[0, 1, 2, 12, 23, 46]"
873,train,,520.0,5,dense,691,16,"[2, 9, 33, 108, 226, 441]"
873,train,,520.0,9,native,77,16,"[0, 1, 2, 11, 22, 46]"
873,train,,520.0,9,dense,691,16,"[2, 9, 31, 103, 223, 436]"
874,train,,520.0,3,native,246,13,"[0, 0, 4, 8, 19, 41]"
874,train,,520.0,3,dense,2344,13,"[0, 3, 20, 72, 168, 376]"
874,train,,520.0,5,native,246,13,"[0, 0, 4, 8, 18, 41]"
874,train,,520.0,5,dense,2344,13,"[0, 3, 20, 72, 167, 375]"
874,train,,520.0,9,native,246,13,"[0, 0, 2, 8, 18, 40]"
874,train,,520.0,9,dense,2344,13,"[0, 2, 15, 67, 162, 370]"
875,val,calibration,520.0,3,native,181,15,"[2, 3, 5, 10, 21, 47]"
875,val,calibration,520.0,3,dense,1734,15,"[6, 10, 35, 105, 217, 457]"
875,val,calibration,520.0,5,native,181,15,"[2, 3, 5, 9, 21, 45]"
875,val,calibration,520.0,5,dense,1734,15,"[6, 9, 32, 100, 212, 438]"
875,val,calibration,520.0,9,native,181,14,"[2, 3, 5, 9, 21, 44]"
875,val,calibration,520.0,9,dense,1734,14,"[6, 9, 31, 97, 209, 433]"
876,val,selection,520.0,3,native,105,16,"[0, 1, 7, 15, 28, 52]"
876,val,selection,520.0,3,dense,950,16,"[3, 13, 42, 120, 247, 502]"
876,val,selection,520.0,5,native,105,16,"[0, 1, 7, 14, 27, 52]"
876,val,selection,520.0,5,dense,950,16,"[2, 11, 39, 117, 244, 499]"
876,val,selection,520.0,9,native,114,16,"[0, 1, 7, 13, 25, 50]"
876,val,selection,520.0,9,dense,1028,16,"[2, 11, 37, 108, 227, 471]"
877,val,calibration,520.0,3,native,48,16,"[0, 1, 1, 11, 22, 44]"
877,val,calibration,520.0,3,dense,423,16,"[6, 13, 44, 120, 245, 395]"
877,val,calibration,520.0,5,native,48,16,"[0, 1, 1, 10, 21, 43]"
877,val,calibration,520.0,5,dense,424,16,"[4, 10, 41, 116, 239, 389]"
877,val,calibration,520.0,9,native,48,16,"[0, 1, 1, 10, 20, 42]"
877,val,calibration,520.0,9,dense,425,16,"[4, 10, 39, 111, 229, 373]"
878,val,selection,520.0,3,native,225,14,"[0, 2, 3, 8, 20, 45]"
878,val,selection,520.0,3,dense,2171,14,"[1, 9, 34, 104, 216, 439]"
878,val,selection,520.0,5,native,226,14,"[0, 2, 3, 8, 19, 44]"
878,val,selection,520.0,5,dense,2177,14,"[0, 8, 29, 93, 201, 420]"
878,val,selection,520.0,9,native,226,14,"[0, 2, 2, 8, 19, 43]"
878,val,selection,520.0,9,dense,2177,14,"[0, 8, 27, 91, 199, 418]"
879,val,selection,520.0,3,native,157,16,"[2, 4, 5, 14, 27, 51]"
879,val,selection,520.0,3,dense,1490,16,"[2, 12, 43, 123, 249, 505]"
879,val,selection,520.0,5,native,157,16,"[2, 4, 5, 14, 25, 51]"
879,val,selection,520.0,5,dense,1490,16,"[2, 10, 41, 121, 247, 503]"
879,val,selection,520.0,9,native,157,16,"[2, 3, 4, 14, 25, 50]"
879,val,selection,520.0,9,dense,1491,16,"[2, 9, 39, 117, 243, 499]"
880,val,calibration,520.0,3,native,81,15,"[0, 0, 4, 13, 25, 46]"
880,val,calibration,520.0,3,dense,728,15,"[3, 12, 38, 113, 233, 465]"
880,val,calibration,520.0,5,native,87,15,"[0, 0, 3, 11, 22, 45]"
880,val,calibration,520.0,5,dense,799,15,"[2, 10, 34, 103, 222, 454]"
880,val,calibration,520.0,9,native,90,15,"[0, 0, 2, 10, 20, 43]"
880,val,calibration,520.0,9,dense,816,15,"[2, 9, 27, 86, 199, 425]"
881,test,,520.0,3,native,206,16,"[0, 1, 3, 10, 23, 49]"
881,test,,520.0,3,dense,1986,16,"[2, 10, 38, 113, 233, 486]"
881,test,,520.0,5,native,208,15,"[0, 1, 3, 10, 21, 46]"
881,test,,520.0,5,dense,2006,15,"[2, 11, 35, 105, 217, 453]"
881,test,,520.0,9,native,208,15,"[0, 1, 3, 9, 21, 45]"
881,test,,520.0,9,dense,2006,15,"[1, 9, 34, 102, 214, 445]"
882,test,,520.0,3,native,59,16,"[0, 1, 3, 12, 22, 48]"
882,test,,520.0,3,dense,521,16,"[5, 11, 39, 115, 239, 441]"
882,test,,520.0,5,native,64,15,"[0, 1, 3, 12, 20, 43]"
882,test,,520.0,5,dense,567,15,"[5, 10, 36, 107, 225, 413]"
882,test,,520.0,9,native,64,15,"[0, 1, 3, 10, 19, 42]"
882,test,,520.0,9,dense,569,15,"[4, 8, 32, 97, 213, 403]"
883,test,,520.0,3,native,130,15,"[0, 0, 4, 9, 22, 44]"
883,test,,520.0,3,dense,1230,15,"[1, 8, 32, 101, 220, 455]"
883,test,,520.0,5,native,134,15,"[0, 0, 3, 8, 21, 45]"
883,test,,520.0,5,dense,1275,15,"[1, 8, 29, 98, 218, 458]"
883,test,,520.0,9,native,134,15,"[0, 0, 3, 8, 21, 45]"
883,test,,520.0,9,dense,1275,15,"[1, 7, 27, 96, 216, 456]"
884,train,,400.0,3,native,256,0,"[0, 0, 0, 0, 0, 0]"
884,train,,400.0,3,dense,2413,0,"[0, 0, 0, 0, 0, 0]"
884,train,,400.0,5,native,256,0,"[0, 0, 0, 0, 0, 0]"
884,train,,400.0,5,dense,2413,0,"[0, 0, 0, 0, 0, 0]"
884,train,,400.0,9,native,256,0,"[0, 0, 0, 0, 0, 0]"
884,train,,400.0,9,dense,2413,0,"[0, 0, 0, 0, 0, 0]"
885,train,,400.0,3,native,229,15,"[0, 1, 4, 11, 22, 43]"
885,train,,400.0,3,dense,2184,15,"[0, 7, 25, 83, 186, 411]"
885,train,,400.0,5,native,229,14,"[0, 1, 3, 11, 21, 41]"
885,train,,400.0,5,dense,2185,14,"[0, 6, 21, 78, 181, 394]"
885,train,,400.0,9,native,229,14,"[0, 1, 3, 11, 21, 41]"
885,train,,400.0,9,dense,2185,14,"[0, 6, 21, 78, 181, 394]"
886,train,,400.0,3,native,119,15,"[0, 0, 2, 12, 24, 45]"
886,train,,400.0,3,dense,1129,15,"[1, 12, 40, 115, 235, 475]"
886,train,,400.0,5,native,126,15,"[0, 1, 3, 11, 24, 45]"
886,train,,400.0,5,dense,1197,15,"[1, 12, 40, 114, 231, 471]"
886,train,,400.0,9,native,134,16,"[0, 0, 2, 12, 25, 47]"
886,train,,400.0,9,dense,1278,16,"[2, 12, 40, 119, 244, 493]"
887,train,,400.0,3,native,232,13,"[0, 0, 0, 5, 10, 32]"
887,train,,400.0,3,dense,2228,13,"[1, 4, 14, 46, 118, 305]"
887,train,,400.0,5,native,248,14,"[0, 0, 0, 5, 11, 34]"
887,train,,400.0,5,dense,2379,14,"[1, 4, 14, 46, 119, 320]"
887,train,,400.0,9,native,248,12,"[0, 0, 0, 3, 7, 27]"
887,train,,400.0,9,dense,2379,12,"[1, 4, 14, 39, 91, 259]"
888,train,,400.0,3,native,253,4,"[0, 1, 1, 1, 2, 7]"
888,train,,400.0,3,dense,2387,4,"[0, 1, 3, 8, 16, 47]"
888,train,,400.0,5,native,253,4,"[0, 1, 1, 1, 2, 7]"
888,train,,400.0,5,dense,2387,4,"[0, 1, 3, 8, 16, 47]"
888,train,,400.0,9,native,253,3,"[0, 0, 0, 0, 0, 3]"
888,train,,400.0,9,dense,2394,3,"[0, 0, 0, 0, 0, 12]"
889,train,,400.0,3,native,170,15,"[1, 2, 7, 11, 24, 49]"
889,train,,400.0,3,dense,1603,15,"[2, 8, 35, 106, 225, 453]"
889,train,,400.0,5,native,177,15,"[1, 2, 9, 12, 26, 51]"
889,train,,400.0,5,dense,1666,15,"[2, 7, 33, 105, 223, 463]"
889,train,,400.0,9,native,177,15,"[1, 1, 8, 10, 24, 48]"
889,train,,400.0,9,dense,1666,15,"[2, 6, 27, 90, 204, 443]"
890,train,,400.0,3,native,233,16,"[1, 1, 4, 11, 23, 46]"
890,train,,400.0,3,dense,2220,16,"[2, 6, 21, 77, 176, 428]"
890,train,,400.0,5,native,234,16,"[1, 1, 5, 10, 23, 46]"
890,train,,400.0,5,dense,2225,16,"[1, 5, 20, 72, 171, 422]"
890,train,,400.0,9,native,234,15,"[1, 1, 5, 10, 23, 44]"
890,train,,400.0,9,dense,2225,15,"[1, 5, 20, 72, 171, 411]"
891,train,,400.0,3,native,176,16,"[0, 4, 4, 13, 24, 48]"
891,train,,400.0,3,dense,1696,16,"[0, 11, 39, 110, 232, 484]"
891,train,,400.0,5,native,184,15,"[0, 4, 4, 11, 23, 46]"
891,train,,400.0,5,dense,1786,16,"[1, 10, 32, 99, 214, 452]"
891,train,,400.0,9,native,187,14,"[0, 2, 3, 10, 22, 41]"
891,train,,400.0,9,dense,1815,14,"[1, 8, 26, 84, 184, 399]"
892,train,,400.0,3,native,255,1,"[0, 0, 0, 0, 1, 2]"
892,train,,400.0,3,dense,2406,1,"[0, 0, 0, 0, 2, 18]"
892,train,,400.0,5,native,255,1,"[0, 0, 0, 0, 0, 2]"
892,train,,400.0,5,dense,2406,1,"[0, 0, 0, 0, 0, 15]"
892,train,,400.0,9,native,255,1,"[0, 0, 0, 0, 0, 2]"
892,train,,400.0,9,dense,2406,1,"[0, 0, 0, 0, 0, 15]"
893,train,,400.0,3,native,229,1,"[0, 0, 0, 0, 1, 3]"
893,train,,400.0,3,dense,2168,1,"[0, 0, 2, 7, 15, 31]"
893,train,,400.0,5,native,238,0,"[0, 0, 0, 0, 0, 0]"
893,train,,400.0,5,dense,2256,0,"[0, 0, 0, 0, 0, 0]"
893,train,,400.0,9,native,254,0,"[0, 0, 0, 0, 0, 0]"
893,train,,400.0,9,dense,2407,0,"[0, 0, 0, 0, 0, 0]"
894,train,,400.0,3,native,141,15,"[1, 2, 3, 10, 21, 47]"
894,train,,400.0,3,dense,1336,15,"[3, 11, 41, 115, 227, 467]"
894,train,,400.0,5,native,141,15,"[1, 2, 3, 10, 21, 47]"
894,train,,400.0,5,dense,1336,15,"[3, 10, 38, 111, 226, 463]"
894,train,,400.0,9,native,142,15,"[2, 3, 3, 10, 21, 47]"
894,train,,400.0,9,dense,1337,15,"[4, 11, 35, 101, 217, 453]"
895,train,,400.0,3,native,254,13,"[0, 0, 1, 1, 5, 27]"
895,train,,400.0,3,dense,2393,13,"[0, 0, 2, 7, 26, 208]"
895,train,,400.0,5,native,254,13,"[0, 0, 1, 1, 5, 27]"
895,train,,400.0,5,dense,2393,13,"[0, 0, 2, 7, 26, 208]"
895,train,,400.0,9,native,254,13,"[0, 0, 1, 1, 4, 26]"
895,train,,400.0,9,dense,2393,13,"[0, 0, 2, 7, 22, 197]"
896,train,,400.0,3,native,176,15,"[1, 2, 6, 10, 23, 48]"
896,train,,400.0,3,dense,1680,15,"[2, 12, 42, 117, 233, 457]"
896,train,,400.0,5,native,186,15,"[1, 2, 5, 9, 22, 49]"
896,train,,400.0,5,dense,1787,15,"[2, 12, 40, 115, 235, 475]"
896,train,,400.0,9,native,191,15,"[1, 2, 4, 9, 22, 48]"
896,train,,400.0,9,dense,1841,15,"[2, 11, 36, 106, 223, 461]"
897,train,,400.0,3,native,239,2,"[0, 0, 0, 2, 2, 6]"
897,train,,400.0,3,dense,2259,2,"[0, 0, 0, 2, 17, 49]"
897,train,,400.0,5,native,239,1,"[0, 0, 0, 0, 1, 3]"
897,train,,400.0,5,dense,2259,1,"[0, 0, 0, 0, 6, 22]"
897,train,,400.0,9,native,255,0,"[0, 0, 0, 0, 0, 0]"
897,train,,400.0,9,dense,2410,0,"[0, 0, 0, 0, 0, 0]"
898,train,,400.0,3,native,255,0,"[0, 0, 0, 0, 0, 0]"
898,train,,400.0,3,dense,2410,0,"[0, 0, 0, 0, 0, 0]"
898,train,,400.0,5,native,255,0,"[0, 0, 0, 0, 0, 0]"
898,train,,400.0,5,dense,2410,0,"[0, 0, 0, 0, 0, 0]"
898,train,,400.0,9,native,255,0,"[0, 0, 0, 0, 0, 0]"
898,train,,400.0,9,dense,2410,0,"[0, 0, 0, 0, 0, 0]"
899,train,,400.0,3,native,169,14,"[1, 2, 3, 8, 20, 45]"
899,train,,400.0,3,dense,1629,14,"[5, 13, 39, 107, 216, 439]"
899,train,,400.0,5,native,185,15,"[1, 2, 3, 9, 21, 48]"
899,train,,400.0,5,dense,1780,15,"[4, 13, 40, 114, 232, 471]"
899,train,,400.0,9,native,189,13,"[1, 2, 3, 6, 16, 41]"
899,train,,400.0,9,dense,1818,13,"[4, 11, 34, 96, 197, 405]"
900,train,,400.0,3,native,190,15,"[1, 1, 5, 14, 26, 47]"
900,train,,400.0,3,dense,1807,16,"[5, 11, 38, 113, 230, 474]"
900,train,,400.0,5,native,190,15,"[0, 0, 5, 14, 26, 47]"
900,train,,400.0,5,dense,1807,16,"[4, 10, 37, 112, 229, 473]"
900,train,,400.0,9,native,191,15,"[0, 0, 6, 14, 27, 47]"
900,train,,400.0,9,dense,1808,16,"[3, 9, 35, 107, 224, 468]"
901,train,,400.0,3,native,192,15,"[0, 1, 6, 11, 25, 48]"
901,train,,400.0,3,dense,1830,15,"[4, 11, 38, 112, 232, 472]"
901,train,,400.0,5,native,196,14,"[0, 1, 5, 10, 23, 44]"
901,train,,400.0,5,dense,1868,14,"[2, 9, 34, 103, 215, 439]"
901,train,,400.0,9,native,196,14,"[0, 0, 4, 9, 20, 42]"
901,train,,400.0,9,dense,1869,14,"[2, 8, 29, 90, 194, 413]"
902,val,selection,400.0,3,native,253,14,"[0, 0, 1, 1, 7, 24]"
902,val,selection,400.0,3,dense,2405,14,"[0, 1, 4, 14, 38, 210]"
902,val,selection,400.0,5,native,253,13,"[0, 0, 1, 1, 7, 23]"
902,val,selection,400.0,5,dense,2405,13,"[0, 1, 4, 14, 38, 209]"
902,val,selection,400.0,9,native,253,13,"[0, 0, 1, 1, 7, 23]"
902,val,selection,400.0,9,dense,2405,13,"[0, 1, 4, 14, 38, 207]"
903,val,selection,400.0,3,native,226,4,"[0, 0, 0, 2, 4, 10]"
903,val,selection,400.0,3,dense,2119,4,"[1, 2, 5, 16, 38, 92]"
903,val,selection,400.0,5,native,240,4,"[0, 0, 0, 1, 3, 8]"
903,val,selection,400.0,5,dense,2264,4,"[0, 1, 5, 15, 34, 85]"
903,val,selection,400.0,9,native,244,3,"[0, 0, 0, 0, 0, 4]"
903,val,selection,400.0,9,dense,2317,3,"[0, 0, 0, 2, 13, 50]"
904,val,calibration,400.0,3,native,190,15,"[0, 0, 5, 13, 26, 48]"
904,val,calibration,400.0,3,dense,1819,15,"[6, 12, 42, 117, 236, 475]"
904,val,calibration,400.0,5,native,198,15,"[0, 0, 4, 13, 24, 47]"
904,val,calibration,400.0,5,dense,1909,15,"[5, 11, 41, 115, 234, 473]"
904,val,calibration,400.0,9,native,200,15,"[0, 0, 3, 11, 22, 44]"
904,val,calibration,400.0,9,dense,1921,15,"[6, 12, 37, 104, 214, 444]"
905,val,calibration,400.0,3,native,236,4,"[0, 1, 1, 1, 4, 10]"
905,val,calibration,400.0,3,dense,2242,4,"[1, 2, 6, 18, 44, 108]"
905,val,calibration,400.0,5,native,239,4,"[0, 0, 0, 1, 2, 9]"
905,val,calibration,400.0,5,dense,2275,4,"[1, 2, 7, 16, 38, 100]"
905,val,calibration,400.0,9,native,245,3,"[0, 0, 0, 1, 2, 7]"
905,val,calibration,400.0,9,dense,2335,3,"[0, 1, 5, 11, 26, 72]"
906,val,selection,400.0,3,native,239,13,"[0, 0, 2, 4, 14, 34]"
906,val,selection,400.0,3,dense,2262,13,"[0, 3, 7, 25, 92, 290]"
906,val,selection,400.0,5,native,239,13,"[0, 0, 1, 4, 14, 32]"
906,val,selection,400.0,5,dense,2262,13,"[0, 0, 3, 21, 85, 279]"
906,val,selection,400.0,9,native,239,13,"[0, 0, 0, 4, 13, 32]"
906,val,selection,400.0,9,dense,2262,13,"[0, 0, 1, 19, 80, 267]"
907,val,calibration,400.0,3,native,221,16,"[0, 1, 2, 12, 26, 50]"
907,val,calibration,400.0,3,dense,2139,16,"[8, 16, 48, 127, 254, 510]"
907,val,calibration,400.0,5,native,222,16,"[0, 1, 2, 11, 25, 50]"
907,val,calibration,400.0,5,dense,2153,16,"[8, 16, 48, 127, 253, 509]"
907,val,calibration,400.0,9,native,222,16,"[0, 1, 2, 11, 24, 50]"
907,val,calibration,400.0,9,dense,2153,16,"[7, 15, 46, 125, 251, 507]"
908,test,,400.0,3,native,230,12,"[0, 2, 2, 7, 14, 36]"
908,test,,400.0,3,dense,2217,12,"[1, 6, 23, 72, 152, 339]"
908,test,,400.0,5,native,230,12,"[0, 2, 2, 7, 14, 36]"
908,test,,400.0,5,dense,2217,12,"[1, 6, 23, 72, 152, 338]"
908,test,,400.0,9,native,230,10,"[0, 2, 2, 7, 13, 31]"
908,test,,400.0,9,dense,2217,10,"[1, 6, 22, 67, 144, 304]"
909,test,,400.0,3,native,196,15,"[0, 1, 4, 7, 22, 47]"
909,test,,400.0,3,dense,1883,15,"[1, 7, 32, 105, 225, 465]"
909,test,,400.0,5,native,200,15,"[0, 1, 2, 7, 19, 42]"
909,test,,400.0,5,dense,1916,15,"[1, 6, 24, 84, 183, 409]"
909,test,,400.0,9,native,203,13,"[0, 1, 2, 5, 16, 36]"
909,test,,400.0,9,dense,1952,13,"[1, 5, 18, 61, 147, 335]"
910,test,,400.0,3,native,255,1,"[0, 0, 0, 0, 1, 2]"
910,test,,400.0,3,dense,2411,1,"[0, 0, 0, 0, 3, 19]"
910,test,,400.0,5,native,255,1,"[0, 0, 0, 0, 1, 2]"
910,test,,400.0,5,dense,2411,1,"[0, 0, 0, 0, 3, 19]"
910,test,,400.0,9,native,255,1,"[0, 0, 0, 0, 1, 2]"
910,test,,400.0,9,dense,2411,1,"[0, 0, 0, 0, 3, 19]"
911,test,,400.0,3,native,212,15,"[0, 0, 4, 11, 22, 47]"
911,test,,400.0,3,dense,2031,15,"[0, 11, 37, 105, 217, 451]"
911,test,,400.0,5,native,212,15,"[0, 0, 2, 9, 18, 43]"
911,test,,400.0,5,dense,2036,15,"[0, 10, 33, 94, 192, 426]"
911,test,,400.0,9,native,213,15,"[0, 0, 2, 9, 18, 42]"
911,test,,400.0,9,dense,2047,15,"[0, 10, 32, 94, 190, 413]"
912,test,,400.0,3,native,170,15,"[0, 0, 1, 10, 20, 46]"
912,test,,400.0,3,dense,1644,15,"[5, 13, 41, 110, 228, 468]"
912,test,,400.0,5,native,170,15,"[0, 0, 1, 9, 19, 46]"
912,test,,400.0,5,dense,1644,15,"[3, 11, 38, 107, 225, 465]"
912,test,,400.0,9,native,170,15,"[0, 0, 1, 9, 19, 46]"
912,test,,400.0,9,dense,1644,15,"[3, 11, 38, 107, 225, 465]"
913,test,,400.0,3,native,247,14,"[0, 1, 4, 10, 23, 44]"
913,test,,400.0,3,dense,2352,14,"[2, 6, 21, 72, 177, 401]"
913,test,,400.0,5,native,248,14,"[0, 1, 4, 10, 22, 44]"
913,test,,400.0,5,dense,2357,14,"[0, 4, 17, 67, 171, 395]"
913,test,,400.0,9,native,248,14,"[0, 1, 4, 9, 22, 44]"
913,test,,400.0,9,dense,2357,14,"[0, 4, 15, 65, 169, 393]"
914,train,,450.0,3,native,67,16,"[0, 1, 4, 10, 23, 49]"
914,train,,450.0,3,dense,612,16,"[1, 13, 40, 119, 240, 463]"
914,train,,450.0,5,native,74,15,"[0, 1, 4, 10, 23, 46]"
914,train,,450.0,5,dense,675,16,"[2, 12, 35, 107, 217, 428]"
914,train,,450.0,9,native,77,15,"[0, 1, 3, 8, 21, 45]"
914,train,,450.0,9,dense,719,15,"[1, 9, 29, 94, 200, 406]"
915,train,,450.0,3,native,88,16,"[1, 1, 5, 14, 25, 53]"
915,train,,450.0,3,dense,796,16,"[4, 13, 43, 123, 251, 503]"
915,train,,450.0,5,native,88,16,"[1, 1, 5, 13, 24, 53]"
915,train,,450.0,5,dense,796,16,"[4, 13, 41, 120, 248, 500]"
915,train,,450.0,9,native,88,16,"[1, 1, 5, 12, 23, 51]"
915,train,,450.0,9,dense,797,16,"[4, 12, 39, 113, 234, 478]"
916,train,,450.0,3,native,63,16,"[0, 2, 4, 15, 26, 51]"
916,train,,450.0,3,dense,544,16,"[5, 15, 43, 121, 248, 463]"
916,train,,450.0,5,native,63,16,"[0, 2, 4, 14, 25, 50]"
916,train,,450.0,5,dense,545,16,"[5, 14, 40, 117, 244, 459]"
916,train,,450.0,9,native,63,16,"[0, 2, 4, 14, 25, 50]"
916,train,,450.0,9,dense,545,16,"[5, 14, 40, 117, 244, 459]"
917,train,,450.0,3,native,41,16,"[0, 0, 4, 13, 25, 41]"
917,train,,450.0,3,dense,341,16,"[0, 10, 40, 120, 240, 341]"
917,train,,450.0,5,native,41,16,"[0, 0, 4, 13, 25, 41]"
917,train,,450.0,5,dense,341,16,"[0, 10, 40, 120, 240, 341]"
917,train,,450.0,9,native,41,16,"[0, 0, 4, 13, 25, 41]"
917,train,,450.0,9,dense,343,16,"[1, 10, 39, 118, 238, 343]"
918,train,,450.0,3,native,79,16,"[0, 0, 5, 16, 30, 50]"
918,train,,450.0,3,dense,702,16,"[4, 16, 48, 128, 256, 498]"
918,train,,450.0,5,native,81,16,"[0, 0, 7, 16, 31, 50]"
918,train,,450.0,5,dense,707,16,"[2, 12, 43, 118, 246, 493]"
918,train,,450.0,9,native,85,16,"[0, 0, 7, 14, 29, 50]"
