model,split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95,method,block,mse
mlp-packet_repeat12,calibration,96,16584,15,0.5218947175551638,0.6108443550616844,0.21481356815088837,0.6839317696003311,0.7088249921798706,0.14431180544815767,0.049968438527715084,0.7591855712530622,,,,,
mlp-packet_repeat12,test,96,44385,30,0.36752480433082857,0.6712160619527298,0.24214919156970185,0.4770654350566891,0.7088249921798706,0.14762462247577615,0.07354129589788651,0.5384179843246356,"[0.6312446763653815, 0.7075209524182114]","[0.22353097282992715, 0.2587883691054945]",,,
linear-packet_plus_center_H0,selection,0.75,20881,15,0.001717366617496936,0.009590944925302264,0.0016893133290066594,0.09858228916114976,0.012649759650230408,0.6869607397197656,0.05949131961001555,0.01947803504204277,,,,,
linear-packet_plus_center_H0,calibration,0.75,16584,15,0.00469864808109772,0.01885288158900007,0.004359606710669615,0.14583392378513585,0.012649759650230408,0.7612640811707323,0.04998316864492537,0.06707729516868692,,,,,
linear-packet_plus_center_H0,test,0.75,44385,30,0.002461127212794187,0.010635604577093007,0.002283725080949904,0.13616832600626624,0.012649759650230408,0.8240194948049667,0.03990876720489741,0.048472429144129976,"[0.007429688651591844, 0.014092263109892013]","[0.0015225731428538383, 0.0031068007137059262]",,,
linear-packet_plus_center_H0,selection,3,20881,15,0.009324540953417646,0.03859699121130479,0.008681996871330073,0.1547733668333417,0.0436929315328598,0.6431705587306993,0.06037974798482423,0.09112452943956385,,,,,
linear-packet_plus_center_H0,calibration,3,16584,15,0.014324638924385276,0.053394022111523755,0.012941381434608108,0.17827585260198314,0.0436929315328598,0.6445999077768793,0.049902297373813756,0.15805345729726927,,,,,
linear-packet_plus_center_H0,test,3,44385,30,0.00884508151496356,0.03573117002802984,0.008047237636042894,0.16034655910243306,0.0436929315328598,0.6354124438599262,0.04874046324136784,0.1042149818294197,"[0.028428931048564858, 0.0440490821253131]","[0.006274107668242504, 0.009968657526586858]",,,
linear-packet_plus_center_H0,selection,9,20881,15,0.03277230679889552,0.11975229057340298,0.029712548105980945,0.1832446160842615,0.12333854287862778,0.43735068040781094,0.06267536752806473,0.19122295422468324,,,,,
linear-packet_plus_center_H0,calibration,9,16584,15,0.04785316738960783,0.15394549118445758,0.04055565560201733,0.2483920336055226,0.12333854287862778,0.448012095391602,0.049956658032413746,0.31068527953507735,,,,,
linear-packet_plus_center_H0,test,9,44385,30,0.03124302427652125,0.1131185529121444,0.027511898253705137,0.1997212069100867,0.12333854287862778,0.4484534061244931,0.052440991312432406,0.21617433721054985,"[0.09193211191777015, 0.1359747239252237]","[0.021453618706511905, 0.03410131110384951]",,,
linear-packet_plus_center_H0,selection,24,20881,15,0.09697707537936248,0.28326963659557775,0.08066707198058076,0.274201379623862,0.25819215178489685,0.32341242208418475,0.07348932003751711,0.3209335142979885,,,,,
linear-packet_plus_center_H0,calibration,24,16584,15,0.13707065020025577,0.35308887611667994,0.10576672382636702,0.3433024012867366,0.25819215178489685,0.2721236073799745,0.04995937788915056,0.4638655641030936,,,,,
linear-packet_plus_center_H0,test,24,44385,30,0.09117904843080059,0.2843262256796688,0.0787021975863214,0.2435901153549637,0.25819215178489685,0.3071143867395789,0.06945560782436835,0.3072961756369315,"[0.24577385297661897, 0.3241683062218509]","[0.06453780494382799, 0.09326147890131264]",,,
linear-packet_plus_center_H0,selection,48,20881,15,0.196435182435432,0.45184856623428954,0.14518875147098365,0.3794142498685606,0.43054139614105225,0.2653199750920068,0.08520676658869988,0.4322027400679352,,,,,
