target,model,split,n,balanced_mse,skill,low,high,sources,local_centered_skill,local_uncentered_skill,alpha,H0_local_centered_r2,H1_local_centered_r2,H2_local_centered_r2
hot,within_context_shuffle,test,1152,0.17245820294687236,0.8103066720980872,0.792606142710388,0.8319340788741898,6,0.4960664988764011,0.42399570687781507,,0.4834451862857496,0.5301030615491855,0.4746070856465713
hot,global_shuffle,train,3456,0.9697370190397878,-0.00766070094963478,-0.02096134286887034,0.004165718164994105,18,-0.11022773253926332,-2.769674766364379,,-0.16237174577711966,-0.08181026482098197,-0.07777689772473395
hot,global_shuffle,val,1152,0.8740884484120426,-0.002942809845464689,-0.03471716151860571,0.016605899964121543,6,-0.10294546156863826,-2.830368224854588,,-0.16686414977491193,-0.07796293965501944,-0.06007898603779327
hot,global_shuffle,test,1152,0.9416070156213847,-0.03570932154519624,-0.07848097529037723,-0.0021870709277833633,6,-0.14021483743538599,-2.1449341009251315,,-0.2093017834724027,-0.09681476280572121,-0.10583889333791463
hot,mace_16_per_context,train,3456,0.01917614499774865,0.9800739300134417,0.9759704478342193,0.9831107609271327,18,0.9271355719332685,0.9254562541236846,,0.9655435387754725,0.9408574464986837,0.868059552438621
hot,mace_16_per_context,val,1152,0.021459713409637298,0.9753767878929865,0.9599604152261841,0.9831415145075151,6,0.907868208364655,0.905960770322396,,0.9507993895017546,0.9260578039298112,0.8452216102489798
hot,mace_16_per_context,test,1152,0.021421790719091244,0.9764373587241045,0.9730130854757515,0.9803161554364503,6,0.9299718535095838,0.9284519772923604,,0.9644157768982686,0.9439367569391429,0.8750061302124773
hot,mace_32_per_context,train,3456,0.017549678720059695,0.9817640028035574,0.9780893420364627,0.9844800956327635,18,0.9331798941493722,0.9317788434081667,,0.9691481297466689,0.9451850632118601,0.8787142259858007
hot,mace_32_per_context,val,1152,0.019767562715519056,0.9773183881680205,0.9634147016343991,0.9843209168043185,6,0.9152036813821122,0.9133759927317427,,0.9560291532854999,0.9318835444313753,0.856227691153752
hot,mace_32_per_context,test,1152,0.019664059122725015,0.9783707544708744,0.9753417636077294,0.9818730381935554,6,0.9355873483015061,0.934322738603583,,0.9688786239435206,0.9472445252509784,0.8844164332687199
hot,geometry,train,3456,0.17396631861020925,0.8192303489393772,0.7938932061981301,0.8385107421242103,18,0.40101564173796034,0.32373784996723465,100,0.18591513574707086,0.4950464246132432,0.5584222497149274
hot,geometry,val,1152,0.18888990330565772,0.7832647591705613,0.7251047521461615,0.8132497735494102,6,0.265263194946216,0.17226010144366666,100,-0.02770878967729895,0.3641701419936565,0.47684586845286614
hot,geometry,test,1152,0.18638383073193274,0.7949893451601205,0.7684650538805357,0.8246805920840218,6,0.4360312710728985,0.37748460301871134,100,0.22059762665476745,0.529696074214359,0.5874992554801322
relaxed,training_mean,train,3456,0.9441198770117609,0.0,0.0,0.0,18,-2.220446049250313e-16,-3.970453448514915,,0.0,0.0,-2.220446049250313e-16
relaxed,training_mean,val,1152,0.9233521130860329,0.0,0.0,0.0,6,0.0,-4.444123997262222,,-2.220446049250313e-16,0.0,0.0
relaxed,training_mean,test,1152,0.8198802587686289,0.0,0.0,0.0,6,0.0,-2.5455492963483506,,-2.220446049250313e-16,0.0,-2.220446049250313e-16
relaxed,temperature_mean,train,3456,0.853249969831385,0.09624827248419854,0.016127062077444052,0.19509214657159948,18,0.0,-3.492055890632227,,0.0,0.0,0.0
relaxed,temperature_mean,val,1152,0.7288709135157293,0.2106251740956192,0.0606129645927655,0.43226834167381656,6,0.0,-3.297454432540728,,0.0,0.0,0.0
relaxed,temperature_mean,test,1152,0.8345573578006082,-0.017901515343256236,-0.09207633877077215,0.05893135156574969,6,0.0,-2.609020001477201,,0.0,0.0,-2.220446049250313e-16
relaxed,mace,train,3456,0.03222012153518713,0.9658728490738198,0.962558803442685,0.9687908701722837,18,0.8472056068962779,0.8303725849909782,0.1,0.8465650380271152,0.8467956718555323,0.8482495923197831
relaxed,mace,val,1152,0.0337739848952405,0.9634224209631569,0.9541791665577594,0.9691437476638909,6,0.8119644351351095,0.8008671242037666,0.1,0.7988156105755233,0.8244419164222692,0.8104598710340217
relaxed,mace,test,1152,0.036075593932216966,0.9559989479605246,0.9509054877010036,0.9614267046263159,6,0.8596599239793586,0.8439921009028509,0.1,0.8600973958482638,0.8618018232578241,0.8568286212944624
relaxed,within_context_shuffle,train,3456,0.10637367352749055,0.8873303315420342,0.8749862166345753,0.8965676571147754,18,0.5276991240366369,0.4399806578700718,,0.5515113229269082,0.5255949312651664,0.5075986175089575
relaxed,within_context_shuffle,val,1152,0.11321954148169268,0.8773820518986093,0.8672760385004008,0.8889217129981939,6,0.4090406897063227,0.33245268624616475,,0.4148040863743728,0.42265687092598037,0.38885668230183157
relaxed,within_context_shuffle,test,1152,0.10970687477303064,0.8661915888329859,0.8558597135316531,0.8792503840382487,6,0.5706869513419739,0.5255756819413022,,0.5814826215133422,0.571658207352018,0.5590852924413486
relaxed,global_shuffle,train,3456,1.0206379366576452,-0.08104697455165533,-0.09397502410009355,-0.06964218285976792,18,-0.24513830377649648,-4.3732936626668915,,-0.2709479898737628,-0.2294433614705056,-0.2378218348226222
relaxed,global_shuffle,val,1152,0.9799596947939538,-0.06130660330513171,-0.06919810996879999,-0.053719008209746955,6,-0.18423752806837634,-4.777884747506327,,-0.22997425075890598,-0.15889770971513828,-0.16974539763028185
relaxed,global_shuffle,test,1152,0.9204304856225476,-0.12264013650595063,-0.15381820025018555,-0.09681682941263192,6,-0.19394794975780316,-2.980375946041089,,-0.22221138494555936,-0.17683387807959838,-0.1856492049810592
relaxed,mace_16_per_context,train,3456,0.036080049539615015,0.9617844614671051,0.9575375644436341,0.9653858543187928,18,0.8278933261508425,0.8100514447123176,,0.8292278599812951,0.8274153305055748,0.8271552223832742
relaxed,mace_16_per_context,val,1152,0.03697393602554454,0.9599568404062346,0.948171399909921,0.9669027592736625,6,0.7931648600505381,0.7820000739293808,,0.782611522388825,0.804534043546858,0.7904778211686365
relaxed,mace_16_per_context,test,1152,0.0398192564918233,0.9514328390445362,0.9453500384050729,0.9577865172161195,6,0.8442684718696324,0.8278027366487183,,0.846352018991981,0.8489118758039652,0.8370253008204471
relaxed,mace_32_per_context,train,3456,0.0337649519662458,0.9642365839461876,0.9605232894776455,0.9674182546832882,18,0.8398037562902919,0.8222396053446545,,0.8395584197683424,0.8390372320873617,0.8408611000946639
relaxed,mace_32_per_context,val,1152,0.03520998516561734,0.9618672176446986,0.951844898501709,0.9681442357747605,6,0.8037556605070767,0.7924004044971262,,0.7890445391161123,0.8155314662139572,0.8044577482073461
relaxed,mace_32_per_context,test,1152,0.037470136427664724,0.9542980380038167,0.9488401811210647,0.9598821217057524,6,0.8532709253120602,0.8379614408026936,,0.8542080694252548,0.8561555652748165,0.8491190259255492
relaxed,geometry,train,3456,0.12479431686525402,0.8678194158349455,0.8530958242624014,0.8800478926489975,18,0.4346252137685386,0.34300255961008863,100,0.3411917068712781,0.47495857813951714,0.4788928944938178
relaxed,geometry,val,1152,0.1520548769501343,0.8353229772313667,0.8112513900573561,0.8490322934711356,6,0.25655636553158223,0.10347786854758612,100,0.09182563282231593,0.3223468380030431,0.33657623179825547
relaxed,geometry,test,1152,0.13537264365397156,0.8348872994487188,0.8170851211207957,0.8539645970811941,6,0.4764252618139413,0.41458478074222904,100,0.3878514270214556,0.5198234310397661,0.5139264578103522
